----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------%%%-------------------------------##--------------------------------------------------------------------------------------------SS---------TT---SS------------------------------------
---------------o-----|--------------------------------##------------------------------------------------------------------------------oo-----------------------TT---SS------------------------------------
---------------------|--------------------------------------------------------------------------------------------------------SS------SS-----------------------XX-----------------------SS----------------
---------------------|------------------SS----------------------------------SS-----------------------------------C------------SS--------------------------------------------------SS----SS----------------
---------------------|--------------SS----------------------------------SS----------------------------------------------------------------------------------QQ------------------y-------------------------
---------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------#SSS-----1------------------
---------------------|--------------------------------------##--------SS----------------------------------------------------------SS----------##-----------------------------##-----------SS--------------
---------------------|--------------------------------------##------------------------SS------------------------------------------------------##----------SS----------------###1--------------------------
---------------------|------------------------------------------------------------------------------------------------------------------------------------------SS----------###---------------------------
---------------------|--------------------------------------------oo--------------------------------------------------------------------------------------------------------###---SS----------------------
---------------------|------------US------------------SU----------------------------------------------------------------SS----------------------------------------------------##------SS--------------F---
---M-----------------|--------------------SS----------------------------------------------o---------SSS---------------------------------SS-------------------------------o----##------SS--------------#---
--XX-----------------|--------X---------------XX--------XX--XX------XX------XX------XX--XX----XX------------XX----------------XXXX------------------------------------------------------------------XXXX--
--XX-----------------|--------X---------------XX--------XX--XX------XX------XX------XX--XX----XX------------XX----------------XXXX------------------------------------------------------------------XXXX--
