----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------SS--------------------------------------------------------------------------------------------------?-------------------------------
----SSSS-----------------------------------g--o-----------------------SS--------------------------------------------------SS----------SS--------------------------oo--------------------------------------
-----------------------------------------%%%%-------------------------------------------------------------------------------SS--!------------------------------------------------o---------------------S--
------------------------------------------||--------------------------------------------------------------oo-----------------------------------------o--------------------------%%%-----------------------
--------------------------S---------------||--##-------S-------------------------------------------------------------------------------------------------------------------------|------------------------
------------------------------------------||--##-------------------o----------------------------------------------------SS--------------SS--------o-----------------------SS-----|------------------------
--------SS--------##--------------S-------||----------------------------------o---------------------------------##----------------------------------------------------##---------|------------------------
------------------##----------------------||--------------------------oo--SS------------------------------------##----------------------------------------------------##---------|------------------------
------------##----------------------------||------------------------------------------------------####---------------------------------------------------------------------------|------------------------
--------SS--##----------------------------||------------------------------------------------------##-----------------------------------------------------------------------------|----o-------------------
------------------------------------------||--------------------------------------------------------------------------------------------------------------------SS-------S---X---|--------------XX----F---
---M--------------------------------------||--------------SS------------------------------oo--------------------------------------------------------------------SS-----------X---|--------------XX----#---
--XX------------------------------X-------||------XX------------------XX--------X-----------------XX----------XX----XXXX----------------------XX--X-------------------------XX---|--------------XX----XX--
--XX------------------------------X-------||------XX------------------XX--------X-----------------XX----------XX----XXXX----------------------XX--X-------------------------XX---|--------------XX----XX--
