----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------##--------------------------SS-------------##-------------------oo----------------------Q----------------------------------------------------Q--------------------------------------------SS----
----------##--------------------SSS---SS------------------------------oo------SS----------%%%---------------------SS---------------o--------SS--SS-?------------------------------------------------------
----------------------------------------------SS--------------------------SS--------------||------------------------------oo--------------------------------------------------------------%%%-------------
----------------oo----oo----------------------SS----------oo------------------------------||-----------------------------------------------------------------------------------------------|--------------
--------------------------------------------------------------------------------SSQS------||-----------------S---------------------------------------------------@------S------------------|--------------
------------------------------------------------------------------------------------------||----------------------------oo-----------------------------------------------------------------|--------------
----------------------------QQ------------------------------####--------------------------||----------------------------------------SS-----------------------------------------------------|--------------
------------------------------------------------------------##----oo----------------------||--------------------------------------------------SSS------------------------------------------|--------------
------------------o-----------------SS---------------o----------------SS------C-----------||------------------------------------------------------------------##---------------------------|--------------
------------------------------------SS--------------------------------SS------------------||------------------------------------------------------------------##--------SS-----------------|--------------
-----------Q------------------------------------------------?-----------SS------------QQ--||------XX---------------------------------------------------------------------------------------|----------F---
---M---------------------------------------S-----------o-------------------------K--------||------XX---------------------------------------------------------------------------------------|----------#---
--XX----------------------XX--------------------XX------XX----------XXXX----------XX------||------XX--------------------------------------XX----------XX----XX------------------------XX---|----XX--XXXX--
--XX----------------------XX--------------------XX------XX----------XXXX----------XX------||------XX--------------------------------------XX----------XX----XX------------------------XX---|----XX--XXXX--
