----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------%%%%--------SSSSSS----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----SS-------||-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------||-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------S----||------------------------------------------------------------------------------------------SSS------------------------SSS---------------SSS-------------------------------------------------
-------------||-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------||-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------||-------------------------------------------------------------------------------------------------------------##----------------------------------------------------------------------------
-------------||-------------------------------------------------------------------------------------------------------------##----------------------------------------------------------------------------
-------------||-------------------------------------------------------------------------------------------------------------##----------------------------------------------------------------------------
-------------||---------------------------------------------------------------------------------------SSS---------------------------------------------------------------------------------------------F---
---M---------||-----------------------------------------------------------------------------------------------------------------------------------------------SS--------------------------------------#---
XXXXXXXXX----||---XXX------------------------------------XXX---XXX------------XXX------XXX---------------------------------XXX---------XXX------------------------------XXX------------------------XXXXXXX
XXXXXXXXX----||---XXX------------------------------------XXX---XXX------------XXX------XXX---------------------------------XXX---------XXX------------------------------XXX------------------------XXXXXXX
