----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------S------------------------------SSS------------SSS---------------SSS------------------------------------------SSS---------------SSSSSS----------%%%%--------------
---SS-------------------------------------------SS---------------------------------------------------------------------------------------------------------------------------------------||---------SS----
---------------#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------||---------------
-------------###-----------------------------------------SSS------------------------------------------------------------SSS--------------------------------------------------------------||---------------
-------------###--------------------------------------------------------------------------TT---------------------------------------------------------------------------------------------||---------------
-------------###--------------------------------------------------------------------------TT---------------------------------------------------------------------------------------------||---------------
-------------###-----------------SSS------------------------------------------------------XX----SSSSS--------------------------------------------------------SS--------------------------||---------------
-------------###--------------------------------------------------SSS---------------------------------------------------------------------------oo----oo---------------------------------||---------------
-------------###----------------------------------------------o--------------------------------------------------SS----------------------------------------------------------------------||---------------
---------------#--------SS-------------------------------------------------TT------------------------------------------------------------------------------------------------------------||-----------F---
---M-----------#-----------------------------------------------------------TT------------------------------------------------------------------------------------------------------------||-----------#---
XXXXXXXXX---XXXXXXXXX------------------------------XXX---XXX------------XXXXXX------------XXX------------XXX------------------X----------------------------X---------------XXX-----------||-----XXXXXXXXXX
XXXXXXXXX---XXXXXXXXX------------------------------XXX---XXX------------XXXXXX------------XXX------------XXX------------------X----------------------------X---------------XXX-----------||-----XXXXXXXXXX
