----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------o-----------------------------------------------------------------------%%%%-------SS--------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------||--------------------SSS-----------------%%%---------------------------------------------------SSS-----------
--------------------------------------------------------------------------------------------||---------------------------SSS-----------|------------------------------------------------------------------
---------------SSS------------SSSSSS-------------------------------------------SS-----------||-----------------------------------------|----------------------------------------------S-------------------
--------------------------------------------------------------------------------------------||-----------------------------------------|------------------------------------------------------------------
--------------------------------------------------------------------------------------------||-----------------------------------------|------------------------------------------------------------------
--------------------------------------------------------------------------------------------||-----------------------------------------|-------------o------SSS------------------------SS-----------------
-----SSSS---QQQ------------------------------------QQQ--------------------------------------||-----------------------------#-----------|------------------------------------------------------------------
--------------------------------------------------------------------------------------------||--------------------------K--#-----------|------------------------------------------------------------------
-----------------------S---------SSS--------------------------------------------------------||-----------------------------#-----------|------------------o-------------------------------------------F---
---M-----------------------------------------------------------TT---------------------------||-------SSSS------------------#-----------|--------------------------------------------------------------#---
XXXXXXXXX---XXX------------XXX---------------------XXXXXX------TT----XXX------------XXX-----||-----------------XXX------XXXXXX---------|--------------------------------XXXXXX---------XXX---------XXXXXXX
XXXXXXXXX---XXX------------XXX---------------------XXXXXX------XX----XXX------------XXX-----||-----------------XXX------XXXXXX---------|--------------------------------XXXXXX---------XXX---------XXXXXXX
