----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------%%%%--------------------------------------------------------------------------------------SSS---------------------------------------SS--------------------------------------------
-------------------------||--------------------------------------------------------------------------------------------------------------------------------------------------------------%%%--------------
-------------------------||---------------------------------------------------------------------------------------------------------------------------------------#-----------------------|---------------
-------------------------||---------------------------------------------------------------SSS-------------------------------------------------------------------###-----------------------|---------------
-------------------------||-------------------------------------------------------------------------------------------------------------------------------------###-------SSS-------------|---------------
-------------------------||-------------------------------------------------------------------------------------------------------------------------------------###-----------------TT----|---------------
-------------------------||---------------------------------------------------------------------------------------------------------------SSS--------------o----###-----------------TT----|---------------
-------------------------||-------------------------------------------------------------------------------------------------------------------------------------###-----------------XX----|---------------
-------------------------||-------------------------------------------------------------------------------------------------------------------------------------###-----------------------|---------------
------------SSSSSS-------||------------------------------SSS------------------------------SSS-------SS------------------------------------------------------------#------------o----------|-----------F---
---M---------------------||---------------------------------------------------------------------------------------------------------------------------------------#-----SSS---------------|-----------#---
XXXXXXXXX----------------||------------XXX---------XXX------------------XXX---------XXX------------------XXX------------------------------XXX------------------XXXXXX---------------XXX---|--------XXXXXXX
XXXXXXXXX----------------||------------XXX---------XXX------------------XXX---------XXX------------------XXX------------------------------XXX------------------XXXXXX---------------XXX---|--------XXXXXXX
