----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------%%%%-------SSS------------------------------SSS------------------------------------------------------------------------------------SSS-------------
--------------SSSS--------------------------------------||-------------------------------------------------------------------------------------------------------------------SSS--------------------------
--------------------------------------------------------||--------------------------k----------------------------------------------------------------------K----SSS---------------------------------------
------------------SSS-----------------------------------||----S------------SSS------##-------------------SSS------SS-------------------------------------SSS----------------------------------------------
--------------------------------------------------------||-------------------------###--------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------||------------------------####--------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------||-----------------------#####--------------------------------------------------------SSS---------------------------------------------------------
---------------------------------------SS!S-------------||----------------------######--------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------||---------------------#######--------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------||--------------------########----------------------SSS---SSS------------SSSSS----------------------------------------------------------------F---
---M----------------------------------------------------||--------------g----#########----------------------------------------------------------------------------------------------------------------#---
XXXXXXXXX------------XXX---------------XXX--------------||-----XXX---XXXXXXXXXXXXXXXXXXXXX---%%%---%%%------------------XXX---------------------------------XXX---------XXX------------------------XXXXXXX
XXXXXXXXX------------XXX---------------XXX--------------||-----XXX---XXXXXXXXXXXXXXXXXXXXX---||-----||------------------XXX---------------------------------XXX---------XXX------------------------XXXXXXX
