level,M,N,seed,completionPct,compressionDistance,editDistance,densityMetric,leniencyMetric,linearityRSquared
1,1,1,1001641798,0.09,0.831032,577,0.109361,0.765610,0.0362
1,1,1,1004306364,0.25,0.836366,582,0.107563,0.734427,0.0011
1,1,1,1010978582,0.12,0.853591,588,0.128924,0.725832,0.0042
1,1,1,1011567003,0.13,0.841700,581,0.116481,0.767420,0.0031
1,1,1,1012012773,0.39,0.843603,595,0.102240,0.678043,0.0001
1,1,1,1012966232,0.26,0.847034,589,0.089762,0.761753,0.0171
1,1,1,1013004600,0.11,0.836366,585,0.086201,0.761932,0.0047
1,1,1,1014361983,0.12,0.857702,596,0.089762,0.755623,0.0287
1,1,1,1015440888,0.12,0.852368,581,0.091560,0.758744,0.0334
1,1,1,1022846210,0.18,0.836366,571,0.112921,0.787576,0.0273
1,1,1,1023722256,0.16,0.836366,577,0.105801,0.792230,0.0025
1,1,1,1027608383,0.07,0.863036,571,0.104003,0.784164,0.0085
1,1,1,1033480057,0.17,0.842364,598,0.123602,0.722323,0.0133
1,1,1,1036474372,0.19,0.855385,598,0.114683,0.728279,0.0329
1,1,1,1037401273,0.19,0.836366,578,0.112921,0.759262,0.0002
1,1,1,1038218488,0.54,0.859386,588,0.107563,0.700437,0.0093
1,1,1,1038240813,0.18,0.857702,583,0.096882,0.748698,0.0036
1,1,1,103857881,0.15,0.857702,582,0.098680,0.751023,0.0256
1,1,1,1039945894,0.17,0.850172,602,0.116481,0.712340,0.0005
1,1,1,1041003529,0.29,0.841700,587,0.114683,0.735225,0.0006
1,1,1,1041135095,0.10,0.854793,590,0.105801,0.697609,0.0013
1,1,1,1042214707,0.10,0.857702,594,0.127162,0.724369,0.0006
1,1,1,1043124369,0.13,0.863036,610,0.112921,0.753046,0.0001
1,1,1,1047191324,0.11,0.815222,575,0.116481,0.742784,0.0181
1,1,1,1047930356,0.12,0.841700,575,0.098680,0.785126,0.0118
1,1,1,1052850471,0.14,0.837737,599,0.121804,0.723795,0.0002
1,1,1,1053293722,0.16,0.825698,575,0.073758,0.736386,0.0094
1,1,1,1059209602,0.10,0.831032,599,0.102240,0.736763,0.0694
1,1,1,1060260341,0.33,0.841700,578,0.100442,0.727612,0.0071
1,1,1,1061751410,0.07,0.857702,595,0.093322,0.748165,0.0468
1,1,1,1062255042,0.75,0.833452,596,0.132485,0.733751,0.0672
