level,M,N,seed,completionPct,compressionDistance,editDistance,densityMetric,leniencyMetric,linearityRSquared
1,1,1,1001641798,0.09,0.018518518518518517,577,0.3416,-60.3269,0.0362
1,1,1,1004306364,0.25,0.009216589861751152,582,0.3366,-68.1531,0.0011
1,1,1,1010978582,0.12,0.0091324200913242,588,0.3960,-70.3103,0.0042
1,1,1,1011567003,0.13,0.061465721040189124,581,0.3614,-59.8725,0.0031
1,1,1,1012012773,0.39,0.05790645879732739,595,0.3218,-82.3043,0.0001
1,1,1,1012966232,0.26,0.0761904761904762,589,0.2871,-61.2949,0.0171
1,1,1,1013004600,0.11,0.081145584725537,585,0.2772,-61.2500,0.0047
1,1,1,1014361983,0.12,0.09615384615384616,596,0.2871,-62.8333,0.0287
1,1,1,1015440888,0.12,0.11138014527845036,581,0.2921,-62.0500,0.0334
1,1,1,1022846210,0.18,0.09615384615384616,571,0.3515,-54.8137,0.0273
1,1,1,1023722256,0.16,0.0861244019138756,577,0.3317,-53.6458,0.0025
1,1,1,1027608383,0.07,0.15308641975308643,571,0.3267,-55.6702,0.0085
1,1,1,1033480057,0.17,0.0091324200913242,598,0.3812,-71.1909,0.0133
1,1,1,1036474372,0.19,0.049217002237136466,598,0.3564,-69.6961,0.0329
1,1,1,1037401273,0.19,0.0,578,0.3515,-61.9200,0.0002
1,1,1,1038218488,0.54,0.05790645879732739,588,0.3366,-76.6837,0.0093
1,1,1,1038240813,0.18,0.10628019323671498,583,0.3069,-64.5714,0.0036
1,1,1,103857881,0.15,0.046948356807511735,582,0.3119,-63.9878,0.0256
1,1,1,1039945894,0.17,0.05357142857142857,602,0.3614,-73.6964,0.0005
1,1,1,1041003529,0.29,0.0091324200913242,587,0.3564,-67.9528,0.0006
1,1,1,1041135095,0.10,0.01366742596810934,590,0.3317,-77.3936,0.0013
1,1,1,1042214707,0.10,0.004576659038901602,594,0.3911,-70.6774,0.0006
1,1,1,1043124369,0.13,0.04215456674473068,610,0.3515,-63.4800,0.0001
1,1,1,1047191324,0.11,0.04044943820224719,575,0.3614,-66.0556,0.0181
1,1,1,1047930356,0.12,0.027906976744186046,575,0.3119,-55.4286,0.0118
1,1,1,1052850471,0.14,0.01818181818181818,599,0.3762,-70.8214,0.0002
1,1,1,1053293722,0.16,0.07125890736342043,575,0.2426,-67.6613,0.0094
1,1,1,1059209602,0.10,0.013856812933025405,599,0.3218,-67.5667,0.0694
1,1,1,1060260341,0.33,0.0091324200913242,578,0.3168,-69.8636,0.0071
1,1,1,1061751410,0.07,0.05176470588235294,595,0.2970,-64.7051,0.0468
1,1,1,1062255042,0.75,0.05357142857142857,596,0.4059,-68.3226,0.0672
1,1,1,1064032374,0.14,0.1964735516372796,587,0.2673,-58.3286,0.0001
1,1,1,1064486697,0.46,0.02320185614849188,587,0.3515,-70.5000,0.0042
1,1,1,106504493,0.33,0.004597701149425287,591,0.3762,-65.2778,0.0063
1,1,1,106587538,0.12,0.004597701149425287,589,0.3564,-67.8818,0.0000
1,1,1,1066273454,0.28,0.013856812933025405,584,0.3465,-61.3302,0.0027
1,1,1,1068183337,0.30,0.02320185614849188,594,0.3267,-68.0957,0.0075
