level,M,N,seed,completionPct
11,14,2,1007377500,1.00
11,14,2,100809929,1.00
11,14,2,1008910923,1.00
11,14,2,1009539057,1.00
11,14,2,1021367272,1.00
11,14,2,1021640706,1.00
11,14,2,1023422436,1.00
11,14,2,1024293374,1.00
11,14,2,1030181821,1.00
11,14,2,1031355879,1.00
11,14,2,1033424465,1.00
11,14,2,1034009232,1.00
11,14,2,1034327289,1.00
11,14,2,1036792222,1.00
11,14,2,1043077053,1.00
11,14,2,1044306931,1.00
11,14,2,1047769518,1.00
11,14,2,105300218,1.00
11,14,2,1053224620,1.00
11,14,2,1057741487,1.00
11,14,2,1060614365,1.00
11,14,2,1068294217,1.00
11,14,2,106938787,1.00
11,14,2,1069998148,1.00
11,14,2,1072076429,1.00
11,14,2,1073943930,1.00
11,14,2,1079141869,1.00
11,14,2,1085025411,1.00
11,14,2,1099905981,1.00
11,14,2,1101331502,1.00
11,14,2,1103029117,1.00
11,14,2,1107733190,1.00
11,14,2,1111492824,1.00
11,14,2,1111629349,1.00
11,14,2,1115377620,1.00
11,14,2,1123898083,1.00
11,14,2,1125676472,1.00
11,14,2,1126035392,1.00
11,14,2,1128252833,1.00
11,14,2,1129159094,1.00
11,14,2,1129562518,1.00
11,14,2,1129766833,1.00
11,14,2,1131059704,1.00
11,14,2,1137235189,1.00
11,14,2,113933278,1.00
11,14,2,1141002997,1.00
11,14,2,1143428209,1.00
11,14,2,1144006319,1.00
11,14,2,1146421746,1.00
11,14,2,1148518376,1.00
11,14,2,1149095865,1.00
11,14,2,1150003503,1.00
11,14,2,115004013,1.00
11,14,2,1155383755,1.00
11,14,2,115904951,1.00
11,14,2,1160648909,1.00
11,14,2,1169063424,1.00
11,14,2,117328224,1.00
11,14,2,1177145613,1.00
11,14,2,1182638688,1.00
11,14,2,1185915396,1.00
11,14,2,1187046171,1.00
11,14,2,118958320,1.00
11,14,2,1197460902,1.00
11,14,2,1208380380,1.00
11,14,2,1208508442,1.00
11,14,2,1213262791,1.00
11,14,2,1217339515,1.00
11,14,2,1220492224,1.00
11,14,2,1223773794,1.00
11,14,2,1226574802,1.00
11,14,2,1227166346,1.00
11,14,2,1228754751,1.00
11,14,2,1235328474,1.00
11,14,2,1238891230,1.00
11,14,2,1242720391,1.00
11,14,2,1248112851,1.00
11,14,2,1248132426,1.00
11,14,2,1249167093,1.00
11,14,2,1249799023,1.00
11,14,2,1252346218,1.00
11,14,2,1254747013,1.00
11,14,2,1254864609,1.00
11,14,2,1255078397,1.00
11,14,2,1259174031,1.00
11,14,2,1261677122,1.00
11,14,2,1263145343,1.00
11,14,2,1265574420,1.00
11,14,2,1270216659,1.00
11,14,2,1278571457,1.00
11,14,2,1287787653,1.00
11,14,2,1292221910,1.00
11,14,2,129307423,1.00
11,14,2,1296028400,1.00
11,14,2,1299731499,1.00
11,14,2,1302900343,1.00
11,14,2,1303123013,1.00
11,14,2,1309951381,1.00
11,14,2,1313468976,1.00
11,14,2,1313752568,1.00
11,14,2,1320330649,1.00
11,14,2,1320933345,1.00
11,14,2,1328938571,1.00
11,14,2,1330988942,1.00
11,14,2,1331119457,1.00
11,14,2,1333929536,1.00
11,14,2,1334811903,1.00
11,14,2,1336258484,0.94
11,14,2,1337243409,1.00
11,14,2,1339653327,1.00
11,14,2,1353263574,1.00
11,14,2,1356826028,1.00
11,14,2,135946683,1.00
11,14,2,1360220328,1.00
11,14,2,1362016060,1.00
11,14,2,1367498069,1.00
11,14,2,1369775064,1.00
11,14,2,1376417056,1.00
11,14,2,1381641077,1.00
11,14,2,1384477475,1.00
11,14,2,1386871433,1.00
11,14,2,139368356,1.00
11,14,2,1401529789,1.00
11,14,2,140474584,1.00
11,14,2,1405310601,1.00
11,14,2,1407214316,1.00
11,14,2,1409462045,1.00
11,14,2,1412004653,1.00
11,14,2,1418555901,1.00
11,14,2,1420080259,1.00
11,14,2,1424923630,1.00
11,14,2,1425742773,1.00
11,14,2,1431783111,1.00
11,14,2,143405309,1.00
11,14,2,1437907663,1.00
11,14,2,1437979903,1.00
11,14,2,1439151564,1.00
11,14,2,1440045591,1.00
11,14,2,1444242547,1.00
11,14,2,1445633822,1.00
11,14,2,1452709467,1.00
11,14,2,1475209292,1.00
11,14,2,1478964481,1.00
11,14,2,1479143001,1.00
11,14,2,14854998,1.00
11,14,2,1489019332,1.00
11,14,2,1489856218,1.00
11,14,2,1501778321,1.00
11,14,2,1508207732,1.00
11,14,2,1520604673,1.00
11,14,2,152779208,1.00
11,14,2,1534938552,1.00
11,14,2,1535376258,1.00
11,14,2,1549456656,1.00
11,14,2,1549961136,1.00
11,14,2,1551807000,1.00
11,14,2,15543339,1.00
11,14,2,1558772428,1.00
11,14,2,1559635794,1.00
11,14,2,1565039346,1.00
