level,M,N,seed,compressionDistance
13,14,2,1001865095,0.024390243902439025
13,14,2,100356515,0.024390243902439025
13,14,2,10050068,0.024390243902439025
13,14,2,1012464788,0.024390243902439025
13,14,2,1016899417,0.024390243902439025
13,14,2,1017096710,0.024390243902439025
13,14,2,1019292999,0.024390243902439025
13,14,2,1019686564,0.024390243902439025
13,14,2,1028181055,0.024390243902439025
13,14,2,1028221476,0.024390243902439025
13,14,2,1035347563,0.024390243902439025
13,14,2,1038996773,0.024390243902439025
13,14,2,1045610837,0.024390243902439025
13,14,2,1046168067,0.024390243902439025
13,14,2,1047582324,0.024390243902439025
13,14,2,1047730424,0.024390243902439025
13,14,2,1051758644,0.024390243902439025
13,14,2,1052804778,0.024390243902439025
13,14,2,1053518258,0.024390243902439025
13,14,2,105892043,0.024390243902439025
13,14,2,1060439587,0.024390243902439025
13,14,2,1063935025,0.024390243902439025
13,14,2,1066245319,0.024390243902439025
13,14,2,1070231844,0.024390243902439025
13,14,2,1073177884,0.024390243902439025
13,14,2,1073656638,0.024390243902439025
13,14,2,107680102,0.024390243902439025
13,14,2,1078143893,0.024390243902439025
13,14,2,1090355814,0.024390243902439025
13,14,2,1095464070,0.024390243902439025
13,14,2,1100744875,0.024390243902439025
13,14,2,1105137414,0.024390243902439025
13,14,2,1108422357,0.024390243902439025
13,14,2,1112607938,0.024390243902439025
13,14,2,1113958621,0.024390243902439025
13,14,2,1116689741,0.024390243902439025
13,14,2,1121570979,0.0
13,14,2,1126128881,0.024390243902439025
13,14,2,1136164117,0.024390243902439025
13,14,2,1136439112,0.024390243902439025
13,14,2,1137398537,0.024390243902439025
13,14,2,1138809542,0.024390243902439025
13,14,2,1144887126,0.016194331983805668
13,14,2,1146759050,0.016194331983805668
13,14,2,1148296322,0.024390243902439025
13,14,2,1151456544,0.024390243902439025
13,14,2,1156034471,0.024390243902439025
13,14,2,1158550516,0.024390243902439025
13,14,2,1171056575,0.024390243902439025
13,14,2,1172244741,0.024390243902439025
13,14,2,1172745126,0.024390243902439025
13,14,2,1173827410,0.024390243902439025
13,14,2,11740192,0.024390243902439025
13,14,2,11759980,0.024390243902439025
13,14,2,1176342764,0.024390243902439025
13,14,2,1176358289,0.024390243902439025
13,14,2,1186157259,0.024390243902439025
13,14,2,1194429390,0.024390243902439025
13,14,2,1201381914,0.024390243902439025
13,14,2,1201438464,0.016194331983805668
13,14,2,1207965399,0.024390243902439025
13,14,2,1207966963,0.024390243902439025
13,14,2,1209017041,0.024390243902439025
13,14,2,1209580885,0.024390243902439025
13,14,2,1211527011,0.024390243902439025
13,14,2,121281623,0.024390243902439025
13,14,2,1214181327,0.024390243902439025
13,14,2,1220952180,0.024390243902439025
13,14,2,1223440064,0.024390243902439025
13,14,2,1223787389,0.024390243902439025
13,14,2,1234086989,0.024390243902439025
13,14,2,1237584719,0.024390243902439025
13,14,2,1237906394,0.024390243902439025
13,14,2,1240790394,0.024390243902439025
13,14,2,1245483926,0.024390243902439025
13,14,2,1254781923,0.024390243902439025
13,14,2,1259787192,0.024390243902439025
13,14,2,1265534998,0.024390243902439025
13,14,2,1268189701,0.016194331983805668
13,14,2,1270093574,0.016194331983805668
13,14,2,1272367331,0.024390243902439025
13,14,2,1273616107,0.024390243902439025
13,14,2,1277767425,0.024390243902439025
13,14,2,1281919863,0.024390243902439025
13,14,2,1285568870,0.024390243902439025
13,14,2,1287779125,0.024390243902439025
13,14,2,1295242393,0.024390243902439025
13,14,2,1296315942,0.024390243902439025
13,14,2,1302866380,0.024390243902439025
13,14,2,130852969,0.024390243902439025
13,14,2,1314730301,0.024390243902439025
13,14,2,132204601,0.024390243902439025
13,14,2,1323383467,0.024390243902439025
13,14,2,1325867748,0.024390243902439025
13,14,2,1329397550,0.024390243902439025
13,14,2,1332785086,0.024390243902439025
13,14,2,1334596484,0.024390243902439025
13,14,2,1336045845,0.0
13,14,2,1338065893,0.024390243902439025
13,14,2,133901280,0.024390243902439025
13,14,2,1345257436,0.024390243902439025
13,14,2,134557534,0.024390243902439025
13,14,2,1346406079,0.008
13,14,2,1356154863,0.0
13,14,2,1369574576,0.024390243902439025
13,14,2,1375450941,0.024390243902439025
13,14,2,1390157776,0.024390243902439025
13,14,2,1393333588,0.024390243902439025
13,14,2,140256198,0.024390243902439025
13,14,2,14052253,0.024390243902439025
13,14,2,1405497925,0.024390243902439025
13,14,2,1406088051,0.024390243902439025
13,14,2,1406947456,0.024390243902439025
13,14,2,1408065889,0.024390243902439025
13,14,2,1408675758,0.024390243902439025
13,14,2,1408875829,0.016194331983805668
13,14,2,1410757328,0.024390243902439025
13,14,2,1410869802,0.024390243902439025
13,14,2,1418313382,0.024390243902439025
13,14,2,1419451570,0.016194331983805668
13,14,2,1428312078,0.024390243902439025
13,14,2,1429404442,0.024390243902439025
13,14,2,143195621,0.024390243902439025
13,14,2,1435099081,0.024390243902439025
13,14,2,1435159375,0.024390243902439025
13,14,2,1436761869,0.016194331983805668
13,14,2,1437329558,0.016194331983805668
13,14,2,1440199207,0.024390243902439025
13,14,2,144112110,0.024390243902439025
13,14,2,144439651,0.024390243902439025
13,14,2,1445707086,0.024390243902439025
13,14,2,1446388338,0.024390243902439025
13,14,2,1447493626,0.024390243902439025
13,14,2,1450595093,0.024390243902439025
13,14,2,145391876,0.024390243902439025
13,14,2,1457340243,0.024390243902439025
13,14,2,1460284746,0.024390243902439025
13,14,2,1472371322,0.016194331983805668
13,14,2,1477939799,0.024390243902439025
13,14,2,1482938778,0.024390243902439025
13,14,2,1485891508,0.024390243902439025
13,14,2,149232822,0.024390243902439025
13,14,2,1496705049,0.024390243902439025
13,14,2,149971275,0.024390243902439025
13,14,2,1501919943,0.024390243902439025
13,14,2,1503501947,0.024390243902439025
13,14,2,1511500597,0.024390243902439025
13,14,2,1511909971,0.024390243902439025
13,14,2,1514416641,0.0
13,14,2,1522269231,0.024390243902439025
13,14,2,1523252083,0.024390243902439025
13,14,2,1526163694,0.024390243902439025
13,14,2,1528166985,0.024390243902439025
13,14,2,1528822178,0.024390243902439025
13,14,2,15327959,0.024390243902439025
13,14,2,1533293226,0.016194331983805668
13,14,2,1534286707,0.024390243902439025
13,14,2,1538150677,0.024390243902439025
13,14,2,1542885993,0.0
13,14,2,1546315243,0.024390243902439025
13,14,2,1551151113,0.024390243902439025
13,14,2,1558492081,0.024390243902439025
13,14,2,1561958642,0.024390243902439025
13,14,2,1562754980,0.024390243902439025
13,14,2,1566105220,0.024390243902439025
13,14,2,1566127181,0.024390243902439025
13,14,2,1573926092,0.024390243902439025
13,14,2,1577328396,0.024390243902439025
13,14,2,1578926688,0.024390243902439025
13,14,2,1584285646,0.024390243902439025
13,14,2,1587648608,0.024390243902439025
13,14,2,1600805369,0.024390243902439025
13,14,2,1602548802,0.024390243902439025
