level,M,N,seed,editDistance
15,14,2,1003230641,50
15,14,2,1005755372,32
15,14,2,100632844,50
15,14,2,1011428303,32
15,14,2,1020955650,32
15,14,2,1024450181,26
15,14,2,103070305,24
15,14,2,1032566059,32
15,14,2,1037350528,36
15,14,2,1038883129,42
15,14,2,1046915517,34
15,14,2,1052142795,32
15,14,2,1058957375,44
15,14,2,1060892191,30
15,14,2,1066219829,36
15,14,2,1073272961,26
15,14,2,107671954,44
15,14,2,107769627,28
15,14,2,1080834013,24
15,14,2,1082314175,42
15,14,2,1089614598,48
15,14,2,1096826609,42
15,14,2,109722433,44
15,14,2,1097519480,32
15,14,2,1114116632,36
15,14,2,1114759178,36
15,14,2,112082184,50
15,14,2,1121071924,30
15,14,2,1125550594,26
15,14,2,1130430193,42
15,14,2,1130953896,34
15,14,2,113463153,32
15,14,2,1134735971,28
15,14,2,113534766,40
15,14,2,1138061863,34
15,14,2,1143661877,36
15,14,2,1145786771,36
15,14,2,1146297808,32
15,14,2,1151593180,32
15,14,2,1154270363,34
15,14,2,1155196317,34
15,14,2,1159340127,34
15,14,2,1164950881,36
15,14,2,116667107,38
15,14,2,1174120565,30
15,14,2,1175175259,30
15,14,2,1193129330,26
15,14,2,1195068883,30
15,14,2,1200158203,24
15,14,2,1200935411,42
15,14,2,1206750499,26
15,14,2,1207503318,32
15,14,2,1211224596,30
15,14,2,1213447672,40
15,14,2,1227049407,24
15,14,2,1228598231,34
15,14,2,1229919910,34
15,14,2,1238125010,28
15,14,2,1247698095,36
15,14,2,1260629221,28
15,14,2,1275908440,24
15,14,2,1276084527,46
15,14,2,1278191166,34
15,14,2,1282536370,24
15,14,2,1282917812,28
15,14,2,1284331831,36
15,14,2,1286508618,36
15,14,2,1291662324,46
15,14,2,1298625708,24
15,14,2,1302929716,32
15,14,2,1307049131,26
15,14,2,1319673534,24
15,14,2,1332570787,34
15,14,2,1352485704,30
15,14,2,135556410,24
15,14,2,1357005491,32
15,14,2,137018277,44
15,14,2,1372093783,36
15,14,2,1374715224,28
15,14,2,1377007108,52
15,14,2,1387151890,36
15,14,2,1392097658,32
15,14,2,1394987019,30
15,14,2,1398201667,40
15,14,2,1399241903,32
15,14,2,1400802000,42
15,14,2,1404672514,24
15,14,2,1408327055,32
15,14,2,1411450064,30
15,14,2,1413960578,40
15,14,2,1416567742,36
15,14,2,1419606687,24
15,14,2,1430824342,38
15,14,2,1440492797,32
15,14,2,1440739017,42
15,14,2,1442860858,22
15,14,2,1445201825,24
15,14,2,1450537522,24
15,14,2,1451545910,28
15,14,2,146168440,38
15,14,2,1466376568,38
15,14,2,1466552672,34
15,14,2,1470474437,26
15,14,2,1474689114,32
15,14,2,1481164812,26
15,14,2,1483461119,36
15,14,2,1485784693,28
15,14,2,1486552512,38
15,14,2,1490206701,34
15,14,2,1499029792,24
15,14,2,150133912,50
15,14,2,1502164062,28
15,14,2,1509155999,52
15,14,2,1511078146,34
15,14,2,1518211367,36
15,14,2,1520091366,48
15,14,2,1520343607,30
15,14,2,1520772872,24
15,14,2,1524481216,34
15,14,2,1545450376,32
15,14,2,1561697930,36
15,14,2,1561848847,36
15,14,2,1562855042,36
15,14,2,1565474021,36
15,14,2,1566575732,28
15,14,2,1567392547,34
15,14,2,1576645926,44
15,14,2,1587608360,26
15,14,2,1591825128,32
15,14,2,1593907694,26
15,14,2,1595920561,36
15,14,2,1597679630,40
15,14,2,1598633045,28
15,14,2,1608717914,24
15,14,2,1609519136,56
15,14,2,1613299923,28
15,14,2,1617428679,28
15,14,2,1618243425,40
15,14,2,1620371521,24
15,14,2,1621360126,32
15,14,2,1629311922,30
15,14,2,1630414029,24
15,14,2,1639257339,26
15,14,2,1640374508,24
15,14,2,1645231976,40
15,14,2,1645471682,30
15,14,2,1648411373,28
15,14,2,1656406480,36
15,14,2,1658976100,28
15,14,2,166026717,28
15,14,2,1660368022,32
15,14,2,1661125770,32
15,14,2,1665985246,44
15,14,2,1667762407,34
15,14,2,1667766695,42
15,14,2,167125444,38
15,14,2,167806227,28
15,14,2,1680865612,40
15,14,2,1682069719,38
15,14,2,1686253201,32
15,14,2,1691942553,26
15,14,2,1700244166,36
15,14,2,1702263686,36
15,14,2,1702632365,24
15,14,2,1702844146,28
15,14,2,1710938738,32
15,14,2,1714568883,44
15,14,2,1717605128,28
15,14,2,1719819239,34
15,14,2,1720836988,38
15,14,2,172495518,50
15,14,2,1726850846,42
15,14,2,1727038916,24
15,14,2,1732529926,24
15,14,2,1736136772,50
15,14,2,1737978195,42
15,14,2,17383935,46
15,14,2,1741365955,28
15,14,2,1742860559,44
15,14,2,1756074721,26
15,14,2,176044186,38
15,14,2,1764653005,24
15,14,2,1764935762,32
15,14,2,1766255356,44
15,14,2,1768699965,28
15,14,2,1775664022,26
15,14,2,1779720666,60
15,14,2,1786126025,38
15,14,2,1795903830,32
15,14,2,1796569166,34
15,14,2,1797774747,28
15,14,2,1814552560,34
15,14,2,1815132296,32
15,14,2,1815861161,40
15,14,2,1827339062,36
15,14,2,1828461977,34
15,14,2,1830645974,26
15,14,2,1832190101,24
15,14,2,1834349101,34
15,14,2,1837267952,34
15,14,2,183995694,24
15,14,2,184071106,34
15,14,2,1842593868,40
15,14,2,1845142266,42
15,14,2,1845935743,44
15,14,2,184813446,26
15,14,2,1849189961,30
15,14,2,1849906751,48
15,14,2,1851651374,32
15,14,2,1853570680,24
15,14,2,1855513961,38
15,14,2,1856804975,40
15,14,2,1857638784,34
15,14,2,1858606283,26
15,14,2,1869645377,36
15,14,2,1870748648,26
15,14,2,1880516332,36
15,14,2,1881736887,26
15,14,2,1886315630,34
15,14,2,1886655360,44
15,14,2,1890893109,46
15,14,2,189155173,24
15,14,2,1893709830,32
15,14,2,1894153296,48
15,14,2,1894306959,42
15,14,2,1898341491,36
15,14,2,1904637170,42
15,14,2,1918426229,30
15,14,2,1921259933,26
15,14,2,1922787532,34
15,14,2,1922792342,26
15,14,2,1927036801,36
15,14,2,1929352144,32
15,14,2,1930362825,40
15,14,2,1938699766,42
15,14,2,1943496421,30
15,14,2,1943918272,28
15,14,2,1948235494,34
15,14,2,1950100733,32
15,14,2,1951711786,36
15,14,2,1958623064,34
15,14,2,1964208810,32
15,14,2,1968587007,30
15,14,2,1973240443,30
15,14,2,1974644891,34
15,14,2,1979378276,24
15,14,2,1987492158,32
15,14,2,1988016315,30
15,14,2,1995033504,30
15,14,2,1995868345,26
15,14,2,1996144320,36
15,14,2,2006453801,28
15,14,2,2009447901,44
15,14,2,2011467440,30
15,14,2,2012842485,42
15,14,2,2015197804,40
15,14,2,2020072258,34
15,14,2,2022737557,38
15,14,2,2032778669,52
15,14,2,203435223,40
15,14,2,2038537790,42
15,14,2,2038612252,30
15,14,2,2044443730,18
15,14,2,204606360,22
15,14,2,2047861772,30
15,14,2,2048172098,42
15,14,2,2052413701,24
15,14,2,20545696,24
15,14,2,2059202431,36
15,14,2,2061056448,36
15,14,2,2066756674,28
15,14,2,2068717477,32
15,14,2,2071703427,34
15,14,2,2073504426,36
15,14,2,2074805682,24
15,14,2,2077326725,40
15,14,2,2092941731,34
15,14,2,209504758,28
15,14,2,2098214363,42
15,14,2,2100189847,38
15,14,2,2100864723,32
15,14,2,2102134956,32
15,14,2,210894751,32
15,14,2,2115620864,40
15,14,2,2127114785,26
15,14,2,2128118842,32
15,14,2,2137725408,44
15,14,2,2140264724,36
15,14,2,215433311,42
15,14,2,219331440,44
15,14,2,222943458,32
15,14,2,228386937,28
15,14,2,234329916,32
15,14,2,235120355,42
15,14,2,242922398,42
15,14,2,24373500,28
15,14,2,244169024,36
15,14,2,267028110,38
15,14,2,26976550,30
15,14,2,277086112,48
15,14,2,279595710,42
15,14,2,284508093,44
15,14,2,284803214,32
15,14,2,286383012,32
15,14,2,288447658,36
15,14,2,294139524,34
15,14,2,296098715,34
15,14,2,302158177,40
15,14,2,308619097,36
15,14,2,309392496,50
15,14,2,313125293,36
15,14,2,316372412,28
15,14,2,318687767,26
15,14,2,320253301,32
15,14,2,327644191,42
15,14,2,329452327,38
15,14,2,329673652,24
15,14,2,330584989,34
15,14,2,335609715,38
15,14,2,338856406,34
15,14,2,342019525,36
15,14,2,343550053,46
15,14,2,361751672,24
15,14,2,362144895,32
15,14,2,363642524,42
15,14,2,368686385,24
15,14,2,372257535,40
15,14,2,384428121,38
15,14,2,385660892,34
15,14,2,392034811,30
15,14,2,398806330,26
15,14,2,401054099,36
15,14,2,403662088,28
15,14,2,408473481,32
15,14,2,409767515,26
15,14,2,411222145,38
15,14,2,414559278,34
15,14,2,415238617,24
15,14,2,418413893,42
15,14,2,424852473,30
15,14,2,427323137,40
15,14,2,428144102,28
15,14,2,429792271,36
15,14,2,43218891,40
15,14,2,436699660,24
15,14,2,455149039,44
15,14,2,457938820,40
15,14,2,460412419,32
15,14,2,462748285,40
15,14,2,476184391,34
15,14,2,476638304,36
15,14,2,488376901,34
15,14,2,496308853,48
15,14,2,499712650,34
15,14,2,500034191,42
15,14,2,504548286,44
15,14,2,505500246,24
15,14,2,522409758,40
15,14,2,527432715,32
15,14,2,529153343,40
15,14,2,53295153,36
15,14,2,53407284,30
15,14,2,538176314,42
15,14,2,540183644,20
15,14,2,540209540,34
15,14,2,543529070,44
15,14,2,545608535,48
15,14,2,546247583,32
15,14,2,547635763,24
15,14,2,550469567,38
15,14,2,558092674,48
15,14,2,558769004,26
15,14,2,56163440,40
15,14,2,565044049,32
15,14,2,571073699,44
15,14,2,574496612,32
15,14,2,575255319,26
15,14,2,576123355,26
15,14,2,576276842,34
15,14,2,577127274,24
15,14,2,581414923,36
15,14,2,582706001,40
15,14,2,583155657,34
15,14,2,596993207,38
15,14,2,601066941,30
15,14,2,603413950,32
15,14,2,607992266,24
15,14,2,608316175,38
15,14,2,608657682,24
15,14,2,613409398,28
15,14,2,619404897,28
15,14,2,635240694,24
15,14,2,650170942,42
15,14,2,658722687,26
15,14,2,659565226,26
15,14,2,668937711,30
15,14,2,670915214,36
15,14,2,672094401,28
15,14,2,672109252,24
15,14,2,672397407,28
15,14,2,674425200,26
15,14,2,675298499,28
15,14,2,679530537,32
15,14,2,682706145,18
15,14,2,683348621,26
15,14,2,697961417,40
15,14,2,698184218,38
15,14,2,699578192,40
15,14,2,699989295,44
15,14,2,705286426,38
15,14,2,705359044,34
15,14,2,7111804,30
15,14,2,713736068,24
15,14,2,713951046,36
15,14,2,716078920,26
15,14,2,720615256,26
15,14,2,728297588,48
15,14,2,729493920,24
15,14,2,731509971,24
15,14,2,734269961,28
15,14,2,746025133,50
15,14,2,748304728,30
15,14,2,748827346,42
15,14,2,751336758,36
15,14,2,758875548,42
15,14,2,762147922,28
15,14,2,768824956,46
15,14,2,775751287,28
15,14,2,776678774,42
15,14,2,783940515,44
15,14,2,784482697,24
15,14,2,789853414,34
15,14,2,795282328,32
15,14,2,795669895,46
15,14,2,803092023,26
15,14,2,808809368,46
15,14,2,810505402,34
15,14,2,810981288,24
15,14,2,821399728,30
15,14,2,8228228,34
15,14,2,831865677,38
15,14,2,837197724,28
15,14,2,8479017,32
15,14,2,849983826,44
15,14,2,851037057,30
15,14,2,854787375,20
15,14,2,859402848,40
15,14,2,861385173,28
15,14,2,862591383,36
15,14,2,864223095,32
15,14,2,866722713,32
15,14,2,874988180,32
15,14,2,875223225,8
15,14,2,877321904,30
15,14,2,879737055,24
15,14,2,89409165,34
15,14,2,894620464,34
15,14,2,904063648,36
15,14,2,904189331,42
15,14,2,904804496,32
15,14,2,908547900,32
15,14,2,909927886,38
15,14,2,91330095,26
15,14,2,915496048,26
15,14,2,91652960,24
15,14,2,931032979,32
15,14,2,933557587,44
15,14,2,933926173,32
15,14,2,935406593,44
15,14,2,935525877,44
15,14,2,938737486,38
15,14,2,941522092,32
15,14,2,942648952,30
15,14,2,945585774,38
15,14,2,947214516,34
15,14,2,953683002,36
15,14,2,954790369,40
15,14,2,957478768,44
15,14,2,963287598,44
15,14,2,97418756,46
15,14,2,975079334,40
15,14,2,975539278,28
15,14,2,982266821,34
15,14,2,988452948,26
15,14,2,999901529,26
15,14,2,1001901736,44
15,14,2,1006915176,36
15,14,2,1011779109,32
15,14,2,10232304,38
15,14,2,1026219253,34
15,14,2,103112510,36
15,14,2,1034184460,24
15,14,2,1041175705,48
15,14,2,1041737302,28
15,14,2,1042408138,42
15,14,2,1044440417,30
15,14,2,1048179556,34
15,14,2,1049451443,24
15,14,2,1051406171,40
15,14,2,1054714194,48
15,14,2,1059898794,28
15,14,2,1064361061,24
15,14,2,107233570,38
15,14,2,1079498953,30
15,14,2,1081484380,30
15,14,2,1083707546,32
15,14,2,1093427966,36
15,14,2,1093564805,42
15,14,2,1101234728,32
15,14,2,1105736783,32
15,14,2,1106503920,44
15,14,2,110711639,46
15,14,2,1108522060,44
15,14,2,1110825063,38
15,14,2,1111618686,38
15,14,2,1119181075,40
15,14,2,1139066095,40
15,14,2,1142088608,40
15,14,2,1142397150,42
15,14,2,1146921754,24
15,14,2,1146966208,26
15,14,2,1163163018,26
15,14,2,1163985150,24
15,14,2,1164985071,28
15,14,2,11696491,26
15,14,2,1177487730,28
15,14,2,1179083672,36
15,14,2,1184254978,36
15,14,2,1185675800,26
15,14,2,1188849012,32
15,14,2,1191206026,44
15,14,2,119262090,34
15,14,2,119334869,34
15,14,2,119422348,44
15,14,2,1195816075,28
15,14,2,1199629090,36
15,14,2,1207480893,38
15,14,2,1212306641,50
15,14,2,1216698663,28
15,14,2,1218956449,24
15,14,2,1219070186,28
15,14,2,1219597899,28
15,14,2,1220715990,32
15,14,2,1222864754,32
15,14,2,1225727581,40
15,14,2,1236046869,38
15,14,2,1238089418,32
15,14,2,1239333564,30
15,14,2,1239501044,36
15,14,2,1240543185,24
15,14,2,1240658825,30
15,14,2,1246383268,38
15,14,2,1247424055,38
15,14,2,1253559301,48
15,14,2,1256526295,38
15,14,2,126228815,36
15,14,2,1270043886,28
15,14,2,1274366963,36
15,14,2,1282677784,34
15,14,2,1284301108,28
15,14,2,1287655482,32
15,14,2,129014120,34
15,14,2,1290186766,26
15,14,2,129159512,26
15,14,2,129476759,36
15,14,2,1296181786,32
15,14,2,1297513962,22
15,14,2,1297797396,36
15,14,2,1300281288,36
15,14,2,1300640459,38
15,14,2,1301515498,28
15,14,2,130343672,50
15,14,2,1308965385,48
15,14,2,1318750417,26
15,14,2,1320558199,32
15,14,2,1324459618,40
15,14,2,1329511017,34
15,14,2,1332063548,40
15,14,2,1333968375,34
15,14,2,1343114302,40
15,14,2,1347889984,32
15,14,2,1348223692,44
15,14,2,1352070980,28
15,14,2,1354009513,30
15,14,2,1355421571,54
