level,M,N,seed,linearityRSquared
13modified,14,2,100334696,NaN
13modified,14,2,1005713264,NaN
13modified,14,2,1010932164,NaN
13modified,14,2,1012869568,NaN
13modified,14,2,1021967227,NaN
13modified,14,2,1033033434,NaN
13modified,14,2,1033854624,NaN
13modified,14,2,1034628327,NaN
13modified,14,2,1041640248,NaN
13modified,14,2,1042768624,NaN
13modified,14,2,1044706667,NaN
13modified,14,2,1045197443,NaN
13modified,14,2,1045985721,NaN
13modified,14,2,1049469142,NaN
13modified,14,2,104993245,NaN
13modified,14,2,1051467736,NaN
13modified,14,2,1055293516,NaN
13modified,14,2,106470709,NaN
13modified,14,2,1066819082,NaN
13modified,14,2,1071405622,NaN
13modified,14,2,1072816653,NaN
13modified,14,2,1074205656,NaN
13modified,14,2,107858546,NaN
13modified,14,2,1081831131,NaN
13modified,14,2,1085292328,NaN
13modified,14,2,1086993038,NaN
13modified,14,2,1090021741,NaN
13modified,14,2,1095229560,NaN
13modified,14,2,1099242507,NaN
13modified,14,2,1119739660,NaN
13modified,14,2,1119913660,NaN
13modified,14,2,1121788155,NaN
13modified,14,2,1122891000,NaN
13modified,14,2,1123116722,NaN
13modified,14,2,1125748041,NaN
13modified,14,2,112714695,NaN
13modified,14,2,112803900,NaN
13modified,14,2,1131392376,NaN
13modified,14,2,1137791056,NaN
13modified,14,2,1140268074,NaN
13modified,14,2,1142192008,NaN
13modified,14,2,1149310547,NaN
13modified,14,2,1149395731,NaN
13modified,14,2,1149675945,NaN
13modified,14,2,1151948236,NaN
13modified,14,2,1159043200,NaN
13modified,14,2,1167164095,NaN
13modified,14,2,1168528864,NaN
13modified,14,2,1170387944,NaN
13modified,14,2,1170753960,NaN
13modified,14,2,1183217684,NaN
13modified,14,2,1183839141,NaN
13modified,14,2,1186326919,NaN
13modified,14,2,1198305612,NaN
13modified,14,2,1200800358,NaN
13modified,14,2,1205118578,NaN
13modified,14,2,1208064624,NaN
13modified,14,2,1208894535,NaN
13modified,14,2,1220846468,NaN
13modified,14,2,1222949588,NaN
13modified,14,2,1232002747,NaN
13modified,14,2,1235717330,NaN
13modified,14,2,1235792259,NaN
13modified,14,2,123988852,NaN
13modified,14,2,1240105649,NaN
13modified,14,2,1245146245,NaN
13modified,14,2,12481666,NaN
13modified,14,2,1248990245,NaN
13modified,14,2,1271901802,NaN
13modified,14,2,1284670388,NaN
13modified,14,2,128849205,NaN
13modified,14,2,1294751766,NaN
13modified,14,2,1295454644,NaN
13modified,14,2,1299476798,NaN
13modified,14,2,1300485353,NaN
13modified,14,2,1305346275,NaN
13modified,14,2,130581915,NaN
13modified,14,2,1306616824,NaN
13modified,14,2,1308353909,NaN
13modified,14,2,1308551323,NaN
13modified,14,2,1315827889,NaN
13modified,14,2,1317356462,NaN
13modified,14,2,1318081265,NaN
13modified,14,2,1321452978,NaN
13modified,14,2,1322707071,NaN
13modified,14,2,1327951166,NaN
13modified,14,2,1334016119,NaN
13modified,14,2,1336996873,NaN
13modified,14,2,1342400852,NaN
13modified,14,2,1343326420,NaN
13modified,14,2,134574967,NaN
13modified,14,2,1347620170,NaN
13modified,14,2,1350246726,NaN
13modified,14,2,1353309627,NaN
13modified,14,2,1354863624,NaN
13modified,14,2,1355977442,NaN
13modified,14,2,1369093841,NaN
13modified,14,2,1369758537,NaN
13modified,14,2,1370730297,NaN
13modified,14,2,137298414,NaN
13modified,14,2,1373215267,NaN
13modified,14,2,1373343923,NaN
13modified,14,2,1374512836,NaN
13modified,14,2,1382735061,NaN
13modified,14,2,1383967720,NaN
13modified,14,2,1384713187,NaN
13modified,14,2,1385042497,NaN
13modified,14,2,1387075227,NaN
13modified,14,2,1387631371,NaN
13modified,14,2,139021216,NaN
13modified,14,2,1398032593,NaN
13modified,14,2,1398607408,0.4146
13modified,14,2,1402590398,NaN
13modified,14,2,1406651093,NaN
13modified,14,2,1410954787,NaN
13modified,14,2,1411770614,NaN
13modified,14,2,1426697809,NaN
13modified,14,2,143174518,NaN
13modified,14,2,1433030683,NaN
13modified,14,2,1435693011,NaN
13modified,14,2,143828757,NaN
13modified,14,2,1440834520,NaN
13modified,14,2,144151369,NaN
13modified,14,2,1441946452,NaN
13modified,14,2,1444752565,NaN
13modified,14,2,1448375801,NaN
13modified,14,2,1452268325,NaN
13modified,14,2,1454361430,NaN
13modified,14,2,1455966942,NaN
13modified,14,2,1456002608,NaN
13modified,14,2,1458581845,NaN
13modified,14,2,1465543548,NaN
13modified,14,2,1469383037,0.4146
13modified,14,2,1472392893,NaN
13modified,14,2,1475833365,NaN
13modified,14,2,1477413073,NaN
13modified,14,2,1477603777,NaN
13modified,14,2,1478554099,NaN
13modified,14,2,1485705260,NaN
13modified,14,2,1493738666,NaN
13modified,14,2,1497059314,NaN
13modified,14,2,1502756878,NaN
13modified,14,2,1511014196,NaN
13modified,14,2,1511549424,NaN
13modified,14,2,1512173849,NaN
13modified,14,2,1514724235,NaN
13modified,14,2,151641113,NaN
13modified,14,2,1519923925,NaN
13modified,14,2,1520591354,NaN
13modified,14,2,1523119098,NaN
13modified,14,2,1523416595,NaN
13modified,14,2,1525290395,NaN
13modified,14,2,1525356389,NaN
13modified,14,2,1532585567,NaN
13modified,14,2,1532685163,NaN
13modified,14,2,1533039442,NaN
13modified,14,2,1537696857,NaN
13modified,14,2,1538219310,NaN
13modified,14,2,1538635465,NaN
13modified,14,2,1543871876,NaN
13modified,14,2,1548010334,NaN
13modified,14,2,1550908784,NaN
13modified,14,2,156462991,NaN
13modified,14,2,1567489355,NaN
13modified,14,2,1569987945,NaN
13modified,14,2,1573891020,NaN
13modified,14,2,1577567759,NaN
13modified,14,2,1579325423,NaN
13modified,14,2,1579718788,NaN
13modified,14,2,158110650,NaN
13modified,14,2,1597192292,NaN
13modified,14,2,1597649420,NaN
13modified,14,2,1601766857,NaN
13modified,14,2,1604585759,NaN
13modified,14,2,1604786055,NaN
13modified,14,2,1605354317,NaN
13modified,14,2,1607801886,NaN
13modified,14,2,1613391508,NaN
13modified,14,2,1614539992,NaN
13modified,14,2,1617315229,NaN
13modified,14,2,1618232878,NaN
13modified,14,2,1629482376,NaN
13modified,14,2,1634652975,NaN
13modified,14,2,1652401447,NaN
13modified,14,2,1652650581,NaN
13modified,14,2,1659812313,NaN
13modified,14,2,1662992992,NaN
13modified,14,2,1672446981,NaN
13modified,14,2,1676942378,NaN
13modified,14,2,1692069932,NaN
13modified,14,2,1693272981,NaN
13modified,14,2,1698163619,NaN
13modified,14,2,1698845061,NaN
13modified,14,2,1710804631,NaN
13modified,14,2,1715881790,NaN
13modified,14,2,1719068081,NaN
13modified,14,2,1719353174,NaN
13modified,14,2,1724762333,NaN
13modified,14,2,1724803975,NaN
13modified,14,2,1729547969,NaN
13modified,14,2,1739807908,NaN
13modified,14,2,1740360962,NaN
13modified,14,2,1749190164,NaN
13modified,14,2,175484159,NaN
13modified,14,2,1756758712,NaN
13modified,14,2,1758501093,NaN
13modified,14,2,1762583483,NaN
13modified,14,2,1770666646,NaN
13modified,14,2,1771148841,NaN
13modified,14,2,1771567484,NaN
13modified,14,2,1775484855,NaN
13modified,14,2,1777306666,NaN
13modified,14,2,1782619294,NaN
13modified,14,2,1783803413,NaN
13modified,14,2,1787634100,NaN
13modified,14,2,1788470910,NaN
13modified,14,2,1789062027,NaN
13modified,14,2,1800200003,NaN
13modified,14,2,1802225254,NaN
13modified,14,2,1806786271,NaN
13modified,14,2,180789243,NaN
13modified,14,2,1809291652,NaN
13modified,14,2,1810257406,NaN
13modified,14,2,1811421511,NaN
13modified,14,2,1813256826,NaN
13modified,14,2,1814228121,NaN
13modified,14,2,1830678009,NaN
13modified,14,2,1832144932,NaN
13modified,14,2,183419651,NaN
13modified,14,2,1847457651,NaN
13modified,14,2,184945281,NaN
13modified,14,2,1850250508,NaN
13modified,14,2,1853858560,NaN
13modified,14,2,1857561842,NaN
13modified,14,2,1859854661,NaN
13modified,14,2,1860004022,NaN
13modified,14,2,1870969858,NaN
13modified,14,2,1878727327,NaN
13modified,14,2,1897867746,0.4146
13modified,14,2,1899332987,NaN
13modified,14,2,1899616485,NaN
13modified,14,2,190191226,NaN
13modified,14,2,1905607607,NaN
13modified,14,2,1907336851,NaN
13modified,14,2,1910531511,NaN
13modified,14,2,1916943627,NaN
13modified,14,2,1924240071,NaN
13modified,14,2,1925525807,NaN
13modified,14,2,192577671,NaN
13modified,14,2,1929218352,NaN
13modified,14,2,1931976251,NaN
13modified,14,2,1937816086,NaN
13modified,14,2,1937827682,NaN
13modified,14,2,193879586,NaN
13modified,14,2,1942749039,NaN
13modified,14,2,1943261232,NaN
13modified,14,2,1952225308,NaN
13modified,14,2,1960555934,NaN
13modified,14,2,1962320612,NaN
13modified,14,2,1968901410,NaN
13modified,14,2,1969389892,NaN
13modified,14,2,1972513283,NaN
13modified,14,2,1982083757,NaN
13modified,14,2,1983805141,NaN
13modified,14,2,1985446787,NaN
