level,M,N,seed,linearityRSquared
4,14,2,1000535603,0.0059
4,14,2,1000720779,0.0210
4,14,2,100216697,0.0000
4,14,2,1004071431,0.0037
4,14,2,1005758474,0.0210
4,14,2,1008047005,0.0011
4,14,2,1010202339,0.0210
4,14,2,1012106734,0.0072
4,14,2,101509996,0.0052
4,14,2,1016667673,0.0193
4,14,2,1016912099,0.0210
4,14,2,1021791104,0.0210
4,14,2,1022583277,0.0052
4,14,2,1034863911,0.0241
4,14,2,1034879352,0.0005
4,14,2,1051691778,0.0162
4,14,2,1051804867,0.0021
4,14,2,1052698427,0.0084
4,14,2,1058496508,0.0210
4,14,2,1058622478,0.0005
4,14,2,1063517319,0.0210
4,14,2,1069201345,0.0020
4,14,2,1077426309,0.0210
4,14,2,1079267983,0.0210
4,14,2,1082219467,0.0210
4,14,2,1084224898,0.0210
4,14,2,1094235124,0.0068
4,14,2,1094718250,0.0332
4,14,2,1096228115,0.0052
4,14,2,1096611887,0.0132
4,14,2,111155642,0.0210
4,14,2,1118348014,0.0071
4,14,2,1122721646,0.0210
4,14,2,1132527312,0.0021
4,14,2,1142572297,0.0041
4,14,2,114755728,0.0294
4,14,2,1152004463,0.0210
4,14,2,1153038499,0.0150
4,14,2,1156402266,0.0210
4,14,2,1165499346,0.0210
4,14,2,116946143,0.0036
4,14,2,1175442267,0.0210
4,14,2,117670319,0.0210
4,14,2,1180590821,0.0052
4,14,2,1185218584,0.0020
4,14,2,1186280725,0.0133
4,14,2,1200798902,0.0294
4,14,2,120131558,0.0150
4,14,2,1204922012,0.0055
4,14,2,1206685014,0.0077
4,14,2,1208720042,0.0068
4,14,2,1210187630,0.0210
4,14,2,1219645715,0.0258
4,14,2,1220839627,0.0108
4,14,2,1222145457,0.0210
4,14,2,1222786603,0.0133
4,14,2,1224151692,0.0051
4,14,2,1225099763,0.0051
4,14,2,1225864703,0.0210
4,14,2,1227387314,0.0132
4,14,2,1229181006,0.0036
4,14,2,1232725829,0.0020
4,14,2,1233712948,0.0069
4,14,2,1233855121,0.0210
4,14,2,1241467071,0.0210
4,14,2,1243889219,0.0350
4,14,2,1247997204,0.0410
4,14,2,1250949407,0.0210
4,14,2,1253604555,0.0051
4,14,2,1258849587,0.0410
4,14,2,1261228602,0.0015
4,14,2,1265394192,0.0294
4,14,2,1268841353,0.0015
4,14,2,1269427024,0.0000
4,14,2,1273523651,0.0069
4,14,2,1276219746,0.0082
4,14,2,1277696353,0.0210
4,14,2,1278338309,0.0068
4,14,2,127945544,0.0210
4,14,2,1300368019,0.0210
4,14,2,1301289640,0.0012
4,14,2,1303269382,0.0086
4,14,2,1305319526,0.0210
4,14,2,131609750,0.0210
4,14,2,1318371501,0.0055
4,14,2,1322803391,0.0210
4,14,2,1334568500,0.0031
4,14,2,1334603958,0.0317
4,14,2,1347925263,0.0210
4,14,2,1355927108,0.0210
4,14,2,1355979418,0.0132
4,14,2,1359032259,0.0410
4,14,2,1363296388,0.0294
4,14,2,1363443376,0.0210
4,14,2,1370705225,0.0000
4,14,2,1376464650,0.0210
4,14,2,1383225355,0.0008
4,14,2,1386253184,0.0210
4,14,2,138898637,0.0210
4,14,2,1403164634,0.0070
4,14,2,1413432733,0.0011
4,14,2,1415463780,0.0132
4,14,2,1418379375,0.0210
4,14,2,1420766733,0.0133
4,14,2,1421096878,0.0000
4,14,2,1422249684,0.0021
4,14,2,1427364027,0.0000
4,14,2,1430475521,0.0132
4,14,2,1437905513,0.0210
4,14,2,1438529058,0.0011
4,14,2,1470858451,0.0210
4,14,2,1472766090,0.0132
4,14,2,1474176159,0.0210
4,14,2,1475107872,0.0410
4,14,2,1475611905,0.0210
4,14,2,1486088851,0.0210
4,14,2,1486360682,0.0210
4,14,2,1488742739,0.0241
4,14,2,1493923365,0.0241
4,14,2,1494667164,0.0086
4,14,2,150011083,0.0210
4,14,2,1503864969,0.0015
4,14,2,1504520835,0.0193
4,14,2,1507305742,0.0210
4,14,2,1508606115,0.0106
4,14,2,1511639906,0.0132
4,14,2,1515240082,0.0051
4,14,2,1524761392,0.0068
4,14,2,153173852,0.0210
4,14,2,1535133711,0.0068
4,14,2,1537337908,0.0210
4,14,2,1537526228,0.0210
4,14,2,1538270118,0.0037
4,14,2,1541119050,0.0184
4,14,2,1550556451,0.0210
4,14,2,1553391653,0.0210
4,14,2,1561419441,0.0241
4,14,2,1562099563,0.0041
4,14,2,156787708,0.0034
4,14,2,1569978515,0.0122
4,14,2,1574753299,0.0210
4,14,2,1578220431,0.0241
4,14,2,1578223945,0.0210
4,14,2,1579687697,0.0069
4,14,2,1581463101,0.0210
4,14,2,1581721368,0.0035
4,14,2,1583593581,0.0210
4,14,2,1588525756,0.0028
4,14,2,1591691987,0.0055
4,14,2,159510796,0.0086
4,14,2,1595791238,0.0210
4,14,2,1608726739,0.0132
4,14,2,1612437733,0.0210
4,14,2,1615782146,0.0350
4,14,2,1624007357,0.0132
4,14,2,163022100,0.0210
4,14,2,1645159538,0.0077
4,14,2,1646556897,0.0210
4,14,2,1652250763,0.0112
4,14,2,1652816741,0.0150
4,14,2,1666066739,0.0066
4,14,2,1676767081,0.0086
4,14,2,1687840033,0.0077
4,14,2,1691920938,0.0210
4,14,2,1692198998,0.0210
4,14,2,16956936,0.0065
4,14,2,1702547563,0.0210
4,14,2,1703116999,0.0210
4,14,2,1707978915,0.0210
4,14,2,1708356592,0.0133
4,14,2,1716401921,0.0091
4,14,2,1726177224,0.0082
4,14,2,1729218837,0.0210
4,14,2,173864319,0.0057
4,14,2,174793935,0.0029
4,14,2,1748553751,0.0086
4,14,2,1754325764,0.0210
4,14,2,1755197486,0.0150
4,14,2,1755228373,0.0069
4,14,2,1756444110,0.0132
4,14,2,1756559124,0.0210
4,14,2,1759917278,0.0241
4,14,2,1763167890,0.0005
4,14,2,1770108300,0.0210
4,14,2,1771399009,0.0008
4,14,2,177285371,0.0079
4,14,2,1772913134,0.0051
4,14,2,1776498061,0.0086
4,14,2,1776965675,0.0210
4,14,2,1778618628,0.0031
4,14,2,1778974453,0.0210
4,14,2,1783386345,0.0031
4,14,2,1784553935,0.0210
4,14,2,1788718496,0.0210
4,14,2,1791099442,0.0021
4,14,2,179167573,0.0021
4,14,2,1794010723,0.0210
4,14,2,1801329082,0.0003
4,14,2,1803919842,0.0210
4,14,2,1807767098,0.0210
4,14,2,1811584348,0.0210
4,14,2,1811681082,0.0210
4,14,2,1819041484,0.0132
4,14,2,1819919217,0.0210
4,14,2,1824231608,0.0309
4,14,2,1831896411,0.0210
4,14,2,1835208927,0.0193
4,14,2,1835708147,0.0210
4,14,2,1839967829,0.0010
4,14,2,1844399748,0.0029
4,14,2,1846330839,0.0210
4,14,2,1849363735,0.0210
4,14,2,1850466181,0.0294
4,14,2,1850597367,0.0210
4,14,2,1858781334,0.0147
4,14,2,1859801831,0.0133
4,14,2,1863507351,0.0210
4,14,2,1865589499,0.0210
4,14,2,1868875271,0.0032
4,14,2,1875709952,0.0112
4,14,2,187777241,0.0210
4,14,2,188182217,0.0210
4,14,2,1885213323,0.0017
4,14,2,1889009164,0.0014
4,14,2,1895574510,0.0079
4,14,2,1899043159,0.0210
4,14,2,1902015946,0.0086
4,14,2,1907625094,0.0021
4,14,2,1916801175,0.0210
4,14,2,1917360399,0.0037
4,14,2,192130758,0.0055
4,14,2,1932788486,0.0210
4,14,2,1933213280,0.0021
4,14,2,1939319977,0.0210
4,14,2,1939950528,0.0210
4,14,2,194051483,0.0015
4,14,2,1942212881,0.0001
4,14,2,1947811934,0.0193
4,14,2,1949141845,0.0210
4,14,2,1949752537,0.0210
4,14,2,1952492818,0.0210
4,14,2,1960793863,0.0077
4,14,2,1961985236,0.0210
4,14,2,196883534,0.0011
4,14,2,1974257828,0.0210
4,14,2,1989433522,0.0132
4,14,2,198985073,0.0055
4,14,2,1992521164,0.0210
4,14,2,1995361081,0.0210
4,14,2,2002039584,0.0150
4,14,2,2002967109,0.0050
4,14,2,2004607681,0.0210
4,14,2,2007065194,0.0068
4,14,2,2007741374,0.0210
4,14,2,2015982938,0.0210
4,14,2,2017394604,0.0015
4,14,2,2024826723,0.0210
4,14,2,2029283447,0.0162
4,14,2,2034255288,0.0011
4,14,2,2035087367,0.0059
4,14,2,2036453503,0.0241
4,14,2,2037634830,0.0210
4,14,2,2038123795,0.0059
