level,M,N,seed,completionPct
13,1,1,1001865095,1.00
13,1,1,100356515,0.15
13,1,1,10050068,0.70
13,1,1,1012464788,1.00
13,1,1,1016899417,1.00
13,1,1,1017096710,0.16
13,1,1,1019292999,0.59
13,1,1,1019686564,0.29
13,1,1,1028181055,1.00
13,1,1,1028221476,1.00
13,1,1,1035347563,0.13
13,1,1,1038996773,0.08
13,1,1,1045610837,0.49
13,1,1,1046168067,1.00
13,1,1,1047582324,0.88
13,1,1,1047730424,0.75
13,1,1,1051758644,0.08
13,1,1,1052804778,0.12
13,1,1,1053518258,1.00
13,1,1,105892043,0.12
13,1,1,1060439587,0.25
13,1,1,1063935025,0.25
13,1,1,1066245319,0.91
13,1,1,1070231844,0.76
13,1,1,1073177884,0.76
13,1,1,1073656638,1.00
13,1,1,107680102,1.00
13,1,1,1078143893,0.22
13,1,1,1090355814,0.11
13,1,1,1095464070,0.08
13,1,1,1100744875,0.97
13,1,1,1105137414,0.45
13,1,1,1108422357,0.34
13,1,1,1112607938,0.33
13,1,1,1113958621,1.00
13,1,1,1116689741,0.47
13,1,1,1121570979,0.37
13,1,1,1126128881,0.53
13,1,1,1136164117,0.39
13,1,1,1136439112,0.16
13,1,1,1137398537,1.00
13,1,1,1138809542,1.00
13,1,1,1144887126,0.63
13,1,1,1146759050,0.07
13,1,1,1148296322,0.39
13,1,1,1151456544,1.00
13,1,1,1156034471,0.15
13,1,1,1158550516,1.00
13,1,1,1171056575,1.00
13,1,1,1172244741,0.50
13,1,1,1172745126,0.88
13,1,1,1173827410,1.00
13,1,1,11740192,0.14
13,1,1,11759980,0.36
13,1,1,1176342764,0.23
13,1,1,1176358289,1.00
13,1,1,1186157259,1.00
13,1,1,1194429390,0.34
13,1,1,1201381914,0.09
13,1,1,1201438464,0.13
13,1,1,1207965399,1.00
13,1,1,1207966963,1.00
13,1,1,1209017041,0.16
13,1,1,1209580885,0.57
13,1,1,1211527011,0.08
13,1,1,121281623,0.89
13,1,1,1214181327,1.00
13,1,1,1220952180,0.88
13,1,1,1223440064,0.58
13,1,1,1223787389,1.00
13,1,1,1234086989,1.00
13,1,1,1237584719,0.85
13,1,1,1237906394,0.22
13,1,1,1240790394,1.00
13,1,1,1245483926,1.00
13,1,1,1254781923,1.00
13,1,1,1259787192,0.15
13,1,1,1265534998,0.09
13,1,1,1268189701,0.11
13,1,1,1270093574,0.09
13,1,1,1272367331,0.08
13,1,1,1273616107,0.13
13,1,1,1277767425,1.00
13,1,1,1281919863,0.45
13,1,1,1285568870,0.54
13,1,1,1287779125,1.00
13,1,1,1295242393,1.00
13,1,1,1296315942,1.00
13,1,1,1302866380,0.35
13,1,1,130852969,0.38
13,1,1,1314730301,0.50
13,1,1,132204601,1.00
13,1,1,1323383467,0.20
13,1,1,1325867748,1.00
13,1,1,1329397550,0.34
13,1,1,1332785086,0.42
13,1,1,1334596484,0.74
13,1,1,1336045845,0.52
13,1,1,1338065893,0.13
13,1,1,133901280,0.78
13,1,1,1345257436,1.00
13,1,1,134557534,0.99
13,1,1,1346406079,1.00
13,1,1,1356154863,0.95
13,1,1,1369574576,0.95
13,1,1,1375450941,1.00
13,1,1,1390157776,0.69
13,1,1,1393333588,1.00
13,1,1,140256198,0.13
13,1,1,14052253,0.34
13,1,1,1405497925,0.64
13,1,1,1406088051,0.12
13,1,1,1406947456,0.68
13,1,1,1408065889,0.34
13,1,1,1408675758,0.51
13,1,1,1408875829,0.43
13,1,1,1410757328,0.61
13,1,1,1410869802,0.43
13,1,1,1418313382,0.36
13,1,1,1419451570,0.49
13,1,1,1428312078,0.18
13,1,1,1429404442,0.98
13,1,1,143195621,0.16
13,1,1,1435099081,0.91
13,1,1,1435159375,0.44
13,1,1,1436761869,0.83
13,1,1,1437329558,0.46
13,1,1,1440199207,0.07
13,1,1,144112110,0.48
13,1,1,144439651,1.00
13,1,1,1445707086,0.51
13,1,1,1446388338,0.30
13,1,1,1447493626,1.00
13,1,1,1450595093,0.14
13,1,1,145391876,0.11
13,1,1,1457340243,0.49
13,1,1,1460284746,0.07
13,1,1,1472371322,1.00
13,1,1,1477939799,0.58
13,1,1,1482938778,1.00
13,1,1,1485891508,1.00
13,1,1,149232822,1.00
13,1,1,1496705049,1.00
13,1,1,149971275,1.00
13,1,1,1501919943,0.65
13,1,1,1503501947,0.40
13,1,1,1511500597,1.00
13,1,1,1511909971,0.75
13,1,1,1514416641,0.20
13,1,1,1522269231,0.67
13,1,1,1523252083,1.00
13,1,1,1526163694,0.64
13,1,1,1528166985,0.88
13,1,1,1528822178,1.00
13,1,1,15327959,1.00
13,1,1,1533293226,0.31
13,1,1,1534286707,0.46
13,1,1,1538150677,0.26
13,1,1,1542885993,1.00
13,1,1,1546315243,0.14
13,1,1,1551151113,0.63
13,1,1,1558492081,0.58
13,1,1,1561958642,1.00
13,1,1,1562754980,1.00
13,1,1,1566105220,1.00
13,1,1,1566127181,0.48
13,1,1,1573926092,1.00
13,1,1,1577328396,0.72
13,1,1,1578926688,0.16
13,1,1,1584285646,0.96
13,1,1,1587648608,1.00
13,1,1,1600805369,0.08
13,1,1,1602548802,0.98
13,1,1,1602968899,0.15
13,1,1,1607375181,0.10
13,1,1,1608496635,0.48
13,1,1,1614915674,0.46
13,1,1,1616561567,1.00
13,1,1,1623518044,1.00
13,1,1,1624520590,0.86
13,1,1,1624862333,0.55
13,1,1,1626524472,0.08
13,1,1,1626812112,0.13
13,1,1,1628256031,1.00
13,1,1,1631339319,0.38
13,1,1,1637696943,1.00
13,1,1,1642954036,0.49
13,1,1,1657283111,1.00
13,1,1,1665876214,0.29
13,1,1,1668821152,0.16
13,1,1,1675090973,0.45
13,1,1,1677957757,0.22
13,1,1,1686166618,0.19
13,1,1,1689482073,0.73
13,1,1,1690800294,1.00
13,1,1,1695051690,1.00
13,1,1,1696604667,1.00
13,1,1,1700508618,0.28
13,1,1,1700955097,0.53
13,1,1,1705278869,0.93
13,1,1,1711423587,0.88
13,1,1,1717998432,0.17
13,1,1,1723531765,0.69
13,1,1,1726861265,0.08
13,1,1,1730099521,0.62
13,1,1,1730156419,0.44
13,1,1,1730276890,0.49
13,1,1,1735833908,0.13
13,1,1,1743319624,0.14
13,1,1,174402657,0.95
13,1,1,1746393970,0.08
13,1,1,1746911479,1.00
13,1,1,1748697383,0.08
13,1,1,1751707333,1.00
13,1,1,1752574723,0.35
13,1,1,1755292055,0.35
13,1,1,1763068524,0.34
13,1,1,1763576094,0.08
13,1,1,1764043903,1.00
13,1,1,1768499843,0.39
13,1,1,1774443545,1.00
13,1,1,1774840365,1.00
13,1,1,1779077855,0.31
13,1,1,1781317546,0.08
13,1,1,1782951183,1.00
13,1,1,1783861618,1.00
13,1,1,1790504548,0.38
13,1,1,1790547142,0.68
13,1,1,1792852689,0.08
13,1,1,1799599034,0.52
13,1,1,1809669571,0.54
13,1,1,1810232875,1.00
13,1,1,1813505191,0.21
13,1,1,1814757654,0.59
13,1,1,1821402939,0.18
13,1,1,1822178987,1.00
13,1,1,1823588994,0.31
13,1,1,1826984946,0.73
13,1,1,1830322615,1.00
13,1,1,1841792309,1.00
13,1,1,1849609110,0.48
13,1,1,1857294250,1.00
13,1,1,1861239920,1.00
13,1,1,186347503,0.99
13,1,1,1863483220,1.00
13,1,1,1866042377,0.35
13,1,1,1873310931,0.85
13,1,1,1876528054,0.11
13,1,1,1884945663,0.71
13,1,1,189373925,0.36
13,1,1,1896021290,0.08
13,1,1,1897075634,0.92
13,1,1,1898659241,1.00
13,1,1,1900206360,0.08
13,1,1,1902717410,0.10
13,1,1,1905055054,0.76
13,1,1,1911420460,0.75
13,1,1,1912136999,1.00
13,1,1,191424850,0.24
13,1,1,1915908587,0.46
13,1,1,1916304979,0.33
13,1,1,1920183936,0.57
13,1,1,1931141435,0.19
13,1,1,1933809232,1.00
13,1,1,1933899,0.23
13,1,1,1935484263,0.26
13,1,1,1938044112,0.08
13,1,1,1939118205,0.36
13,1,1,1940087077,1.00
13,1,1,194393103,1.00
13,1,1,1951931375,0.33
13,1,1,1952634103,0.21
13,1,1,1953450367,0.28
13,1,1,1959461210,0.25
13,1,1,1962477882,1.00
13,1,1,1964046921,0.14
13,1,1,1964781881,0.08
13,1,1,1967119289,0.80
