level,M,N,seed,completionPct
13modified,6,6,100334696,1.00
13modified,6,6,1009229447,1.00
13modified,6,6,1010932164,1.00
13modified,6,6,1012869568,1.00
13modified,6,6,1018889751,1.00
13modified,6,6,1021967227,1.00
13modified,6,6,102280803,1.00
13modified,6,6,1024734536,1.00
13modified,6,6,1033033434,1.00
13modified,6,6,1035399153,1.00
13modified,6,6,1038671244,1.00
13modified,6,6,1041640248,1.00
13modified,6,6,1042768624,1.00
13modified,6,6,1049469142,1.00
13modified,6,6,1055293516,1.00
13modified,6,6,1055999818,1.00
13modified,6,6,1066819082,1.00
13modified,6,6,1069714731,1.00
13modified,6,6,1072641056,1.00
13modified,6,6,1072816653,1.00
13modified,6,6,1072824859,1.00
13modified,6,6,1087559589,1.00
13modified,6,6,10889602,1.00
13modified,6,6,1089481602,1.00
13modified,6,6,1090021741,1.00
13modified,6,6,1095229560,1.00
13modified,6,6,1119739660,1.00
13modified,6,6,1119913660,1.00
13modified,6,6,1121788155,1.00
13modified,6,6,1123957625,1.00
13modified,6,6,112714695,1.00
13modified,6,6,112803900,1.00
13modified,6,6,1131392376,1.00
13modified,6,6,113625682,1.00
13modified,6,6,1140268074,1.00
13modified,6,6,1147801063,1.00
13modified,6,6,1149310547,1.00
13modified,6,6,1149675945,1.00
13modified,6,6,1154482944,1.00
13modified,6,6,1159043200,1.00
13modified,6,6,116013539,1.00
13modified,6,6,1167164095,1.00
13modified,6,6,1170387944,1.00
13modified,6,6,1170753960,1.00
13modified,6,6,1171550889,1.00
13modified,6,6,1183217684,1.00
13modified,6,6,1186326919,1.00
13modified,6,6,119306034,1.00
13modified,6,6,1198305612,1.00
13modified,6,6,1200800358,1.00
13modified,6,6,1205388612,1.00
13modified,6,6,1208064624,1.00
13modified,6,6,1208894535,1.00
13modified,6,6,121848537,1.00
13modified,6,6,1220846468,1.00
13modified,6,6,1222949588,1.00
13modified,6,6,1232002747,1.00
13modified,6,6,1235717330,1.00
13modified,6,6,1240105649,1.00
13modified,6,6,1245146245,1.00
13modified,6,6,1248990245,1.00
13modified,6,6,1252622799,1.00
13modified,6,6,1260255782,1.00
13modified,6,6,126537086,1.00
13modified,6,6,1266488720,1.00
13modified,6,6,1277614136,1.00
13modified,6,6,1278655297,1.00
13modified,6,6,1283508924,1.00
13modified,6,6,128849205,1.00
13modified,6,6,1294751766,1.00
13modified,6,6,1295604390,1.00
13modified,6,6,1296052736,1.00
13modified,6,6,1300485353,1.00
13modified,6,6,1306554616,1.00
13modified,6,6,1306616824,1.00
13modified,6,6,1308551323,1.00
13modified,6,6,1310460246,1.00
13modified,6,6,1321452978,1.00
13modified,6,6,1327951166,1.00
13modified,6,6,1335075809,1.00
13modified,6,6,1336996873,1.00
13modified,6,6,1338927563,1.00
13modified,6,6,1343252007,1.00
13modified,6,6,1347620170,1.00
13modified,6,6,1348541570,1.00
13modified,6,6,1348689589,1.00
13modified,6,6,134871044,1.00
13modified,6,6,1354055929,1.00
13modified,6,6,1364734752,1.00
13modified,6,6,1367329043,1.00
13modified,6,6,1369758537,1.00
13modified,6,6,1370730297,1.00
13modified,6,6,1373215267,1.00
13modified,6,6,1373343923,1.00
13modified,6,6,1374036447,1.00
13modified,6,6,1377641605,1.00
13modified,6,6,1383967720,1.00
13modified,6,6,1387631371,1.00
13modified,6,6,1398032593,1.00
