level,M,N,seed,completionPct
all,14,2,1001427231,1.00
all,14,2,1004306364,1.00
all,14,2,1010978582,1.00
all,14,2,1022846210,0.39
all,14,2,1023722256,1.00
all,14,2,1033480057,1.00
all,14,2,103718413,1.00
all,14,2,1037401273,1.00
all,14,2,1038218488,1.00
all,14,2,1038240813,1.00
all,14,2,1052850471,1.00
all,14,2,1053293722,1.00
all,14,2,1059209602,1.00
all,14,2,1060434707,1.00
all,14,2,1061751410,1.00
all,14,2,1062255042,1.00
all,14,2,1064032374,1.00
all,14,2,106587538,0.40
all,14,2,1076245341,1.00
all,14,2,1082073250,0.41
all,14,2,1083026305,1.00
all,14,2,1087632942,1.00
all,14,2,1093253708,1.00
all,14,2,1094988923,1.00
all,14,2,1096341932,1.00
all,14,2,1099891794,1.00
all,14,2,1107405273,1.00
all,14,2,1108994755,1.00
all,14,2,1116182691,1.00
all,14,2,112743658,1.00
all,14,2,1128081783,1.00
all,14,2,1135500214,1.00
all,14,2,1139122773,1.00
all,14,2,1139158243,1.00
all,14,2,1139765352,1.00
all,14,2,114569370,0.38
all,14,2,1153118460,1.00
all,14,2,1154008721,1.00
all,14,2,1157790512,1.00
all,14,2,1161547704,1.00
all,14,2,1166211825,1.00
all,14,2,1174427787,1.00
all,14,2,1175519146,1.00
all,14,2,1182440019,1.00
all,14,2,1184347117,0.39
all,14,2,1194991691,1.00
all,14,2,1201170237,1.00
all,14,2,1201565253,1.00
all,14,2,1211334439,1.00
all,14,2,1223901321,1.00
all,14,2,1226275373,1.00
all,14,2,1233913320,1.00
all,14,2,1235501548,0.39
all,14,2,1237131333,1.00
all,14,2,1239558035,0.40
all,14,2,1246105016,1.00
all,14,2,124711068,1.00
all,14,2,1250181728,1.00
all,14,2,1270720746,1.00
all,14,2,1288751559,1.00
all,14,2,1292918822,1.00
all,14,2,1293461712,1.00
all,14,2,1300823014,1.00
all,14,2,1305376595,1.00
all,14,2,1315379481,1.00
all,14,2,1315459146,1.00
all,14,2,1317062028,1.00
all,14,2,1317484954,1.00
all,14,2,1318180947,1.00
all,14,2,1318721770,1.00
all,14,2,1319364568,1.00
all,14,2,1336493410,1.00
all,14,2,1337026208,0.41
all,14,2,1339932215,1.00
all,14,2,1341796865,1.00
all,14,2,1344745010,1.00
all,14,2,1348972292,1.00
all,14,2,1351344834,0.24
all,14,2,1352097030,1.00
all,14,2,135342794,1.00
all,14,2,1354571885,1.00
all,14,2,1355696803,1.00
all,14,2,1356823191,1.00
all,14,2,1360479120,1.00
all,14,2,1360595726,1.00
all,14,2,1362529068,1.00
all,14,2,1367920983,1.00
all,14,2,1369990613,1.00
all,14,2,1370452686,1.00
all,14,2,1371795951,1.00
all,14,2,137493304,0.38
all,14,2,1375056305,0.42
all,14,2,1380206301,0.41
all,14,2,1390070123,1.00
all,14,2,1396239170,1.00
all,14,2,1398092379,1.00
all,14,2,1409932949,1.00
all,14,2,1410120414,1.00
all,14,2,1411552849,1.00
all,14,2,1411736710,1.00
all,14,2,1411740561,1.00
all,14,2,1412314167,1.00
all,14,2,1415951383,0.14
all,14,2,1417221407,1.00
all,14,2,1417484602,1.00
all,14,2,1419094134,1.00
all,14,2,1420211928,0.40
all,14,2,1423060993,0.24
all,14,2,1423682194,1.00
all,14,2,1424869980,1.00
all,14,2,142497295,1.00
all,14,2,1431277483,1.00
all,14,2,1438904696,1.00
all,14,2,1444118058,1.00
all,14,2,1453438136,1.00
all,14,2,1460318742,0.34
all,14,2,1460988487,1.00
all,14,2,1489522858,0.49
all,14,2,14936278,1.00
all,14,2,1497824864,0.40
all,14,2,1504225597,1.00
all,14,2,1504822265,1.00
all,14,2,1507258094,0.23
all,14,2,1509632501,1.00
all,14,2,1512170075,1.00
all,14,2,1518358220,0.24
all,14,2,1518938308,1.00
all,14,2,1523850398,1.00
all,14,2,152517913,0.40
all,14,2,1526915281,1.00
all,14,2,1529081495,0.26
all,14,2,1531151360,1.00
all,14,2,1533832136,1.00
all,14,2,1536985943,1.00
all,14,2,1542757796,0.64
all,14,2,1544125195,1.00
all,14,2,1548060002,1.00
all,14,2,1550570586,1.00
all,14,2,1554121271,1.00
all,14,2,1554856959,1.00
all,14,2,1557594736,1.00
all,14,2,15576454,1.00
all,14,2,1558620065,0.61
all,14,2,1563161544,1.00
all,14,2,1566290996,1.00
all,14,2,1567196103,1.00
all,14,2,1569382399,1.00
all,14,2,1570020736,1.00
all,14,2,1574474500,0.38
all,14,2,158096177,1.00
all,14,2,159039989,1.00
all,14,2,1592441808,0.40
all,14,2,1603146689,1.00
all,14,2,1603190713,0.60
all,14,2,160467324,1.00
all,14,2,1620304846,1.00
all,14,2,1624753699,1.00
all,14,2,1626218762,1.00
all,14,2,1631665248,0.23
all,14,2,1632367675,0.41
all,14,2,163283632,1.00
all,14,2,164235501,0.40
all,14,2,1643328992,1.00
all,14,2,164852610,1.00
all,14,2,1648656660,1.00
all,14,2,1650138398,0.40
all,14,2,1656599052,1.00
all,14,2,1658142994,1.00
all,14,2,1659476663,1.00
all,14,2,1662800513,1.00
all,14,2,1668855359,1.00
all,14,2,1669481184,1.00
all,14,2,1671092238,1.00
all,14,2,1672264654,1.00
all,14,2,1673866035,1.00
all,14,2,1674872915,1.00
all,14,2,1676356190,1.00
all,14,2,1678038194,1.00
all,14,2,1685411538,1.00
all,14,2,1689951679,1.00
all,14,2,1692967933,1.00
all,14,2,1694120380,0.38
all,14,2,1702785442,1.00
all,14,2,1704858203,1.00
all,14,2,1712995159,1.00
all,14,2,1715452240,1.00
all,14,2,1718825415,1.00
all,14,2,1727614195,0.40
all,14,2,1729283793,1.00
all,14,2,1731241459,1.00
all,14,2,173324371,0.39
all,14,2,1734983820,1.00
all,14,2,1736927955,1.00
all,14,2,1741266142,0.40
all,14,2,1743264730,1.00
all,14,2,1750180420,1.00
all,14,2,1754382556,1.00
all,14,2,1754719726,1.00
all,14,2,1756515094,0.41
all,14,2,1777983941,0.39
all,14,2,1779847919,1.00
all,14,2,1780018293,1.00
all,14,2,1784400485,1.00
all,14,2,1785013374,0.40
all,14,2,1787008643,1.00
all,14,2,1788846950,1.00
all,14,2,1792465840,1.00
all,14,2,1801207137,1.00
all,14,2,1815806383,0.49
all,14,2,18161333,1.00
all,14,2,1818025879,1.00
all,14,2,1818238838,1.00
all,14,2,1824186194,1.00
all,14,2,1829040536,1.00
all,14,2,1829568691,1.00
all,14,2,1839067692,1.00
all,14,2,1841583134,0.42
all,14,2,1852411569,1.00
all,14,2,1852916457,1.00
all,14,2,1856426629,1.00
all,14,2,1860824840,0.40
all,14,2,1862133219,1.00
all,14,2,1862386922,1.00
all,14,2,1862766611,0.38
all,14,2,1877706133,0.35
all,14,2,1880502128,1.00
all,14,2,1882413127,1.00
all,14,2,1884638580,1.00
all,14,2,1888822265,1.00
all,14,2,1889160883,0.39
all,14,2,189503870,1.00
all,14,2,1906721907,1.00
all,14,2,1908253110,1.00
all,14,2,1909541276,1.00
all,14,2,1909667671,1.00
all,14,2,1910179968,1.00
all,14,2,191544278,1.00
all,14,2,1932700662,1.00
all,14,2,1934380881,1.00
all,14,2,1935573920,1.00
all,14,2,193817994,1.00
all,14,2,1943721331,1.00
all,14,2,1944444860,1.00
all,14,2,1951682096,1.00
all,14,2,1959144122,1.00
all,14,2,1962030729,1.00
all,14,2,1963862649,0.24
all,14,2,196678503,0.35
all,14,2,1979947027,1.00
all,14,2,1988477966,0.39
all,14,2,1991756781,1.00
all,14,2,2002329122,1.00
all,14,2,2008129550,1.00
all,14,2,2012597537,0.40
all,14,2,2013354758,0.24
all,14,2,2013622268,0.39
all,14,2,2017579353,1.00
all,14,2,2018523250,1.00
all,14,2,2027728826,0.40
all,14,2,2028711105,1.00
all,14,2,2030551235,0.38
all,14,2,2032613547,1.00
all,14,2,2032709290,0.38
all,14,2,2037277650,0.39
all,14,2,2042598215,1.00
all,14,2,2047260970,0.38
all,14,2,2049513134,1.00
all,14,2,2055253150,1.00
all,14,2,2055260352,1.00
all,14,2,2056543553,1.00
all,14,2,2061859894,0.38
all,14,2,2063672426,0.40
all,14,2,2065215352,1.00
all,14,2,2067349480,1.00
all,14,2,2072683941,1.00
all,14,2,2073032659,0.40
all,14,2,2078900831,0.39
all,14,2,2086595122,1.00
all,14,2,2089336133,1.00
all,14,2,2090721879,1.00
all,14,2,2090749135,1.00
all,14,2,2090954088,1.00
all,14,2,2091484725,1.00
all,14,2,2092361915,1.00
all,14,2,209515778,0.77
all,14,2,2103026780,1.00
all,14,2,2105993330,1.00
all,14,2,2108898892,0.39
all,14,2,2113753870,0.39
all,14,2,2114264718,1.00
all,14,2,2115404849,0.39
all,14,2,2117413851,1.00
all,14,2,2127934901,1.00
all,14,2,2128996900,1.00
all,14,2,2137861924,1.00
all,14,2,2138390668,1.00
all,14,2,2139588327,1.00
all,14,2,2141009491,0.40
all,14,2,2142329768,1.00
all,14,2,21492040,1.00
all,14,2,21930459,1.00
all,14,2,22353703,1.00
all,14,2,225999372,1.00
all,14,2,229019102,0.40
all,14,2,240806326,1.00
all,14,2,245480496,1.00
all,14,2,249834250,1.00
all,14,2,258976179,1.00
all,14,2,264279916,1.00
all,14,2,264663592,1.00
all,14,2,265717410,1.00
all,14,2,271483271,1.00
all,14,2,274764836,1.00
all,14,2,278340220,1.00
all,14,2,284763583,1.00
all,14,2,285564450,1.00
all,14,2,287790814,1.00
all,14,2,289601912,1.00
all,14,2,29449191,1.00
all,14,2,294796082,0.75
all,14,2,296427284,1.00
all,14,2,297609666,1.00
all,14,2,299935324,1.00
all,14,2,301730690,1.00
all,14,2,302208530,0.24
all,14,2,324011762,1.00
all,14,2,324572755,1.00
all,14,2,33638186,1.00
all,14,2,341624428,1.00
all,14,2,344217223,0.39
all,14,2,345247305,1.00
all,14,2,355989640,1.00
all,14,2,359794293,1.00
all,14,2,3656297,0.38
all,14,2,366484697,1.00
all,14,2,368129150,1.00
all,14,2,368625471,1.00
all,14,2,370025683,1.00
all,14,2,371309519,1.00
all,14,2,374447600,1.00
all,14,2,374930229,1.00
all,14,2,379926920,1.00
all,14,2,382183064,0.38
all,14,2,383668415,1.00
all,14,2,383766180,1.00
all,14,2,385250073,1.00
all,14,2,38827726,1.00
all,14,2,391403007,1.00
all,14,2,392731427,1.00
all,14,2,398152021,1.00
all,14,2,400535179,0.39
all,14,2,405620869,0.39
all,14,2,410300769,1.00
