level,M,N,seed,compressionDistance
13modified,1,16,100334696,0.06666666666666667
13modified,1,16,1005713264,0.005361930294906166
13modified,1,16,1010932164,0.036939313984168866
13modified,1,16,1012869568,0.10204081632653061
13modified,1,16,1021967227,0.04395604395604396
13modified,1,16,1033033434,0.031746031746031744
13modified,1,16,1033854624,0.0106951871657754
13modified,1,16,1034628327,0.005361930294906166
13modified,1,16,1041640248,0.07253886010362694
13modified,1,16,1042768624,0.026525198938992044
13modified,1,16,1044706667,0.07751937984496124
13modified,1,16,1045197443,0.027247956403269755
13modified,1,16,1045985721,0.010810810810810811
13modified,1,16,1049469142,0.0898876404494382
13modified,1,16,104993245,0.08740359897172237
13modified,1,16,1051467736,0.057441253263707574
13modified,1,16,1055293516,0.03278688524590164
13modified,1,16,106470709,0.11645569620253164
13modified,1,16,1066819082,0.20771513353115728
13modified,1,16,1071405622,0.010810810810810811
13modified,1,16,1072816653,0.18092909535452323
13modified,1,16,1074205656,0.10204081632653061
13modified,1,16,107858546,0.06753246753246753
13modified,1,16,1081831131,0.10204081632653061
13modified,1,16,1085292328,0.10204081632653061
13modified,1,16,1086993038,0.07751937984496124
13modified,1,16,1090021741,0.0106951871657754
13modified,1,16,1095229560,0.057441253263707574
13modified,1,16,1099242507,0.13793103448275862
13modified,1,16,1119739660,0.06753246753246753
13modified,1,16,1119913660,0.11965811965811966
13modified,1,16,1121788155,0.042105263157894736
13modified,1,16,1122891000,0.02127659574468085
13modified,1,16,1123116722,0.09577464788732394
13modified,1,16,1125748041,0.031746031746031744
13modified,1,16,112714695,0.08740359897172237
13modified,1,16,112803900,0.060941828254847646
13modified,1,16,1131392376,0.057441253263707574
13modified,1,16,1137791056,0.03278688524590164
13modified,1,16,1140268074,0.03278688524590164
13modified,1,16,1142192008,0.03278688524590164
13modified,1,16,1149310547,0.0
13modified,1,16,1149395731,0.016260162601626018
13modified,1,16,1149675945,0.060941828254847646
13modified,1,16,1151948236,0.13793103448275862
13modified,1,16,1159043200,0.1306532663316583
13modified,1,16,1167164095,0.07751937984496124
13modified,1,16,1168528864,0.04395604395604396
13modified,1,16,1170387944,0.047244094488188976
13modified,1,16,1170753960,0.0106951871657754
13modified,1,16,1183217684,0.005361930294906166
13modified,1,16,1183839141,0.026525198938992044
13modified,1,16,1186326919,0.08247422680412371
13modified,1,16,1198305612,0.005390835579514825
13modified,1,16,1200800358,0.031746031746031744
13modified,1,16,1205118578,0.0106951871657754
13modified,1,16,1208064624,0.047244094488188976
13modified,1,16,1208894535,0.07253886010362694
13modified,1,16,1220846468,0.13533834586466165
13modified,1,16,1222949588,0.07253886010362694
13modified,1,16,1232002747,0.06666666666666667
13modified,1,16,1235717330,0.04395604395604396
13modified,1,16,1235792259,0.005390835579514825
13modified,1,16,123988852,0.016260162601626018
13modified,1,16,1240105649,0.0
13modified,1,16,1245146245,0.09230769230769231
13modified,1,16,12481666,0.005390835579514825
13modified,1,16,1248990245,0.005390835579514825
13modified,1,16,1271901802,0.057441253263707574
13modified,1,16,1284670388,0.03278688524590164
13modified,1,16,128849205,0.036939313984168866
13modified,1,16,1294751766,0.055248618784530384
13modified,1,16,1295454644,0.07253886010362694
13modified,1,16,1299476798,0.047244094488188976
13modified,1,16,1300485353,0.06753246753246753
13modified,1,16,1305346275,0.0625
13modified,1,16,130581915,0.0625
13modified,1,16,1306616824,0.04395604395604396
13modified,1,16,1308353909,0.11363636363636363
13modified,1,16,1308551323,0.06666666666666667
13modified,1,16,1315827889,0.010810810810810811
13modified,1,16,1317356462,0.0
13modified,1,16,1318081265,0.11363636363636363
13modified,1,16,1321452978,0.07242339832869081
13modified,1,16,1322707071,0.05235602094240838
13modified,1,16,1327951166,0.049586776859504134
13modified,1,16,1334016119,0.15028901734104047
13modified,1,16,1336996873,0.1440922190201729
13modified,1,16,1342400852,0.005390835579514825
13modified,1,16,1343326420,0.23423423423423423
13modified,1,16,134574967,0.021739130434782608
13modified,1,16,1347620170,0.10204081632653061
13modified,1,16,1350246726,0.06666666666666667
13modified,1,16,1353309627,0.03278688524590164
13modified,1,16,1354863624,0.057441253263707574
13modified,1,16,1355977442,0.026525198938992044
13modified,1,16,1369093841,0.0106951871657754
13modified,1,16,1369758537,0.005361930294906166
13modified,1,16,1370730297,0.0625
13modified,1,16,137298414,0.02127659574468085
13modified,1,16,1373215267,0.13793103448275862
13modified,1,16,1373343923,0.005361930294906166
13modified,1,16,1374512836,0.03278688524590164
13modified,1,16,1382735061,0.11363636363636363
13modified,1,16,1383967720,0.036939313984168866
13modified,1,16,1384713187,0.005390835579514825
13modified,1,16,1385042497,0.10687022900763359
13modified,1,16,1387075227,0.005361930294906166
13modified,1,16,1387631371,0.09718670076726342
13modified,1,16,139021216,0.016
13modified,1,16,1398032593,0.016
13modified,1,16,1398607408,0.11965811965811966
13modified,1,16,1402590398,0.1016949152542373
13modified,1,16,1406651093,0.036939313984168866
13modified,1,16,1410954787,0.016
13modified,1,16,1411770614,0.08247422680412371
13modified,1,16,1426697809,0.0106951871657754
13modified,1,16,143174518,0.036939313984168866
13modified,1,16,1433030683,0.04395604395604396
13modified,1,16,1435693011,0.005390835579514825
13modified,1,16,143828757,0.08740359897172237
13modified,1,16,1440834520,0.12121212121212122
13modified,1,16,144151369,0.09230769230769231
13modified,1,16,1441946452,0.02127659574468085
13modified,1,16,1444752565,0.02127659574468085
13modified,1,16,1448375801,0.021739130434782608
13modified,1,16,1452268325,0.031746031746031744
13modified,1,16,1454361430,0.0898876404494382
13modified,1,16,1455966942,0.10204081632653061
13modified,1,16,1456002608,0.021739130434782608
13modified,1,16,1458581845,0.08247422680412371
13modified,1,16,1465543548,0.042105263157894736
13modified,1,16,1469383037,0.05235602094240838
13modified,1,16,1472392893,0.0898876404494382
13modified,1,16,1475833365,0.06666666666666667
