level,M,N,seed,compressionDistance
all,1,16,1001641798,0.1719077568134172
all,1,16,1004306364,0.15644820295983086
all,1,16,1010978582,0.14861995753715498
all,1,16,1022846210,0.15254237288135594
all,1,16,1023722256,0.06651884700665188
all,1,16,1033480057,0.23481781376518218
all,1,16,1036474372,0.10434782608695652
all,1,16,1037401273,0.24193548387096775
all,1,16,1038218488,0.24193548387096775
all,1,16,1038240813,0.28346456692913385
all,1,16,1041135095,0.17573221757322174
all,1,16,1052850471,0.16806722689075632
all,1,16,1053293722,0.23481781376518218
all,1,16,1059209602,0.23123732251521298
all,1,16,1061751410,0.1908713692946058
all,1,16,1062255042,0.205761316872428
all,1,16,1064032374,0.17954070981210857
all,1,16,1064486697,0.06651884700665188
all,1,16,106587538,0.18333333333333332
all,1,16,1068183337,0.19461697722567287
all,1,16,1082073250,0.17573221757322174
all,1,16,1083026305,0.2020618556701031
all,1,16,1093253708,0.24193548387096775
all,1,16,1094988923,0.17573221757322174
all,1,16,1096341932,0.32950191570881227
all,1,16,1099891794,0.08351648351648351
all,1,16,1108994755,0.10845986984815618
all,1,16,1116182691,0.11663066954643629
all,1,16,1121515410,0.2698412698412698
all,1,16,112743658,0.3035019455252918
all,1,16,1128081783,0.16421052631578947
all,1,16,1130403943,0.11255411255411256
all,1,16,1135500214,0.32629558541266795
all,1,16,1138184120,0.14072494669509594
all,1,16,1139765352,0.15644820295983086
all,1,16,1142181782,0.2868369351669941
all,1,16,1154008721,0.17573221757322174
all,1,16,1157790512,0.2454728370221328
all,1,16,1161547704,0.11663066954643629
all,1,16,1164368824,0.1908713692946058
all,1,16,1174427787,0.20944558521560575
all,1,16,1174462524,0.16421052631578947
all,1,16,1175519146,0.2240325865580448
all,1,16,1182202028,0.3067961165048544
all,1,16,1182440019,0.1908713692946058
all,1,16,1201170237,0.205761316872428
all,1,16,1201565253,0.22040816326530613
all,1,16,1211334439,0.23123732251521298
all,1,16,1218616460,0.19834710743801653
all,1,16,1218917431,0.23481781376518218
all,1,16,1222143675,0.08771929824561403
all,1,16,1223901321,0.17573221757322174
all,1,16,1226275373,0.15254237288135594
all,1,16,1226979448,0.1719077568134172
all,1,16,1233913320,0.25250501002004005
all,1,16,1237131333,0.16806722689075632
all,1,16,1239558035,0.25948103792415167
all,1,16,1244728759,0.33587786259541985
all,1,16,1246105016,0.15254237288135594
all,1,16,124711068,0.03160270880361174
all,1,16,1250181728,0.05357142857142857
all,1,16,1270720746,0.10434782608695652
all,1,16,1288215810,0.13276231263383298
all,1,16,1288751559,0.15644820295983086
all,1,16,1292333361,0.2901960784313726
all,1,16,1292918822,0.16033755274261605
all,1,16,1293461712,0.19834710743801653
all,1,16,1300823014,0.14468085106382977
all,1,16,1304407919,0.2240325865580448
all,1,16,1305376595,0.14861995753715498
all,1,16,1310759371,0.205761316872428
all,1,16,1315379481,0.19461697722567287
all,1,16,1315459146,0.205761316872428
all,1,16,1317062028,0.2732673267326733
all,1,16,1317484954,0.11255411255411256
all,1,16,1318180947,0.26294820717131473
all,1,16,1318721770,0.205761316872428
all,1,16,1319364568,0.05790645879732739
all,1,16,1320567837,0.12473118279569892
all,1,16,1326000153,0.22040816326530613
all,1,16,1336493410,0.19461697722567287
all,1,16,1337026208,0.07079646017699115
all,1,16,1341796865,0.03160270880361174
all,1,16,1348972292,0.2240325865580448
all,1,16,1351344834,0.2167689161554192
all,1,16,1354571885,0.10845986984815618
all,1,16,1355696803,0.22040816326530613
all,1,16,1356823191,0.25250501002004005
all,1,16,1360479120,0.15644820295983086
all,1,16,1360595726,0.22764227642276422
all,1,16,1367920983,0.2020618556701031
all,1,16,1370452686,0.19461697722567287
all,1,16,1371795951,0.0091324200913242
all,1,16,137493304,0.09190371991247265
all,1,16,1375056305,0.205761316872428
all,1,16,1380206301,0.205761316872428
all,1,16,138257890,0.1719077568134172
all,1,16,1390070123,0.32950191570881227
all,1,16,1397766369,0.21311475409836064
all,1,16,1409932949,0.08771929824561403
all,1,16,1410120414,0.16421052631578947
all,1,16,1411552849,0.12473118279569892
all,1,16,1411736710,0.12875536480686695
all,1,16,1411740561,0.22040816326530613
all,1,16,1412314167,0.11255411255411256
all,1,16,1414909128,0.205761316872428
all,1,16,1415951383,0.205761316872428
all,1,16,1417221407,0.14861995753715498
all,1,16,1417484602,0.19461697722567287
all,1,16,1420211928,0.24899598393574296
all,1,16,1423060993,0.205761316872428
