level,M,N,seed,densityMetric
10,4,4,1004424151,0.3533
10,4,4,1007377500,0.3533
10,4,4,1008910923,0.3533
10,4,4,1018179822,0.3533
10,4,4,1021367272,0.3533
10,4,4,1021640706,0.3533
10,4,4,1023422436,0.3533
10,4,4,1025347579,0.3533
10,4,4,1031355879,0.3533
10,4,4,1033424465,0.3533
10,4,4,1035128010,0.3533
10,4,4,1042075967,0.3533
10,4,4,1044306931,0.6133
10,4,4,1052874728,0.3533
10,4,4,1053224620,0.3533
10,4,4,1057741487,0.3533
10,4,4,1059394314,0.3533
10,4,4,1060614365,0.3533
10,4,4,1066633413,0.3533
10,4,4,1068339474,0.3533
10,4,4,106938787,0.3533
10,4,4,1073943930,0.3533
10,4,4,1074220544,0.3533
10,4,4,1076463846,0.3800
10,4,4,1076682064,0.3533
10,4,4,1079141869,0.3533
10,4,4,1082345947,0.3533
10,4,4,1088651325,0.6133
10,4,4,1096254455,0.3533
10,4,4,1099905981,0.3533
10,4,4,1101331502,0.3533
10,4,4,1107733190,0.6133
10,4,4,1109087659,0.3533
10,4,4,1111629349,0.3533
10,4,4,111859683,0.6133
10,4,4,1122683089,0.4067
10,4,4,1123460340,0.6667
10,4,4,1124581043,0.4067
10,4,4,1125676472,0.4067
10,4,4,1129562518,0.3533
10,4,4,1129766833,0.3533
10,4,4,1129955266,0.3533
10,4,4,1135479475,0.3533
10,4,4,1139156451,0.6133
10,4,4,113933278,0.4067
10,4,4,1141002997,0.3533
10,4,4,1142153044,0.4067
10,4,4,1143428209,0.3533
10,4,4,1144006319,0.3533
10,4,4,1146421746,0.6333
10,4,4,1148518376,0.3533
10,4,4,1149095865,0.3667
10,4,4,1149749788,0.3533
10,4,4,115004013,0.3533
10,4,4,1152945921,0.3533
10,4,4,1155383755,0.6133
10,4,4,115904951,0.3533
10,4,4,1179486167,0.3533
10,4,4,1189115314,0.6133
10,4,4,118958320,0.3533
10,4,4,1191242234,0.3533
10,4,4,1195729190,0.3533
10,4,4,1197460902,0.3533
10,4,4,1203674161,0.3533
10,4,4,120538609,0.3533
10,4,4,1216892087,0.3533
10,4,4,1223773794,0.6133
10,4,4,122575848,0.3533
10,4,4,1226574802,0.3533
10,4,4,1227166346,0.3533
10,4,4,1233953668,0.3533
10,4,4,1235204146,0.3533
10,4,4,1235328474,0.3533
10,4,4,1235914138,0.3533
10,4,4,1245077447,0.3533
10,4,4,1248112851,0.3533
10,4,4,1248347789,0.3533
10,4,4,1249799023,0.3533
10,4,4,1249822324,0.3533
10,4,4,1251190072,0.4067
10,4,4,1254747013,0.3533
10,4,4,1259174031,0.3533
10,4,4,1260157778,0.4067
10,4,4,1263145343,0.6133
10,4,4,1264258389,0.3533
10,4,4,1270216659,0.6133
10,4,4,1274029711,0.3533
10,4,4,1278203345,0.4200
10,4,4,1278571457,0.3533
10,4,4,1285040693,0.3533
10,4,4,1287787653,0.3533
10,4,4,1304312646,0.3533
10,4,4,1309951381,0.3533
10,4,4,1311660109,0.3667
10,4,4,1313468976,0.3533
10,4,4,1314015176,0.3533
10,4,4,1315572614,0.3533
10,4,4,1320330649,0.4600
10,4,4,1323789098,0.3533
