level,M,N,seed,densityMetric
13modified,2,2,100334696,0.7818
13modified,2,2,1005713264,0.7455
13modified,2,2,1010932164,0.6727
13modified,2,2,1012869568,0.5697
13modified,2,2,1018889751,0.6545
13modified,2,2,1021967227,0.5879
13modified,2,2,1024734536,0.5152
13modified,2,2,1033033434,0.4848
13modified,2,2,1034628327,0.6000
13modified,2,2,1035399153,0.6788
13modified,2,2,1041640248,0.6424
13modified,2,2,1042768624,0.5879
13modified,2,2,1044706667,0.7273
13modified,2,2,1045197443,0.7152
13modified,2,2,1045985721,0.8242
13modified,2,2,1049469142,0.5879
13modified,2,2,104993245,0.5697
13modified,2,2,1051467736,0.6364
13modified,2,2,1055293516,0.6485
13modified,2,2,1055999818,0.6788
13modified,2,2,106470709,0.7212
13modified,2,2,1066819082,0.5636
13modified,2,2,1071405622,0.5333
13modified,2,2,1072816653,0.6848
13modified,2,2,107858546,0.5697
13modified,2,2,1081831131,0.6848
13modified,2,2,1085292328,0.6121
13modified,2,2,1086993038,0.5030
13modified,2,2,1089481602,0.6424
13modified,2,2,1090021741,0.5394
13modified,2,2,1095229560,0.4788
13modified,2,2,1099242507,0.5576
13modified,2,2,1119739660,0.6545
13modified,2,2,1119913660,0.6424
13modified,2,2,1121788155,0.6364
13modified,2,2,1122891000,0.6242
13modified,2,2,1123116722,0.5091
13modified,2,2,1125748041,0.6727
13modified,2,2,112714695,0.4788
13modified,2,2,112803900,0.5758
13modified,2,2,1131392376,0.6485
13modified,2,2,1137791056,0.5758
13modified,2,2,1140268074,0.6121
13modified,2,2,1149310547,0.5939
13modified,2,2,1149675945,0.6061
13modified,2,2,1154482944,0.6061
13modified,2,2,1159043200,0.6848
13modified,2,2,116013539,0.6485
13modified,2,2,1167164095,0.6000
13modified,2,2,1170387944,0.6545
13modified,2,2,1170753960,0.5212
13modified,2,2,1183217684,0.7576
13modified,2,2,1183839141,0.6606
13modified,2,2,1186326919,0.5030
13modified,2,2,1198305612,0.4182
13modified,2,2,1200800358,0.5333
13modified,2,2,1205118578,0.5697
13modified,2,2,1208064624,0.5939
13modified,2,2,1208894535,0.6788
13modified,2,2,121848537,0.6970
13modified,2,2,1220846468,0.6000
13modified,2,2,1222949588,0.6788
13modified,2,2,1232002747,0.5030
13modified,2,2,1235717330,0.5152
13modified,2,2,1235792259,0.7758
13modified,2,2,123988852,0.6485
13modified,2,2,1240105649,0.7515
13modified,2,2,1245146245,0.8121
13modified,2,2,12481666,0.6121
13modified,2,2,1248990245,0.6727
13modified,2,2,126537086,0.6182
13modified,2,2,1271901802,0.7939
13modified,2,2,1278655297,0.7212
13modified,2,2,1284670388,0.7576
13modified,2,2,128849205,0.4727
