level,M,N,seed,densityMetric
all,5,5,1001123197,0.4049
all,5,5,1003002314,0.3399
all,5,5,1004505493,0.3756
all,5,5,1005196687,0.2129
all,5,5,1007123487,0.3054
all,5,5,1011173588,0.4089
all,5,5,1025017788,0.3300
all,5,5,1035204856,0.2488
all,5,5,1044227104,0.2976
all,5,5,1044606885,0.3960
all,5,5,1044728683,0.9851
all,5,5,104783863,0.2098
all,5,5,104957404,0.4390
all,5,5,1054383769,0.3069
all,5,5,1055319602,0.2906
all,5,5,1058411675,0.7561
all,5,5,1059397968,0.3366
all,5,5,106015260,0.1642
all,5,5,1063785161,0.4059
all,5,5,1064510888,0.7921
all,5,5,1067305751,0.2365
all,5,5,1068247938,0.3902
all,5,5,1069224076,0.3762
all,5,5,1071783754,0.2338
all,5,5,1075934982,0.1832
all,5,5,1080615095,0.4293
all,5,5,1081760984,0.1980
all,5,5,1084215888,0.2098
all,5,5,1095954113,0.3902
all,5,5,1095961960,0.2426
all,5,5,1097415600,0.1415
all,5,5,1100619669,0.4335
all,5,5,1104252799,0.1535
all,5,5,1108748165,0.4581
all,5,5,1110242813,0.3645
all,5,5,1111109187,0.1854
all,5,5,1113013786,0.4950
all,5,5,1114669917,0.2562
all,5,5,1117450043,0.7079
all,5,5,1117731551,0.3399
all,5,5,1125073921,0.6386
all,5,5,1130921827,0.4505
all,5,5,1131790060,0.3645
all,5,5,1136700782,0.5495
all,5,5,1142189215,0.2935
all,5,5,1149314936,0.4703
all,5,5,1152269405,0.2673
all,5,5,1156187850,0.4109
all,5,5,1156765998,0.3448
all,5,5,1162221605,0.4341
all,5,5,1165538701,0.4307
all,5,5,1165769601,0.9171
all,5,5,1165874163,0.5610
all,5,5,1172390067,0.6439
all,5,5,1185393635,0.6040
all,5,5,1192984284,0.4010
all,5,5,119989959,0.3024
all,5,5,1202192130,0.3561
all,5,5,120541634,0.1773
all,5,5,1208795532,0.2341
all,5,5,1213267582,0.5149
all,5,5,1217198594,0.6634
all,5,5,1226000117,0.4455
all,5,5,1226964952,0.6584
all,5,5,1228261021,0.5320
all,5,5,1241802067,1.0640
all,5,5,1242196772,0.2709
all,5,5,1242242665,0.2463
all,5,5,1249423349,0.2475
all,5,5,1254354348,0.3659
all,5,5,1257027099,0.5990
all,5,5,1262255503,0.5545
all,5,5,126425022,0.2488
all,5,5,1264827198,0.2244
all,5,5,1275109495,0.2906
all,5,5,1275762322,0.2488
all,5,5,1282103913,0.2244
all,5,5,1285069552,0.2585
all,5,5,1285639001,0.6847
all,5,5,1286325301,0.2244
all,5,5,1287087174,0.2390
all,5,5,1295372085,0.4537
all,5,5,1296008841,0.3171
all,5,5,1298433575,0.5902
all,5,5,1302116771,0.3512
all,5,5,1302774543,0.2829
all,5,5,130522989,0.1724
all,5,5,1309921249,0.4703
all,5,5,1315955308,0.1683
all,5,5,1319011313,0.3366
all,5,5,1319648610,0.3960
all,5,5,1327949217,0.4146
all,5,5,1331535738,0.4455
all,5,5,1331710198,0.5707
all,5,5,1332646346,0.2020
all,5,5,1335813822,0.7143
all,5,5,1338752352,0.8325
all,5,5,134526865,0.4927
all,5,5,1353875771,0.4752
all,5,5,1355657102,0.8515
all,5,5,1357166998,0.2585
all,5,5,1359954194,0.2878
all,5,5,136212761,0.4059
all,5,5,1365147146,0.3366
all,5,5,1367352505,0.6584
all,5,5,1373373174,0.2040
all,5,5,1385214231,0.5000
all,5,5,1386455293,0.6158
all,5,5,1386871797,0.3069
all,5,5,1393123234,0.3564
all,5,5,1396788012,0.2723
all,5,5,13976590,0.1756
all,5,5,1399013177,0.8683
all,5,5,1400744412,0.3268
all,5,5,1403112510,0.1881
all,5,5,140961087,0.4829
all,5,5,1413649877,0.2341
all,5,5,1421237216,0.4975
all,5,5,1422472622,0.4975
all,5,5,142910804,0.3911
all,5,5,1430090683,0.3695
all,5,5,1432551773,0.2069
all,5,5,1433824161,0.7525
all,5,5,1446625921,0.1415
all,5,5,1463856963,0.2878
all,5,5,1473859512,0.4634
all,5,5,1479377945,0.1970
all,5,5,1483653255,0.4683
all,5,5,1484956899,0.4680
all,5,5,1490357435,0.8128
all,5,5,1493371253,0.4146
all,5,5,1498968516,0.3416
all,5,5,1506146,0.5074
all,5,5,1515608686,0.4098
all,5,5,1518295672,0.4680
all,5,5,1519983345,0.6305
