level,M,N,seed,editDistance
11,3,3,100356515,304
11,3,3,1017096710,282
11,3,3,1019659450,295
11,3,3,1019686564,289
11,3,3,1021099093,238
11,3,3,1028181055,259
11,3,3,1028221476,276
11,3,3,1029969684,271
11,3,3,1032168601,298
11,3,3,1035347563,286
11,3,3,1037422260,305
11,3,3,1047730424,299
11,3,3,1052804778,294
11,3,3,1070253909,297
11,3,3,1071951939,274
11,3,3,1073177884,282
11,3,3,1078042639,296
11,3,3,1089062733,301
11,3,3,1090658290,281
11,3,3,1090816095,293
11,3,3,109238692,277
11,3,3,1093873651,274
11,3,3,1100744875,325
11,3,3,1105137414,302
11,3,3,1113958621,311
11,3,3,1127490420,266
11,3,3,113323798,326
11,3,3,1138809542,307
11,3,3,1144887126,280
11,3,3,1148296322,288
11,3,3,1158550516,295
11,3,3,1158588681,300
11,3,3,1159229807,288
11,3,3,1172963202,292
11,3,3,1174155956,244
11,3,3,1186157259,330
11,3,3,1193402462,285
11,3,3,1194429390,292
11,3,3,1201381914,286
11,3,3,1207965399,283
11,3,3,1209017041,275
11,3,3,1209580885,274
11,3,3,121281623,256
11,3,3,1214181327,280
11,3,3,1217073149,257
11,3,3,1220078934,260
11,3,3,1220952180,292
11,3,3,1223440064,273
11,3,3,1223787389,286
11,3,3,1234086989,303
11,3,3,1237584719,305
11,3,3,1238465891,280
11,3,3,1241748122,291
11,3,3,1247864065,245
11,3,3,1254781923,268
11,3,3,1257734600,287
11,3,3,1259787192,283
11,3,3,1267906690,273
11,3,3,127499937,298
11,3,3,1277767425,294
11,3,3,1281919863,272
11,3,3,1285568870,289
11,3,3,1285648669,278
11,3,3,1287779125,280
11,3,3,1293197896,313
11,3,3,1302866380,275
11,3,3,1303584961,291
11,3,3,1306879460,257
11,3,3,1315438172,310
11,3,3,1320738817,324
11,3,3,1331195643,276
11,3,3,1332776861,308
11,3,3,1332785086,291
11,3,3,1334596484,286
11,3,3,1335536686,266
11,3,3,1338065893,291
11,3,3,1338718840,268
11,3,3,1339359277,304
11,3,3,134066263,264
11,3,3,1346406079,300
11,3,3,1356154863,278
11,3,3,1366640799,296
11,3,3,1368021741,285
11,3,3,1369574576,313
11,3,3,1375710098,285
11,3,3,1377029552,273
11,3,3,1378383769,271
11,3,3,1384048965,315
11,3,3,1387405638,258
11,3,3,1390157776,290
11,3,3,139695237,273
11,3,3,1401559577,277
11,3,3,140256198,291
11,3,3,1406088051,298
11,3,3,1406947456,292
11,3,3,1410669116,296
