level,M,N,seed,editDistance
13modified,2,2,100334696,260
13modified,2,2,1005713264,275
13modified,2,2,1010932164,252
13modified,2,2,1012869568,250
13modified,2,2,1018889751,274
13modified,2,2,1021967227,261
13modified,2,2,1024734536,250
13modified,2,2,1033033434,243
13modified,2,2,1034628327,259
13modified,2,2,1035399153,266
13modified,2,2,1041640248,257
13modified,2,2,1042768624,247
13modified,2,2,1044706667,262
13modified,2,2,1045197443,275
13modified,2,2,1045985721,274
13modified,2,2,1049469142,244
13modified,2,2,104993245,259
13modified,2,2,1051467736,278
13modified,2,2,1055293516,248
13modified,2,2,1055999818,266
13modified,2,2,106470709,261
13modified,2,2,1066819082,257
13modified,2,2,1071405622,260
13modified,2,2,1072816653,268
13modified,2,2,107858546,266
13modified,2,2,1081831131,257
13modified,2,2,1085292328,248
13modified,2,2,1086993038,238
13modified,2,2,1089481602,275
13modified,2,2,1090021741,261
13modified,2,2,1095229560,233
13modified,2,2,1099242507,249
13modified,2,2,1119739660,258
13modified,2,2,1119913660,268
13modified,2,2,1121788155,255
13modified,2,2,1122891000,254
13modified,2,2,1123116722,255
13modified,2,2,1125748041,254
13modified,2,2,112714695,263
13modified,2,2,112803900,245
13modified,2,2,1131392376,264
13modified,2,2,1137791056,254
13modified,2,2,1140268074,255
13modified,2,2,1149310547,278
13modified,2,2,1149675945,260
13modified,2,2,1154482944,253
13modified,2,2,1159043200,269
13modified,2,2,116013539,252
13modified,2,2,1167164095,253
13modified,2,2,1170387944,263
13modified,2,2,1170753960,240
13modified,2,2,1183217684,277
13modified,2,2,1183839141,263
13modified,2,2,1186326919,262
13modified,2,2,1198305612,226
13modified,2,2,1200800358,245
13modified,2,2,1205118578,258
13modified,2,2,1208064624,259
13modified,2,2,1208894535,286
13modified,2,2,121848537,256
13modified,2,2,1220846468,256
13modified,2,2,1222949588,249
13modified,2,2,1232002747,248
13modified,2,2,1235717330,247
13modified,2,2,1235792259,291
13modified,2,2,123988852,268
13modified,2,2,1240105649,272
13modified,2,2,1245146245,292
13modified,2,2,12481666,254
13modified,2,2,1248990245,279
13modified,2,2,126537086,259
13modified,2,2,1271901802,279
13modified,2,2,1278655297,261
13modified,2,2,1284670388,275
13modified,2,2,128849205,236
13modified,2,2,1294751766,242
13modified,2,2,1295604390,250
13modified,2,2,1299476798,251
13modified,2,2,1300485353,255
13modified,2,2,1305346275,264
13modified,2,2,1306616824,269
13modified,2,2,1308551323,253
13modified,2,2,1315827889,266
13modified,2,2,1317356462,255
13modified,2,2,1321452978,256
13modified,2,2,1322707071,261
13modified,2,2,1327951166,248
