level,M,N,seed,editDistance
all,6,6,1001641798,276
all,6,6,1004306364,242
all,6,6,1013132103,267
all,6,6,1022846210,243
all,6,6,1023722256,548
all,6,6,1026922035,256
all,6,6,1033480057,252
all,6,6,1035811137,223
all,6,6,1036474372,250
all,6,6,103718413,244
all,6,6,1037401273,459
all,6,6,1038218488,261
all,6,6,1038240813,254
all,6,6,1041135095,256
all,6,6,1052850471,252
all,6,6,1059209602,243
all,6,6,1062255042,253
all,6,6,1064032374,250
all,6,6,1064486697,251
all,6,6,106587538,233
all,6,6,1068183337,250
all,6,6,1076245341,257
all,6,6,1082073250,274
all,6,6,1083026305,246
all,6,6,1085132997,281
all,6,6,1085488272,251
all,6,6,1087632942,267
all,6,6,1094988923,238
all,6,6,1096341932,256
all,6,6,1099891794,259
all,6,6,1107405273,248
all,6,6,110889107,255
all,6,6,1121515410,270
all,6,6,112743658,247
all,6,6,1128081783,257
all,6,6,1130403943,275
all,6,6,1135500214,257
all,6,6,1138184120,275
all,6,6,1139765352,241
all,6,6,1142181782,268
all,6,6,1153118460,269
all,6,6,1154008721,276
all,6,6,1157790512,273
all,6,6,1161547704,265
all,6,6,1163064016,279
all,6,6,1164368824,236
all,6,6,1166211825,283
all,6,6,1174462524,696
all,6,6,1175519146,261
all,6,6,1182440019,254
all,6,6,1184347117,225
all,6,6,1189897559,235
all,6,6,1201170237,273
all,6,6,1201565253,263
all,6,6,1218616460,264
all,6,6,1218917431,435
all,6,6,1222143675,279
all,6,6,1226275373,251
all,6,6,1226979448,256
all,6,6,1233913320,257
all,6,6,1235501548,241
all,6,6,1239558035,251
all,6,6,1246105016,317
all,6,6,124711068,243
all,6,6,1270720746,262
all,6,6,1286700257,287
all,6,6,1288215810,286
all,6,6,1288751559,263
all,6,6,1291783535,440
all,6,6,1292333361,242
all,6,6,1293461712,592
all,6,6,1300823014,253
all,6,6,1304407919,261
all,6,6,1305376595,271
all,6,6,1310759371,245
all,6,6,1315379481,239
all,6,6,1315459146,257
all,6,6,1317062028,240
all,6,6,1317484954,524
all,6,6,1318180947,255
all,6,6,1319364568,277
all,6,6,1320567837,261
all,6,6,1326000153,281
all,6,6,1336493410,234
all,6,6,1337026208,233
all,6,6,1339626390,266
all,6,6,1339932215,238
all,6,6,1341796865,269
all,6,6,1344745010,259
all,6,6,1348972292,238
all,6,6,1351344834,234
all,6,6,1352097030,274
all,6,6,1354571885,258
all,6,6,1355696803,248
all,6,6,1356823191,266
all,6,6,1360479120,622
all,6,6,1360595726,268
all,6,6,1362529068,254
all,6,6,1367920983,257
all,6,6,1370452686,270
all,6,6,1371795951,242
all,6,6,137493304,254
all,6,6,1375056305,246
all,6,6,1380206301,254
all,6,6,138257890,253
all,6,6,1393337317,260
all,6,6,1396239170,275
all,6,6,1397766369,277
all,6,6,1398092379,248
all,6,6,1409932949,251
all,6,6,1411552849,244
all,6,6,1411736710,271
all,6,6,1411740561,278
all,6,6,1412314167,248
all,6,6,1415951383,266
all,6,6,1417221407,234
all,6,6,1417484602,561
all,6,6,1419094134,250
all,6,6,1420211928,245
all,6,6,1423682194,255
all,6,6,1424869980,270
all,6,6,142497295,247
all,6,6,1430247905,251
all,6,6,1431277483,249
all,6,6,1440176088,252
all,6,6,1453438136,288
all,6,6,1457672976,245
all,6,6,1459827370,256
all,6,6,1460318742,272
all,6,6,1460988487,246
all,6,6,1461249056,257
all,6,6,1480296753,262
all,6,6,1482196585,264
all,6,6,1483337579,247
all,6,6,1486300823,248
all,6,6,1489522858,253
all,6,6,14936278,268
all,6,6,1497529937,265
all,6,6,1504225597,693
all,6,6,150604100,290
all,6,6,1507258094,475
all,6,6,1509632501,278
all,6,6,1512170075,272
all,6,6,1513047029,271
all,6,6,1517749108,263
all,6,6,152517913,260
all,6,6,1531151360,238
all,6,6,1533832136,280
all,6,6,1536985943,443
all,6,6,1540822946,285
all,6,6,1542757796,263
all,6,6,1544125195,591
all,6,6,1548060002,251
all,6,6,1554856959,233
all,6,6,15576454,647
all,6,6,1558620065,267
all,6,6,1560665819,238
all,6,6,1563161544,292
all,6,6,1566290996,244
