level,M,N,seed,leniencyMetric
13modified,14,6,100334696,-31.9333
13modified,14,6,1005713264,-31.9333
13modified,14,6,1010932164,-31.9333
13modified,14,6,1012869568,-31.9333
13modified,14,6,1021967227,-31.9333
13modified,14,6,1033033434,-31.9333
13modified,14,6,1033854624,-31.9333
13modified,14,6,1034628327,-31.9333
13modified,14,6,1041640248,-31.9333
13modified,14,6,1042768624,-31.9333
13modified,14,6,1044706667,-31.9333
13modified,14,6,1045197443,-31.9333
13modified,14,6,1045985721,-31.9333
13modified,14,6,1049469142,-31.9333
13modified,14,6,104993245,-31.9333
13modified,14,6,1051467736,-31.9333
13modified,14,6,1055293516,-31.9333
13modified,14,6,106470709,-31.9333
13modified,14,6,1066819082,-31.9333
13modified,14,6,1071405622,-31.9333
13modified,14,6,1072816653,-31.9333
13modified,14,6,1074205656,-31.9333
13modified,14,6,107858546,-31.9333
13modified,14,6,1081831131,-31.9333
13modified,14,6,1085292328,-31.9333
13modified,14,6,1086993038,-31.9333
13modified,14,6,1090021741,-31.9333
13modified,14,6,1095229560,-31.9333
13modified,14,6,1099242507,-31.9333
13modified,14,6,1119739660,-31.9333
13modified,14,6,1119913660,-31.9333
13modified,14,6,1121788155,-31.9333
13modified,14,6,1122891000,-31.9333
13modified,14,6,1123116722,-31.9333
13modified,14,6,1125748041,-31.9333
13modified,14,6,112714695,-31.9333
13modified,14,6,112803900,-31.9333
13modified,14,6,1131392376,-31.9333
13modified,14,6,1137791056,-31.9333
13modified,14,6,1140268074,-31.9333
13modified,14,6,1142192008,-31.9333
13modified,14,6,1149310547,-31.9333
13modified,14,6,1149395731,-31.9333
13modified,14,6,1149675945,-31.9333
13modified,14,6,1151948236,-31.9333
13modified,14,6,1159043200,-31.9333
13modified,14,6,1167164095,-31.9333
13modified,14,6,1168528864,-31.9333
13modified,14,6,1170387944,-31.9333
13modified,14,6,1170753960,-31.9333
13modified,14,6,1183217684,-31.9333
13modified,14,6,1183839141,-31.9333
13modified,14,6,1186326919,-31.9333
13modified,14,6,1198305612,-31.9333
13modified,14,6,1200800358,-31.9333
13modified,14,6,1205118578,-31.9333
13modified,14,6,1208064624,-31.9333
13modified,14,6,1208894535,-31.9333
13modified,14,6,1220846468,-31.9333
13modified,14,6,1222949588,-31.9333
13modified,14,6,1232002747,-31.9333
13modified,14,6,1235717330,-31.9333
13modified,14,6,1235792259,-31.9333
13modified,14,6,123988852,-31.9333
13modified,14,6,1240105649,-31.9333
13modified,14,6,1245146245,-31.9333
13modified,14,6,12481666,-31.9333
13modified,14,6,1248990245,-31.9333
13modified,14,6,1271901802,-31.9333
13modified,14,6,1284670388,-31.9333
13modified,14,6,128849205,-31.9333
13modified,14,6,1294751766,-31.9333
13modified,14,6,1295454644,-31.9333
13modified,14,6,1299476798,-31.9333
13modified,14,6,1300485353,-31.9333
13modified,14,6,1305346275,-31.9333
13modified,14,6,130581915,-31.9333
13modified,14,6,1306616824,-31.9333
13modified,14,6,1308353909,-31.9333
13modified,14,6,1308551323,-31.9333
13modified,14,6,1315827889,-31.9333
13modified,14,6,1317356462,-31.9333
13modified,14,6,1318081265,-31.9333
13modified,14,6,1321452978,-31.9333
13modified,14,6,1322707071,-31.9333
13modified,14,6,1327951166,-31.9333
13modified,14,6,1334016119,-31.9333
13modified,14,6,1336996873,-31.9333
13modified,14,6,1342400852,-31.9333
13modified,14,6,1343326420,-31.9333
13modified,14,6,134574967,-31.9333
13modified,14,6,1347620170,-31.9333
13modified,14,6,1350246726,-31.9333
13modified,14,6,1353309627,-31.9333
13modified,14,6,1354863624,-31.9333
13modified,14,6,1355977442,-31.9333
13modified,14,6,1369093841,-31.9333
13modified,14,6,1369758537,-31.9333
13modified,14,6,1370730297,-31.9333
13modified,14,6,137298414,-31.9333
13modified,14,6,1373215267,-31.9333
13modified,14,6,1373343923,-31.9333
13modified,14,6,1374512836,-31.9333
13modified,14,6,1382735061,-31.9333
13modified,14,6,1383967720,-31.9333
13modified,14,6,1384713187,-31.9333
13modified,14,6,1385042497,-31.9333
13modified,14,6,1387075227,-31.9333
13modified,14,6,1387631371,-31.9333
13modified,14,6,139021216,-31.9333
13modified,14,6,1398032593,-31.9333
13modified,14,6,1398607408,-31.9333
13modified,14,6,1402590398,-31.9333
13modified,14,6,1406651093,-31.9333
13modified,14,6,1410954787,-31.9333
13modified,14,6,1411770614,-31.9333
13modified,14,6,1426697809,-31.9333
13modified,14,6,143174518,-31.9333
13modified,14,6,1433030683,-31.9333
13modified,14,6,1435693011,-31.9333
13modified,14,6,143828757,-31.9333
13modified,14,6,1440834520,-31.9333
13modified,14,6,144151369,-31.9333
13modified,14,6,1441946452,-31.9333
13modified,14,6,1444752565,-31.9333
13modified,14,6,1448375801,-31.9333
13modified,14,6,1452268325,-31.9333
13modified,14,6,1454361430,-31.9333
13modified,14,6,1455966942,-31.9333
13modified,14,6,1456002608,-31.9333
13modified,14,6,1458581845,-31.9333
13modified,14,6,1465543548,-31.9333
13modified,14,6,1469383037,-31.9333
13modified,14,6,1472392893,-31.9333
13modified,14,6,1475833365,-31.9333
13modified,14,6,1477413073,-31.9333
13modified,14,6,1477603777,-31.9333
13modified,14,6,1478554099,-31.9333
13modified,14,6,1485705260,-31.9333
13modified,14,6,1493738666,-31.9333
13modified,14,6,1497059314,-31.9333
13modified,14,6,1502756878,-31.9333
13modified,14,6,1511014196,-31.9333
13modified,14,6,1511549424,-31.9333
13modified,14,6,1512173849,-31.9333
13modified,14,6,1514724235,-31.9333
13modified,14,6,151641113,-31.9333
13modified,14,6,1519923925,-31.9333
13modified,14,6,1520591354,-31.9333
13modified,14,6,1523119098,-31.9333
13modified,14,6,1523416595,-31.9333
13modified,14,6,1525290395,-31.9333
13modified,14,6,1525356389,-31.9333
13modified,14,6,1532585567,-31.9333
13modified,14,6,1532685163,-31.9333
13modified,14,6,1533039442,-31.9333
13modified,14,6,1537696857,-31.9333
13modified,14,6,1538219310,-31.9333
13modified,14,6,1538635465,-31.9333
13modified,14,6,1543871876,-31.9333
13modified,14,6,1548010334,-31.9333
13modified,14,6,1550908784,-31.9333
13modified,14,6,156462991,-31.9333
13modified,14,6,1567489355,-31.9333
13modified,14,6,1569987945,-31.9333
13modified,14,6,1573891020,-31.9333
13modified,14,6,1577567759,-31.9333
13modified,14,6,1579325423,-31.9333
13modified,14,6,1579718788,-31.9333
13modified,14,6,158110650,-31.9333
13modified,14,6,1597192292,-31.9333
13modified,14,6,1597649420,-31.9333
13modified,14,6,1601766857,-31.9333
13modified,14,6,1604585759,-31.9333
13modified,14,6,1604786055,-31.9333
13modified,14,6,1605354317,-31.9333
13modified,14,6,1607801886,-31.9333
13modified,14,6,1613391508,-31.9333
13modified,14,6,1614539992,-31.9333
13modified,14,6,1617315229,-31.9333
13modified,14,6,1618232878,-31.9333
