level,M,N,seed,Leniency
13modified,5,5,1000747388,-29.6000
13modified,5,5,1004940999,-22.0000
13modified,5,5,100632844,-22.3889
13modified,5,5,1006707556,-20.0556
13modified,5,5,1009107826,-20.0556
13modified,5,5,1009229447,-22.0000
13modified,5,5,1018544641,-26.2778
13modified,5,5,102280803,-30.8500
13modified,5,5,1037670259,-18.6000
13modified,5,5,1038671244,-22.3889
13modified,5,5,1038883129,-22.0000
13modified,5,5,1039987872,-36.4091
13modified,5,5,105140421,-18.6000
13modified,5,5,1053579526,-20.0556
13modified,5,5,1055229966,-22.0000
13modified,5,5,1057874518,-22.0000
13modified,5,5,1058957375,-37.1000
13modified,5,5,1065451971,-20.0556
13modified,5,5,1069714731,-22.0000
13modified,5,5,1072641056,-22.0000
13modified,5,5,1072824859,-20.0556
13modified,5,5,1073055339,-22.0000
13modified,5,5,1073272961,-35.3182
13modified,5,5,1078305007,-22.0000
13modified,5,5,1082260539,-22.3889
13modified,5,5,1087559589,-22.3889
13modified,5,5,10889602,-24.6111
13modified,5,5,1090707737,-22.0000
13modified,5,5,1097519480,-22.0000
13modified,5,5,1099272658,-32.1000
13modified,5,5,1110677252,-20.0556
13modified,5,5,1120843921,-20.0556
13modified,5,5,1121071924,-30.1667
13modified,5,5,1123957625,-26.2778
13modified,5,5,1130362085,-22.0000
13modified,5,5,1130953896,-26.2778
13modified,5,5,113625682,-32.1000
13modified,5,5,1138437632,-22.0000
13modified,5,5,1143661877,-20.0556
13modified,5,5,1145786771,-20.0556
13modified,5,5,1147801063,-25.6818
13modified,5,5,1162822678,-22.3889
13modified,5,5,1169013744,-22.0000
13modified,5,5,1171550889,-22.0000
13modified,5,5,1181772620,-25.6579
13modified,5,5,1185837477,-22.0000
13modified,5,5,119306034,-20.0556
13modified,5,5,1200158203,-20.0556
13modified,5,5,1200935411,-22.0000
13modified,5,5,1205388612,-22.0000
13modified,5,5,1206478818,-20.0556
13modified,5,5,1207503318,-22.0000
13modified,5,5,1207800718,-20.0556
13modified,5,5,1208209113,-39.6000
13modified,5,5,1212781919,-22.0000
13modified,5,5,1219764183,-27.1000
13modified,5,5,1220312016,-20.0556
13modified,5,5,1225165832,-26.1000
13modified,5,5,1226043139,-21.5909
13modified,5,5,1233831511,-22.0000
13modified,5,5,1242933758,-22.0000
13modified,5,5,1247590471,-18.6000
13modified,5,5,1252622799,-20.0556
13modified,5,5,1260255782,-22.0000
13modified,5,5,1265546259,-22.0000
13modified,5,5,1266488720,-20.0556
13modified,5,5,1275908440,-23.9444
13modified,5,5,1277614136,-20.0556
13modified,5,5,1278191166,-34.6000
13modified,5,5,1281877312,-24.6111
13modified,5,5,1282893305,-22.0000
13modified,5,5,1283508924,-22.0000
13modified,5,5,128554622,-18.6000
13modified,5,5,1308307336,-22.0000
13modified,5,5,1317277335,-20.0556
13modified,5,5,1330019984,-20.0556
13modified,5,5,1335075809,-22.0000
13modified,5,5,1338927563,-26.5909
13modified,5,5,133965900,-33.3500
13modified,5,5,1341224127,-25.1000
13modified,5,5,1343252007,-29.6000
13modified,5,5,1344434153,-22.0000
13modified,5,5,134482399,-21.9737
13modified,5,5,1348541570,-33.3500
13modified,5,5,1348875106,-20.0556
13modified,5,5,1357005491,-20.0556
13modified,5,5,1370627658,-20.0556
13modified,5,5,1374715224,-22.0000
13modified,5,5,1387151890,-22.0000
13modified,5,5,1388935252,-38.3500
13modified,5,5,1390842545,-22.0000
13modified,5,5,1392097658,-35.7222
13modified,5,5,140792612,-25.1000
13modified,5,5,1416567742,-23.3889
13modified,5,5,1420378545,-21.8333
13modified,5,5,1421984618,-20.0556
13modified,5,5,143632992,-22.5000
13modified,5,5,143660773,-22.3889
13modified,5,5,1439476180,-22.0000
13modified,5,5,1444009553,-22.0000
13modified,5,5,1445201825,-20.0556
13modified,5,5,1449430967,-33.3500
13modified,5,5,1451545910,-20.0556
13modified,5,5,145729422,-21.1000
13modified,5,5,1460623476,-20.0556
13modified,5,5,1463889962,-22.0000
13modified,5,5,1467157173,-22.0000
13modified,5,5,1476470986,-20.0556
13modified,5,5,1480704826,-30.8500
13modified,5,5,1481164812,-26.1667
13modified,5,5,1482543931,-20.0556
13modified,5,5,1483461119,-20.0556
13modified,5,5,1484841715,-25.3947
13modified,5,5,1485784693,-22.0000
13modified,5,5,1490363130,-39.6000
13modified,5,5,1496638450,-22.0000
13modified,5,5,1499413564,-24.1000
13modified,5,5,1504088547,-18.6000
13modified,5,5,1504340417,-22.0000
13modified,5,5,1505353724,-26.1000
13modified,5,5,1507616277,-20.0556
13modified,5,5,1509155999,-22.0000
13modified,5,5,1509984666,-22.0000
13modified,5,5,1515981365,-24.5000
13modified,5,5,1519299415,-22.3889
13modified,5,5,1520513517,-39.6000
13modified,5,5,1524709717,-22.0000
13modified,5,5,1527795885,-22.0000
13modified,5,5,1528039779,-22.0000
13modified,5,5,1530286851,-35.8500
13modified,5,5,1530730166,-27.1000
13modified,5,5,1534192257,-22.0000
13modified,5,5,1535558285,-20.0556
13modified,5,5,1543032626,-20.0556
13modified,5,5,1545582358,-22.0000
13modified,5,5,1547037443,-22.0000
13modified,5,5,1550685533,-22.0000
13modified,5,5,1551681087,-20.0556
13modified,5,5,1554451398,-22.0000
13modified,5,5,1567891758,-28.5000
13modified,5,5,1573356077,-22.0000
13modified,5,5,1573887778,-22.0000
13modified,5,5,1587608360,-22.0000
13modified,5,5,1591825128,-22.0000
13modified,5,5,1591829520,-22.0000
13modified,5,5,1592220142,-22.0000
13modified,5,5,1593907694,-20.0556
13modified,5,5,1601564752,-30.3000
13modified,5,5,1609519136,-22.0000
13modified,5,5,1614158745,-22.0000
13modified,5,5,1617428679,-22.0000
13modified,5,5,161936749,-20.0556
13modified,5,5,1626532505,-37.3095
13modified,5,5,162747135,-20.0556
13modified,5,5,1627878098,-18.6000
13modified,5,5,1632100205,-25.1667
13modified,5,5,1640161236,-20.0556
13modified,5,5,1644538910,-19.6000
13modified,5,5,1645586294,-23.5000
13modified,5,5,1648411373,-20.0556
13modified,5,5,1648969040,-18.6000
13modified,5,5,1660368022,-22.3889
13modified,5,5,1661436122,-20.0556
13modified,5,5,166959396,-20.0556
13modified,5,5,167502115,-22.0000
13modified,5,5,1678354020,-30.8500
13modified,5,5,1681939819,-19.4091
13modified,5,5,1683880603,-20.0556
13modified,5,5,1685156690,-28.3889
13modified,5,5,1688723499,-20.0556
13modified,5,5,1692126121,-20.0556
13modified,5,5,169873061,-22.0000
13modified,5,5,1708144132,-22.0000
13modified,5,5,170946242,-32.1000
13modified,5,5,1714568883,-20.0556
13modified,5,5,1717605128,-20.0556
13modified,5,5,1720836988,-22.0000
13modified,5,5,1721435834,-22.0000
13modified,5,5,1724000819,-18.6000
13modified,5,5,1752843671,-32.9444
13modified,5,5,1755142440,-23.3333
13modified,5,5,1755853177,-22.0000
13modified,5,5,1756074721,-22.0000
13modified,5,5,1762505672,-22.0000
13modified,5,5,1762761537,-25.7222
13modified,5,5,1766958145,-18.6000
13modified,5,5,1768952533,-23.5526
13modified,5,5,1770603754,-23.9444
13modified,5,5,1775113260,-22.0000
13modified,5,5,1775173339,-20.0556
13modified,5,5,1777445432,-20.0556
13modified,5,5,177866854,-20.0556
13modified,5,5,177942638,-22.0000
13modified,5,5,1779906848,-22.0000
13modified,5,5,1789410354,-20.0556
13modified,5,5,1791778974,-29.6000
13modified,5,5,1795826253,-27.1190
13modified,5,5,1796569166,-25.0556
13modified,5,5,1797774747,-20.0556
13modified,5,5,1800095436,-34.6000
13modified,5,5,1800637508,-21.9737
13modified,5,5,1805512845,-27.3947
13modified,5,5,1806445976,-20.0556
13modified,5,5,1810448264,-20.0556
13modified,5,5,1819119388,-20.0556
13modified,5,5,1819990369,-32.1000
13modified,5,5,182031492,-22.0000
13modified,5,5,1820793552,-20.0556
13modified,5,5,1823793032,-22.0000
13modified,5,5,1825605709,-21.8333
13modified,5,5,1829909606,-20.0556
13modified,5,5,1830645974,-27.2000
13modified,5,5,1832190101,-22.0000
13modified,5,5,1843204587,-22.0000
13modified,5,5,1845142266,-25.1667
13modified,5,5,1853570680,-20.0556
13modified,5,5,1862413920,-26.5952
13modified,5,5,1865618941,-22.0000
13modified,5,5,1867468502,-25.6111
13modified,5,5,186783104,-20.0556
13modified,5,5,1867934507,-20.0556
13modified,5,5,1870748648,-25.3947
13modified,5,5,1876696247,-20.0556
13modified,5,5,1887858911,-40.4048
13modified,5,5,188945830,-39.6000
13modified,5,5,1891469110,-22.0000
13modified,5,5,189155173,-22.0000
13modified,5,5,1897899047,-22.0000
13modified,5,5,1898341491,-22.0000
13modified,5,5,1905033252,-34.6000
13modified,5,5,191463373,-22.0000
13modified,5,5,1919604592,-22.0000
13modified,5,5,1922792342,-22.0000
13modified,5,5,1928328916,-22.0000
13modified,5,5,1929352144,-26.1667
13modified,5,5,1932903607,-20.0556
13modified,5,5,1932937349,-22.0000
13modified,5,5,1935775557,-22.0000
13modified,5,5,1942407843,-20.0556
13modified,5,5,1946106611,-29.6000
13modified,5,5,1948235494,-26.2778
13modified,5,5,1953828808,-20.7000
13modified,5,5,1957096776,-22.0000
13modified,5,5,1958663739,-22.0000
13modified,5,5,1961845877,-34.6000
13modified,5,5,1963714948,-20.0556
13modified,5,5,1972755271,-20.0556
13modified,5,5,1973158589,-22.0000
13modified,5,5,1973463446,-20.0556
13modified,5,5,1974644891,-30.8500
13modified,5,5,1979396431,-22.0000
13modified,5,5,1981934719,-25.0556
13modified,5,5,1993994992,-20.0556
13modified,5,5,1995033504,-18.6000
13modified,5,5,1995510272,-22.0000
13modified,5,5,1997017992,-23.3889
13modified,5,5,2010090001,-20.2000
13modified,5,5,2010988465,-22.0000
13modified,5,5,2011069666,-22.0000
13modified,5,5,2013677608,-35.8500
13modified,5,5,2014869255,-22.0000
13modified,5,5,2015673268,-27.1000
13modified,5,5,2016207534,-20.0556
13modified,5,5,2026323598,-18.6000
13modified,5,5,2029269455,-33.3500
13modified,5,5,204083981,-20.0556
13modified,5,5,2043337001,-22.0000
13modified,5,5,2046085618,-24.6053
13modified,5,5,20470853,-24.0556
13modified,5,5,2050984294,-26.2778
13modified,5,5,2052444157,-20.0556
13modified,5,5,2056332918,-22.0000
13modified,5,5,205682923,-22.0000
13modified,5,5,2057367082,-26.7222
13modified,5,5,2059202431,-22.0000
13modified,5,5,2066756674,-18.6000
13modified,5,5,2070903839,-22.0000
13modified,5,5,2077888711,-24.5000
13modified,5,5,2081257316,-22.6000
13modified,5,5,2081562342,-27.2778
13modified,5,5,2082711227,-22.0000
13modified,5,5,2092941731,-22.0000
13modified,5,5,2099647560,-23.5000
13modified,5,5,2100864723,-18.6000
13modified,5,5,2103438740,-21.1364
13modified,5,5,2109245520,-22.0000
13modified,5,5,2111581344,-20.6000
13modified,5,5,2117707531,-22.0000
13modified,5,5,2119211752,-22.0000
13modified,5,5,2121964014,-20.0556
13modified,5,5,212625774,-22.0000
13modified,5,5,2126958958,-22.3889
13modified,5,5,2127114785,-22.0000
13modified,5,5,21339815,-34.6000
13modified,5,5,2137725408,-24.6053
13modified,5,5,213784518,-22.0000
13modified,5,5,2146611503,-27.2778
13modified,5,5,21476299,-27.1000
13modified,5,5,218111463,-27.5000
13modified,5,5,218651401,-22.2000
13modified,5,5,222773733,-28.9545
13modified,5,5,223111873,-31.3571
13modified,5,5,22370205,-38.3500
13modified,5,5,231817566,-22.0000
13modified,5,5,234583499,-22.0000
13modified,5,5,236067928,-22.0000
13modified,5,5,237764319,-22.9444
13modified,5,5,242922398,-32.1000
13modified,5,5,243992325,-24.6579
13modified,5,5,246123008,-22.0000
13modified,5,5,246572614,-28.9762
13modified,5,5,250571034,-22.0000
13modified,5,5,252534108,-20.0556
13modified,5,5,25643056,-20.0556
13modified,5,5,265621743,-20.0556
13modified,5,5,27022924,-39.6000
13modified,5,5,276703638,-38.5000
13modified,5,5,276763032,-32.1000
13modified,5,5,278068419,-32.1000
13modified,5,5,282805229,-20.0556
13modified,5,5,294139524,-20.0556
13modified,5,5,305943071,-24.5000
13modified,5,5,306028302,-22.0000
13modified,5,5,307250575,-26.7000
13modified,5,5,308996021,-22.0000
13modified,5,5,311761933,-38.3500
13modified,5,5,318416483,-22.0000
13modified,5,5,319407054,-24.0556
13modified,5,5,322446830,-22.0000
13modified,5,5,329452327,-22.0000
13modified,5,5,338088101,-20.0556
13modified,5,5,340714859,-22.0000
13modified,5,5,343936855,-31.8000
13modified,5,5,346832508,-22.0000
13modified,5,5,35518565,-22.0000
13modified,5,5,367832216,-23.5000
13modified,5,5,367893454,-20.7000
13modified,5,5,381851875,-22.0000
13modified,5,5,388939467,-18.9545
13modified,5,5,408953675,-22.3889
13modified,5,5,427917682,-26.7222
13modified,5,5,428144102,-22.0000
13modified,5,5,428782990,-26.5909
13modified,5,5,429322841,-33.3500
13modified,5,5,429356607,-20.0556
13modified,5,5,436783424,-22.0000
13modified,5,5,442493968,-21.2273
13modified,5,5,450312709,-27.1000
13modified,5,5,452557630,-22.0000
13modified,5,5,457938820,-22.0000
13modified,5,5,460198231,-22.0000
13modified,5,5,461536879,-26.1500
13modified,5,5,462748285,-30.8500
13modified,5,5,47185065,-20.0556
13modified,5,5,476175474,-20.0556
13modified,5,5,476184391,-20.0556
13modified,5,5,477971540,-38.3500
13modified,5,5,483761997,-20.0556
13modified,5,5,494567451,-22.3889
13modified,5,5,49569508,-22.0000
