level,M,N,seed,Leniency
2,5,5,1001427231,-63.8182
2,5,5,1002366797,-30.8333
2,5,5,1012057892,-30.8333
2,5,5,1013132103,-30.8333
2,5,5,1014717709,-64.5000
2,5,5,1026922035,-30.8333
2,5,5,1029147075,-30.8333
2,5,5,1031702667,-64.5000
2,5,5,1033622902,-30.8333
2,5,5,1035811137,-30.8333
2,5,5,1036408008,-30.8333
2,5,5,103718413,-30.8333
2,5,5,1060434707,-30.8333
2,5,5,1062984232,-30.8333
2,5,5,1072567287,-30.8333
2,5,5,1074708876,-30.8333
2,5,5,1076245341,-30.8333
2,5,5,107681155,-64.5000
2,5,5,1078549398,-30.8333
2,5,5,1080209692,-63.8182
2,5,5,1083968067,-30.8333
2,5,5,1085132997,-63.8182
2,5,5,1085488272,-30.8333
2,5,5,1087632942,-30.8333
2,5,5,1099478714,-30.8333
2,5,5,1103297900,-30.8333
2,5,5,1107405273,-30.8333
2,5,5,110889107,-30.8333
2,5,5,1114549085,-30.8333
2,5,5,1122010857,-30.8333
2,5,5,1123006755,-30.8333
2,5,5,1125593924,-30.8333
2,5,5,1126458828,-30.8333
2,5,5,1128622077,-30.8333
2,5,5,1134793784,-30.8333
2,5,5,1137322580,-30.8333
2,5,5,1139122773,-30.8333
2,5,5,1139158243,-30.8333
2,5,5,113916748,-30.8333
2,5,5,1141551173,-30.8333
2,5,5,1142188025,-30.8333
2,5,5,114569370,-30.8333
2,5,5,1149167049,-30.8333
2,5,5,1153118460,-63.8182
2,5,5,1163064016,-30.8333
2,5,5,1165476451,-30.8333
2,5,5,1166211825,-30.8333
2,5,5,1174108690,-30.8333
2,5,5,1177393289,-30.8333
2,5,5,1177454261,-30.8333
2,5,5,1178363203,-30.8333
2,5,5,1179151292,-30.8333
2,5,5,1179578985,-30.8333
2,5,5,1181884336,-30.8333
2,5,5,1184347117,-30.8333
2,5,5,1189013657,-30.8333
2,5,5,1189897559,-30.8333
2,5,5,1190018701,-30.8333
2,5,5,1192020434,-30.8333
2,5,5,1194355300,-30.8333
2,5,5,1194991691,-30.8333
2,5,5,1199864294,-30.8333
2,5,5,1205819440,-30.8333
2,5,5,1210596624,-30.8333
2,5,5,1218386773,-30.8333
2,5,5,1221344927,-63.8182
2,5,5,1235501548,-30.8333
2,5,5,1241928338,-30.8333
2,5,5,124404247,-30.8333
2,5,5,1244412885,-30.8333
2,5,5,1259816212,-30.8333
2,5,5,1262628040,-30.8333
2,5,5,1262948602,-30.8333
2,5,5,1263486591,-30.8333
2,5,5,12655963,-30.8333
2,5,5,1266175885,-30.8333
2,5,5,1276879103,-30.8333
2,5,5,1281260390,-30.8333
2,5,5,1286700257,-30.8333
2,5,5,1291783535,-30.8333
2,5,5,1300150858,-30.8333
2,5,5,1305877954,-30.8333
2,5,5,1307455252,-30.8333
2,5,5,1307659566,-30.8333
2,5,5,1307886880,-30.8333
2,5,5,130830295,-30.8333
2,5,5,1311006219,-30.8333
2,5,5,1323659657,-30.8333
2,5,5,1332812036,-30.8333
2,5,5,1334242273,-30.8333
2,5,5,1339626390,-30.8333
2,5,5,1339932215,-30.8333
2,5,5,1344745010,-30.8333
2,5,5,1347887217,-30.8333
2,5,5,1349966370,-30.8333
2,5,5,1351882203,-30.8333
2,5,5,1352097030,-30.8333
2,5,5,135342794,-30.8333
2,5,5,1362529068,-30.8333
2,5,5,1362807546,-30.8333
2,5,5,1362927434,-30.8333
2,5,5,1369947344,-30.8333
2,5,5,1369990613,-30.8333
2,5,5,1372397901,-30.8333
2,5,5,1374401647,-30.8333
2,5,5,1378337932,-30.8333
2,5,5,1378519715,-30.8333
2,5,5,1384001714,-63.8182
2,5,5,1385478455,-30.8333
2,5,5,1393337317,-30.8333
2,5,5,1396239170,-30.8333
2,5,5,1397267219,-30.8333
2,5,5,1398092379,-30.8333
2,5,5,1400398560,-30.8333
2,5,5,1402983969,-30.8333
