level,M,N,seed,leniencyMetric
5,3,3,1001337483,-44.9211
5,3,3,1003182981,-42.8636
5,3,3,1004239811,-50.8333
5,3,3,1010899785,-44.5833
5,3,3,1014175793,-50.7609
5,3,3,1014989157,-41.8125
5,3,3,1018891292,-35.9286
5,3,3,102098671,-45.2647
5,3,3,1022722694,-36.3000
5,3,3,102644413,-40.4167
5,3,3,1028515517,-29.0000
5,3,3,1029167165,-41.4130
5,3,3,1040279591,-64.0313
5,3,3,1045407781,-25.7667
5,3,3,1052231767,-27.6429
5,3,3,105819244,-36.7857
5,3,3,1060291015,-46.9706
5,3,3,1073261962,-50.6176
5,3,3,1075850570,-40.0333
5,3,3,1085155273,-38.5714
5,3,3,109257406,-17.2000
5,3,3,1096152006,-40.8478
5,3,3,1097460878,-37.0455
5,3,3,1101140830,-52.7727
5,3,3,1103797215,-39.8529
5,3,3,1105325507,-55.4412
5,3,3,1106865621,-42.5000
5,3,3,111213096,-26.2000
5,3,3,1125561878,-63.3889
5,3,3,112635349,-48.7400
5,3,3,1131058845,-31.8889
5,3,3,1131613135,-40.6000
5,3,3,1132145483,-36.0385
5,3,3,113598324,-42.7000
5,3,3,1136010426,-37.5000
5,3,3,1139301294,-46.7000
5,3,3,1144114778,-42.8125
5,3,3,1144164565,-44.2059
5,3,3,1146501196,-36.1429
5,3,3,11520671,-54.8750
5,3,3,1153094009,-39.5000
5,3,3,1153483595,-51.6143
5,3,3,1160445725,-34.6429
5,3,3,1160758225,-68.9286
5,3,3,1168390281,-37.8846
5,3,3,1177570378,-42.0333
5,3,3,1179084262,-58.9231
5,3,3,1181055952,-49.6053
5,3,3,118752165,-69.0909
5,3,3,1191698522,-22.5000
5,3,3,1195188908,-45.4474
5,3,3,1197771728,-37.6333
5,3,3,1203528950,-39.9000
5,3,3,121080134,-49.4655
5,3,3,1212235686,-55.3400
5,3,3,1219294602,-40.0909
5,3,3,1225415392,-38.1000
5,3,3,1227535742,-27.4091
5,3,3,1232264175,-18.9000
5,3,3,1238664276,-27.8077
5,3,3,1241864771,-30.1923
5,3,3,1243452675,-43.2273
5,3,3,124744416,-52.1667
5,3,3,1260801016,-48.7143
5,3,3,1262932591,-33.5556
5,3,3,1269112854,-22.5000
5,3,3,1273985955,-39.8750
5,3,3,1275296992,-61.7632
5,3,3,1277878635,-43.3889
5,3,3,1279621929,-30.5909
5,3,3,129031295,-68.2632
5,3,3,1294228666,-48.5000
5,3,3,1295160573,-45.9348
5,3,3,1298409871,-53.8200
5,3,3,1305818215,-44.5476
5,3,3,1316506596,-49.0714
5,3,3,1318169826,-57.2778
5,3,3,1323012996,-52.2692
5,3,3,1327786990,-52.0143
5,3,3,1329523263,-25.4091
5,3,3,1340601869,-36.9737
5,3,3,1341376769,-53.3095
5,3,3,1341975249,-52.7174
5,3,3,135379780,-63.0152
5,3,3,1356522169,-58.0769
5,3,3,1358687573,-41.8478
5,3,3,1364970099,-47.1190
5,3,3,1368620696,-51.4375
5,3,3,1369124396,-53.0556
5,3,3,1370766593,-53.1667
5,3,3,1370997845,-29.7500
5,3,3,1373865584,-59.1500
5,3,3,1388475310,-36.5000
5,3,3,13892084,-47.4474
5,3,3,1397832081,-44.7609
5,3,3,1403718119,-47.1316
5,3,3,1404655361,-32.2273
5,3,3,1408885885,-23.9000
5,3,3,1410860151,-56.8667
5,3,3,1414473539,-43.0556
5,3,3,1414777487,-26.1875
5,3,3,1419370100,-45.7500
5,3,3,1422190117,-38.9375
5,3,3,1423146805,-50.6538
5,3,3,1429355153,-42.8333
5,3,3,1434278780,-50.5000
5,3,3,1434394644,-30.1667
5,3,3,1437734591,-33.1923
5,3,3,1444181202,-62.1286
5,3,3,1449100342,-48.6667
5,3,3,1449216826,-51.8478
5,3,3,1461591670,-48.7857
5,3,3,1464846167,-51.3421
5,3,3,1465489047,-29.9286
5,3,3,1466424988,-37.9545
5,3,3,1470461619,-45.4474
5,3,3,1474488063,-66.9167
5,3,3,1477473638,-41.1522
5,3,3,1481747998,-34.2500
5,3,3,1483054572,-30.8125
5,3,3,1484858960,-41.6000
5,3,3,1492660198,-37.7667
5,3,3,1497727425,-33.1154
5,3,3,1498619423,-27.2500
5,3,3,1499825611,-45.2857
5,3,3,1508808479,-28.9444
5,3,3,1515455419,-47.6600
5,3,3,1528170775,-59.6852
5,3,3,1529047309,-30.5000
5,3,3,1540054388,-41.1923
5,3,3,1543863043,-71.5857
5,3,3,1545627210,-25.7143
5,3,3,1547876493,-42.1364
5,3,3,154950248,-51.2500
5,3,3,1555072975,-67.7069
5,3,3,1555172005,-47.3095
5,3,3,1569128844,-61.5000
5,3,3,1571562072,-57.3250
5,3,3,1574711175,-53.7414
5,3,3,1575809580,-47.3750
5,3,3,1581572362,-50.5833
5,3,3,158159825,-53.5000
5,3,3,158174806,-19.5000
5,3,3,1593511810,-51.1364
5,3,3,1605608312,-33.6429
5,3,3,1607416420,-53.2647
5,3,3,1608918776,-42.9286
5,3,3,1611477169,-54.6579
5,3,3,1613981524,-41.5000
5,3,3,1614170279,-44.2273
5,3,3,1617398045,-47.8500
5,3,3,1618003822,-60.0909
5,3,3,1618350436,-40.9667
5,3,3,1619630293,-33.3333
5,3,3,1631340277,-62.2692
5,3,3,1633834473,-49.5000
5,3,3,1635412548,-51.7759
5,3,3,1643379473,-55.5870
5,3,3,1659781159,-23.1000
5,3,3,166633158,-44.8548
5,3,3,1674598103,-52.6250
5,3,3,1681582638,-44.7917
5,3,3,1683598244,-38.3500
5,3,3,1684998864,-35.1471
5,3,3,1685106048,-38.6875
