level,M,N,seed,leniencyMetric
all,2,2,1001641798,-51.8333
all,2,2,1004306364,-46.8226
all,2,2,1010978582,-54.9324
all,2,2,1022846210,-47.9571
all,2,2,1023722256,-48.5313
all,2,2,1033480057,-64.1538
all,2,2,1036474372,-50.4512
all,2,2,1037401273,-59.3947
all,2,2,1038218488,-47.3125
all,2,2,1038240813,-59.0641
all,2,2,1041135095,-47.1061
all,2,2,1052850471,-51.2857
all,2,2,1053293722,-45.1786
all,2,2,1059209602,-50.9783
all,2,2,1061751410,-52.4783
all,2,2,1062255042,-54.0526
all,2,2,1064032374,-48.5667
all,2,2,1064486697,-52.6778
all,2,2,106587538,-53.4565
all,2,2,1068183337,-49.2949
all,2,2,1082073250,-55.6395
all,2,2,1083026305,-48.4756
all,2,2,1093253708,-58.1279
all,2,2,1094988923,-61.0333
all,2,2,1096341932,-54.1176
all,2,2,1099891794,-49.6951
all,2,2,1108994755,-53.2917
all,2,2,1116182691,-52.9898
all,2,2,1121515410,-50.2857
all,2,2,112743658,-48.4167
all,2,2,1128081783,-52.3125
all,2,2,1130403943,-53.3919
all,2,2,1135500214,-47.2436
all,2,2,1138184120,-46.4722
all,2,2,1139765352,-49.2778
all,2,2,1142181782,-49.3649
all,2,2,1154008721,-39.6351
all,2,2,1157790512,-55.2838
all,2,2,1161547704,-51.1296
all,2,2,1164368824,-52.0000
all,2,2,1174427787,-55.5270
all,2,2,1174462524,-57.4688
all,2,2,1175519146,-45.0909
all,2,2,1182202028,-52.3387
all,2,2,1182440019,-51.6515
all,2,2,1201170237,-54.8077
all,2,2,1201565253,-44.4355
all,2,2,1211334439,-52.8000
all,2,2,1218616460,-55.3293
all,2,2,1218917431,-52.8556
all,2,2,1222143675,-57.2317
all,2,2,1223901321,-56.3667
all,2,2,1226275373,-58.3485
all,2,2,1226979448,-53.7041
all,2,2,1233913320,-55.7174
all,2,2,1237131333,-53.9412
all,2,2,1239558035,-40.5645
all,2,2,1244728759,-54.4333
all,2,2,1246105016,-58.8333
all,2,2,124711068,-48.9857
all,2,2,1250181728,-52.8226
all,2,2,1270720746,-51.9444
all,2,2,1288215810,-40.6481
all,2,2,1288751559,-51.6765
all,2,2,1292333361,-48.8111
all,2,2,1292918822,-47.1216
all,2,2,1293461712,-53.6000
all,2,2,1300823014,-65.9444
all,2,2,1304407919,-48.5571
all,2,2,1305376595,-45.5000
all,2,2,1310759371,-54.4744
all,2,2,1315379481,-43.1757
all,2,2,1315459146,-51.5000
all,2,2,1317062028,-44.8846
all,2,2,1317484954,-58.5256
all,2,2,1318180947,-59.9167
all,2,2,1318721770,-51.3378
all,2,2,1319364568,-40.9167
all,2,2,1320567837,-56.5541
all,2,2,1326000153,-53.8571
all,2,2,1336493410,-46.3571
all,2,2,1337026208,-59.8939
all,2,2,1341796865,-54.8750
all,2,2,1348972292,-53.3444
