level,M,N,seed,Leniency
all,4,4,1001641798,-74.0000
all,4,4,1004306364,-69.5833
all,4,4,1010978582,-37.1154
all,4,4,1013132103,-52.4474
all,4,4,1022846210,-53.6333
all,4,4,1033480057,-51.6765
all,4,4,1036474372,-60.1818
all,4,4,1037401273,-54.6000
all,4,4,1038218488,-64.8500
all,4,4,1038240813,-74.1000
all,4,4,1041135095,-74.5000
all,4,4,1052850471,-46.2778
all,4,4,1053293722,-34.7143
all,4,4,1059209602,-58.1667
all,4,4,1061751410,-59.3750
all,4,4,1062255042,-41.0714
all,4,4,1064032374,-72.2500
all,4,4,1064486697,-57.6765
all,4,4,106587538,-33.5000
all,4,4,1068183337,-54.5000
all,4,4,1076245341,-87.8750
all,4,4,1082073250,-48.7222
all,4,4,1083026305,-59.5556
all,4,4,1093253708,-33.2000
all,4,4,1094988923,-58.3500
all,4,4,1096341932,-79.8333
all,4,4,1099891794,-54.0000
all,4,4,110889107,-49.3000
all,4,4,1108994755,-59.3929
all,4,4,1121515410,-63.3182
all,4,4,112743658,-62.1667
all,4,4,1128081783,-70.3182
all,4,4,1130403943,-55.2500
all,4,4,1135500214,-87.9545
all,4,4,1138184120,-63.6176
all,4,4,1139765352,-53.0714
all,4,4,1142181782,-43.0333
all,4,4,1157790512,-57.1000
all,4,4,1161547704,-87.7500
all,4,4,1164368824,-49.2333
all,4,4,1174427787,-47.5588
all,4,4,1174462524,-63.5000
all,4,4,1175519146,-59.7727
all,4,4,1182202028,-71.0000
all,4,4,1182440019,-72.5000
all,4,4,1201170237,-48.2500
all,4,4,1211334439,-53.8913
all,4,4,1218616460,-78.3000
all,4,4,1218917431,-61.4333
all,4,4,1222143675,-48.5000
all,4,4,1223901321,-44.9615
all,4,4,1226275373,-49.0000
all,4,4,1226979448,-63.4000
all,4,4,1233913320,-56.0882
all,4,4,1237131333,-34.5000
all,4,4,1239558035,-54.0600
all,4,4,1244728759,-47.7308
all,4,4,1246105016,-63.4310
all,4,4,124711068,-69.1364
all,4,4,1250181728,-79.4000
all,4,4,1270720746,-30.7857
all,4,4,1288215810,-60.0455
all,4,4,1288751559,-44.4286
all,4,4,1292333361,-48.6000
all,4,4,1292918822,-61.1250
all,4,4,1293461712,-47.3182
all,4,4,1300823014,-59.2059
all,4,4,1304407919,-44.9118
all,4,4,1305376595,-71.9737
all,4,4,1310759371,-47.2692
all,4,4,1315379481,-62.3125
all,4,4,1315459146,-67.9615
all,4,4,1317062028,-74.6250
all,4,4,1317484954,-47.7000
all,4,4,1318180947,-38.4167
all,4,4,1318721770,-74.5435
all,4,4,1319364568,-58.9615
all,4,4,1320567837,-66.2143
all,4,4,1326000153,-41.1364
all,4,4,1336493410,-37.3333
all,4,4,1337026208,-48.4500
all,4,4,1341796865,-64.3571
all,4,4,1348972292,-97.5000
all,4,4,1351344834,-64.3750
all,4,4,1354571885,-58.9118
all,4,4,1355696803,-70.1000
all,4,4,1356823191,-47.0789
all,4,4,1360479120,-54.9444
all,4,4,1360595726,-49.0333
all,4,4,1362529068,-65.5000
all,4,4,1367920983,-37.3571
all,4,4,1370452686,-48.7000
all,4,4,1371795951,-64.5000
all,4,4,137493304,-65.7500
all,4,4,1375056305,-55.1786
all,4,4,1380206301,-62.6176
all,4,4,138257890,-46.9706
all,4,4,1390070123,-51.3000
all,4,4,1397766369,-72.0000
all,4,4,1398092379,-47.2727
all,4,4,1410120414,-48.3571
all,4,4,1411552849,-49.7500
all,4,4,1411736710,-44.1000
all,4,4,1411740561,-57.6000
all,4,4,1412314167,-63.4091
all,4,4,1414909128,-60.5625
all,4,4,1415951383,-64.9000
all,4,4,1417221407,-67.3000
all,4,4,1417484602,-58.0385
all,4,4,1420211928,-46.7857
all,4,4,1423060993,-49.6000
all,4,4,1423682194,-55.7000
all,4,4,1424869980,-56.6250
all,4,4,142497295,-80.8000
