level,M,N,seed,linearityRSquared
13modified,3,3,1000747388,0.0186
13modified,3,3,1003230641,0.0015
13modified,3,3,1004940999,0.0072
13modified,3,3,100632844,0.0295
13modified,3,3,1006707556,0.0436
13modified,3,3,1009107826,0.0812
13modified,3,3,1011428303,0.0073
13modified,3,3,1018544641,0.0002
13modified,3,3,1037350528,0.0001
13modified,3,3,1037670259,0.0834
13modified,3,3,1038671244,0.0414
13modified,3,3,1038883129,0.0020
13modified,3,3,1039987872,0.0026
13modified,3,3,105140421,0.0050
13modified,3,3,1053579526,0.0006
13modified,3,3,1055229966,0.0344
13modified,3,3,1057874518,0.0262
13modified,3,3,1058957375,0.0462
13modified,3,3,1060892191,0.0598
13modified,3,3,1065451971,0.0158
13modified,3,3,1066219829,0.0263
13modified,3,3,1069714731,0.0003
13modified,3,3,1072641056,0.0018
13modified,3,3,1072824859,0.0325
13modified,3,3,1073055339,0.0663
13modified,3,3,1073272961,0.0052
13modified,3,3,107671954,0.0178
13modified,3,3,107769627,0.0132
13modified,3,3,1078305007,0.1485
13modified,3,3,1080834013,0.0251
13modified,3,3,1082260539,0.0278
13modified,3,3,1082314175,0.1325
13modified,3,3,1090707737,0.0006
13modified,3,3,1097519480,0.0080
13modified,3,3,1099272658,0.0329
13modified,3,3,1110677252,0.0097
13modified,3,3,1114759178,0.0125
13modified,3,3,1120843921,0.0022
13modified,3,3,1121071924,0.0299
13modified,3,3,1130362085,0.0060
13modified,3,3,1130953896,0.0244
13modified,3,3,1134735971,0.0051
13modified,3,3,1138437632,0.0014
13modified,3,3,1143661877,0.0309
13modified,3,3,1145786771,0.0155
13modified,3,3,1146297808,0.0014
13modified,3,3,1162822678,0.0513
13modified,3,3,116667107,0.0022
13modified,3,3,1169013744,0.0015
13modified,3,3,1181772620,0.0385
13modified,3,3,1185837477,0.0180
13modified,3,3,1193129330,0.0611
13modified,3,3,1200158203,0.0004
13modified,3,3,1200935411,0.0231
13modified,3,3,1205388612,0.0184
13modified,3,3,1206478818,0.0256
13modified,3,3,1206750499,0.0995
13modified,3,3,1207503318,0.0000
13modified,3,3,1207800718,0.0473
13modified,3,3,1208209113,0.0051
13modified,3,3,1212781919,0.0025
13modified,3,3,1219764183,0.0770
13modified,3,3,1220312016,0.0000
13modified,3,3,1225165832,0.0134
13modified,3,3,1226043139,0.0091
13modified,3,3,1233831511,0.0016
13modified,3,3,1242933758,0.0984
13modified,3,3,1247590471,0.0382
13modified,3,3,1265546259,0.0300
13modified,3,3,1275908440,0.0394
13modified,3,3,1278191166,0.0429
13modified,3,3,1281877312,0.1165
13modified,3,3,1282893305,0.0085
13modified,3,3,128554622,0.0307
13modified,3,3,1298625708,0.0036
13modified,3,3,1308307336,0.0006
13modified,3,3,1317277335,0.0006
13modified,3,3,1319673534,0.0095
13modified,3,3,1330019984,0.0421
13modified,3,3,133965900,0.0050
13modified,3,3,1341224127,0.0048
13modified,3,3,1344434153,0.0043
13modified,3,3,134482399,0.0073
13modified,3,3,1348875106,0.0165
13modified,3,3,1357005491,0.0149
