level,M,N,seed,linearityRSquared
7,5,5,1003192026,0.1202
7,5,5,101277513,0.1250
7,5,5,1013722796,0.1328
7,5,5,1018637518,0.0192
7,5,5,1024843062,0.1448
7,5,5,1026797542,0.1469
7,5,5,1026947808,0.0600
7,5,5,1034095704,0.0969
7,5,5,1035258029,0.2117
7,5,5,1036886040,0.1446
7,5,5,1037165908,0.1700
7,5,5,1064530934,0.1968
7,5,5,1070253627,0.0988
7,5,5,1073991198,0.1255
7,5,5,1078238519,0.1160
7,5,5,1079659711,0.1288
7,5,5,1089015963,0.1715
7,5,5,1092756634,0.2522
7,5,5,1098500762,0.1788
7,5,5,1101346450,0.1177
7,5,5,1122085835,0.1898
7,5,5,1126083708,0.2128
7,5,5,1128697502,0.0336
7,5,5,1137220935,0.0421
7,5,5,1137545103,0.1415
7,5,5,1142484002,0.1762
7,5,5,1142597197,0.1266
7,5,5,1153292106,0.0925
7,5,5,1154926906,0.1955
7,5,5,1157730507,0.1605
7,5,5,11628051,0.1561
7,5,5,1163938924,0.0978
7,5,5,1168887726,0.1340
7,5,5,1172590970,0.1101
7,5,5,1176071451,0.1689
7,5,5,1180691312,0.1514
7,5,5,118543745,0.0920
7,5,5,1186607487,0.1692
7,5,5,1188026251,0.1324
7,5,5,1188502757,0.1683
7,5,5,1189021742,0.1819
7,5,5,1192848505,0.1677
7,5,5,1198312004,0.1686
7,5,5,1202062857,0.1342
7,5,5,1202272553,0.0524
7,5,5,1206869159,0.1417
7,5,5,1212730453,0.1420
7,5,5,1213186888,0.1928
7,5,5,1214085982,0.1773
7,5,5,1220914512,0.0976
7,5,5,1224605099,0.2494
7,5,5,1230597560,0.1878
7,5,5,1234939998,0.2136
7,5,5,1236612884,0.0957
7,5,5,1241888939,0.1326
7,5,5,1243654596,0.1891
7,5,5,1252882785,0.1414
7,5,5,1253418988,0.1805
7,5,5,1255591006,0.0873
7,5,5,1269247589,0.1091
7,5,5,1277848589,0.1670
7,5,5,1279783441,0.2257
7,5,5,1280316215,0.1171
7,5,5,1282505427,0.1922
7,5,5,1291264595,0.1693
7,5,5,1293798679,0.1257
7,5,5,129773636,0.2024
7,5,5,1300042747,0.1568
7,5,5,130407555,0.1670
7,5,5,130593944,0.1574
7,5,5,1307713477,0.1525
7,5,5,1315545550,0.1363
7,5,5,1319547359,0.1166
7,5,5,1325732824,0.1555
7,5,5,1326698964,0.0925
7,5,5,1340034482,0.2075
7,5,5,1340089154,0.1633
7,5,5,1343063213,0.0622
7,5,5,1343430974,0.1372
7,5,5,1345516631,0.0664
7,5,5,1348366022,0.1139
7,5,5,13514819,0.1014
7,5,5,1356062211,0.1531
7,5,5,1356535651,0.1162
7,5,5,1358253402,0.0516
7,5,5,1359419341,0.1595
7,5,5,1359822498,0.1701
7,5,5,1360565357,0.1578
7,5,5,1362866724,0.1362
7,5,5,1364137447,0.1499
7,5,5,1373649436,0.0928
7,5,5,1374813576,0.1657
7,5,5,1382439513,0.2003
7,5,5,1383670735,0.1600
7,5,5,1384857432,0.1922
7,5,5,1385068994,0.2347
7,5,5,1386111918,0.1244
7,5,5,1400082465,0.1251
7,5,5,1402711442,0.1480
7,5,5,1403474437,0.0983
7,5,5,1404620061,0.1524
7,5,5,1406300936,0.1359
7,5,5,1406717675,0.1905
7,5,5,1421910779,0.0811
7,5,5,1422011108,0.1800
7,5,5,1422509260,0.1466
7,5,5,142291839,0.1216
7,5,5,1430422464,0.1693
7,5,5,1434284078,0.1453
7,5,5,143436950,0.1178
7,5,5,1440283942,0.2328
7,5,5,144572349,0.1551
7,5,5,1448182689,0.1693
7,5,5,1448740583,0.1443
7,5,5,1448752666,0.1829
7,5,5,1450487528,0.0983
7,5,5,1452040610,0.1731
7,5,5,1457955304,0.1423
7,5,5,1460856504,0.1218
7,5,5,1462459344,0.0846
7,5,5,146770739,0.1183
7,5,5,1468388080,0.1970
7,5,5,1473468318,0.2252
7,5,5,147347444,0.1545
7,5,5,147531162,0.2099
7,5,5,1477765947,0.1038
7,5,5,1478254382,0.2048
7,5,5,1484138497,0.1441
7,5,5,1488159565,0.1232
7,5,5,1488968538,0.1529
7,5,5,1490296087,0.0847
7,5,5,1490936815,0.2016
7,5,5,1493072865,0.1521
7,5,5,1493796541,0.1172
7,5,5,1497931914,0.1930
7,5,5,1499198570,0.1596
7,5,5,1500989052,0.0467
7,5,5,1501471408,0.1912
7,5,5,1521170249,0.1003
7,5,5,1521443375,0.1243
7,5,5,1522719881,0.1117
7,5,5,1532617906,0.0315
7,5,5,1536030776,0.1909
7,5,5,1538515097,0.0098
7,5,5,1539649392,0.1609
7,5,5,1541387860,0.0003
7,5,5,1542458534,0.1787
7,5,5,1544920761,0.1695
7,5,5,1550369127,0.1539
7,5,5,1553937928,0.0355
7,5,5,1562205150,0.1593
7,5,5,1563211497,0.1648
7,5,5,1579504447,0.1486
7,5,5,1585208546,0.1984
7,5,5,1588806617,0.1286
7,5,5,1596892669,0.1741
7,5,5,1605376023,0.1211
7,5,5,1607979593,0.1144
7,5,5,1631286799,0.0869
7,5,5,1632247011,0.1715
7,5,5,1633072422,0.1894
7,5,5,1633290882,0.1462
7,5,5,1633391189,0.2327
7,5,5,1639805589,0.0729
7,5,5,1643101269,0.1501
7,5,5,1645700755,0.1821
7,5,5,1651003459,0.1765
7,5,5,1651842115,0.1569
7,5,5,1652193439,0.1220
7,5,5,1654439301,0.2849
7,5,5,1666082791,0.1432
7,5,5,1667431112,0.0338
7,5,5,1667870915,0.0093
7,5,5,1681088631,0.1860
7,5,5,1683845298,0.1232
7,5,5,1690209127,0.1963
7,5,5,1691047137,0.1968
7,5,5,1692721390,0.2293
7,5,5,1692839770,0.1850
7,5,5,1693379270,0.1337
7,5,5,1695345702,0.2303
7,5,5,1698052607,0.0873
7,5,5,1700768688,0.2008
7,5,5,1701210,0.1809
7,5,5,1711501271,0.1733
7,5,5,1711597751,0.1312
7,5,5,1713277237,0.1654
7,5,5,1714387532,0.2558
7,5,5,1715290266,0.2076
7,5,5,171617307,0.1853
7,5,5,1722350310,0.0808
7,5,5,1728390144,0.1575
7,5,5,1731087520,0.1586
7,5,5,1735573081,0.1868
7,5,5,1736107374,0.1680
7,5,5,1738133733,0.1585
7,5,5,1738500724,0.1153
7,5,5,1738601556,0.1939
7,5,5,1741228926,0.0332
7,5,5,1745564518,0.1571
7,5,5,175625868,0.1787
7,5,5,1756986284,0.0770
7,5,5,1759915671,0.0851
7,5,5,1760211008,0.1984
7,5,5,1760579921,0.1471
7,5,5,1761161637,0.1335
7,5,5,1767219717,0.1661
7,5,5,1768325518,0.1834
7,5,5,1771867018,0.1179
7,5,5,1776180556,0.1869
7,5,5,1779330549,0.1756
7,5,5,1779787179,0.1875
7,5,5,1784005156,0.2600
7,5,5,1787342922,0.1443
7,5,5,1789750402,0.0087
7,5,5,1805462267,0.1571
7,5,5,1812386212,0.2322
7,5,5,1817527682,0.1612
7,5,5,1824113233,0.1986
7,5,5,1826204582,0.1596
7,5,5,1827846800,0.1632
7,5,5,1828609705,0.1182
7,5,5,1845466547,0.1730
7,5,5,1849496629,0.2186
7,5,5,1855135050,0.0738
7,5,5,1856683946,0.0769
7,5,5,1860119076,0.0568
7,5,5,1865258771,0.2286
7,5,5,1867573304,0.0199
7,5,5,187596329,0.1766
7,5,5,187723133,0.1139
7,5,5,1877854469,0.1809
7,5,5,188927746,0.1719
7,5,5,1895965862,0.1369
7,5,5,189695264,0.0349
7,5,5,190354332,0.1359
7,5,5,1903942258,0.1361
7,5,5,1907476383,0.0537
7,5,5,1909617758,0.1840
7,5,5,1910799660,0.1674
7,5,5,1911357664,0.1793
7,5,5,192584049,0.2347
7,5,5,1926008237,0.1417
7,5,5,1926963066,0.1068
7,5,5,193223702,0.1966
7,5,5,1933928931,0.2014
7,5,5,1937190408,0.1966
7,5,5,19379953,0.1244
7,5,5,1947121303,0.1694
7,5,5,195090384,0.0152
7,5,5,1951319130,0.1490
7,5,5,1959943044,0.1419
7,5,5,1972438551,0.1625
7,5,5,19754412,0.0897
7,5,5,1977276055,0.1944
7,5,5,1981996956,0.1141
7,5,5,198215643,0.2154
7,5,5,1985476781,0.2045
7,5,5,1985602132,0.0976
7,5,5,1990350562,0.2497
7,5,5,1996227370,0.1713
