level,M,N,seed,linearityRSquared
all,5,5,1001123197,0.0028
all,5,5,1003002314,0.1081
all,5,5,1004505493,0.0446
all,5,5,1005196687,0.0669
all,5,5,1007123487,0.1101
all,5,5,1011173588,0.0206
all,5,5,1025017788,0.0018
all,5,5,1035204856,0.1419
all,5,5,1044227104,0.0132
all,5,5,1044606885,0.1570
all,5,5,1044728683,0.0166
all,5,5,104783863,0.0860
all,5,5,104957404,0.0040
all,5,5,1054383769,0.0019
all,5,5,1055319602,0.3733
all,5,5,1058411675,0.0076
all,5,5,1059397968,0.0272
all,5,5,106015260,0.1312
all,5,5,1063785161,0.0641
all,5,5,1064510888,0.0003
all,5,5,1067305751,0.1910
all,5,5,1068247938,0.2854
all,5,5,1069224076,0.0743
all,5,5,1071783754,0.0813
all,5,5,1075934982,0.0155
all,5,5,1080615095,0.0795
all,5,5,1081760984,0.1644
all,5,5,1084215888,0.1938
all,5,5,1095954113,0.1499
all,5,5,1095961960,0.1615
all,5,5,1097415600,0.1149
all,5,5,1100619669,0.0235
all,5,5,1104252799,0.1150
all,5,5,1108748165,0.0721
all,5,5,1110242813,0.0003
all,5,5,1111109187,0.0756
all,5,5,1113013786,0.0516
all,5,5,1114669917,0.0245
all,5,5,1117450043,0.0137
all,5,5,1117731551,0.4700
all,5,5,1125073921,0.0184
all,5,5,1130921827,0.0490
all,5,5,1131790060,0.1572
all,5,5,1136700782,0.0750
all,5,5,1142189215,0.1163
all,5,5,1149314936,0.1333
all,5,5,1152269405,0.1370
all,5,5,1156187850,0.0605
all,5,5,1156765998,0.2155
all,5,5,1162221605,0.0038
all,5,5,1165538701,0.0003
all,5,5,1165769601,0.0031
all,5,5,1165874163,0.0157
all,5,5,1172390067,0.0650
all,5,5,1185393635,0.0058
all,5,5,1192984284,0.1356
all,5,5,119989959,0.2854
all,5,5,1202192130,0.1223
all,5,5,120541634,0.1449
all,5,5,1208795532,0.0204
all,5,5,1213267582,0.0839
all,5,5,1217198594,0.0925
all,5,5,1226000117,0.1229
all,5,5,1226964952,0.0618
all,5,5,1228261021,0.0006
all,5,5,1241802067,0.0151
all,5,5,1242196772,0.0015
all,5,5,1242242665,0.4212
all,5,5,1249423349,0.1621
all,5,5,1254354348,0.0988
all,5,5,1257027099,0.0020
all,5,5,1262255503,0.0136
all,5,5,126425022,0.0154
all,5,5,1264827198,0.0677
all,5,5,1275109495,0.0753
all,5,5,1275762322,0.1282
all,5,5,1282103913,0.0001
all,5,5,1285069552,0.1288
all,5,5,1285639001,0.2028
all,5,5,1286325301,0.0000
all,5,5,1287087174,0.0331
all,5,5,1295372085,0.2703
all,5,5,1296008841,0.0024
all,5,5,1298433575,0.0876
all,5,5,1302116771,0.0278
all,5,5,1302774543,0.2760
all,5,5,130522989,0.2588
all,5,5,1309921249,0.0019
all,5,5,1315955308,0.1107
all,5,5,1319011313,0.0416
all,5,5,1319648610,0.0003
all,5,5,1327949217,0.0706
all,5,5,1331535738,0.2580
all,5,5,1331710198,0.0277
all,5,5,1332646346,0.4891
all,5,5,1335813822,0.0080
all,5,5,1338752352,0.0221
all,5,5,134526865,0.0138
all,5,5,1353875771,0.1844
all,5,5,1355657102,0.0078
all,5,5,1357166998,0.0033
all,5,5,1359954194,0.1200
all,5,5,136212761,0.0920
all,5,5,1365147146,0.0202
all,5,5,1367352505,0.0806
all,5,5,1373373174,0.1019
all,5,5,1385214231,0.0016
all,5,5,1386455293,0.1346
all,5,5,1386871797,0.0360
all,5,5,1393123234,0.0003
all,5,5,1396788012,0.4918
all,5,5,13976590,0.0004
all,5,5,1399013177,0.0685
all,5,5,1400744412,0.0083
all,5,5,1403112510,0.0028
all,5,5,140961087,0.2114
all,5,5,1413649877,0.4839
all,5,5,1421237216,0.0148
all,5,5,1422472622,0.1006
all,5,5,142910804,0.5521
all,5,5,1430090683,0.0016
all,5,5,1432551773,0.2485
all,5,5,1433824161,0.0442
all,5,5,1446625921,0.0001
all,5,5,1463856963,0.0204
all,5,5,1473859512,0.1368
all,5,5,1479377945,0.3112
all,5,5,1483653255,0.0080
all,5,5,1484956899,0.0356
all,5,5,1490357435,0.0496
all,5,5,1493371253,0.2773
all,5,5,1498968516,0.0017
all,5,5,1506146,0.0495
all,5,5,1515608686,0.3882
all,5,5,1518295672,0.0005
all,5,5,1519983345,0.0660
all,5,5,1520198857,0.0455
all,5,5,1530447680,0.1430
all,5,5,1530535666,0.0177
all,5,5,1537617789,0.1296
all,5,5,1539975089,0.1353
all,5,5,1545073562,0.0154
all,5,5,1546553990,0.0343
all,5,5,1555076294,0.0005
all,5,5,1556576094,0.0511
all,5,5,1559798812,0.1682
all,5,5,1560642045,0.1130
all,5,5,1562604507,0.0152
all,5,5,156513227,0.0332
all,5,5,1568971136,0.0141
all,5,5,1570458964,0.0056
all,5,5,1581855924,0.0029
all,5,5,1582104534,0.0437
all,5,5,158255775,0.0565
all,5,5,1590105264,0.0711
all,5,5,1591717659,0.1192
all,5,5,1604518773,0.0131
all,5,5,1607058105,0.0204
all,5,5,1608900273,0.0735
all,5,5,1612764206,0.0000
all,5,5,1616464821,0.0359
all,5,5,1620209838,0.0846
all,5,5,1629425612,0.0162
all,5,5,1630509997,0.0000
all,5,5,1634290504,0.0316
all,5,5,1640203617,0.0001
all,5,5,1641170437,0.0004
all,5,5,1642378503,0.0205
all,5,5,1646839904,0.0250
all,5,5,1647987827,0.0017
all,5,5,1653188359,0.0001
all,5,5,1665761459,0.0218
all,5,5,1668184352,0.1689
all,5,5,1673768691,0.1833
all,5,5,1677421809,0.0589
all,5,5,168346376,0.0255
all,5,5,1689900731,0.1535
all,5,5,1699213172,0.2211
all,5,5,1703781316,0.0002
all,5,5,1705685313,0.1166
all,5,5,1710139265,0.1163
all,5,5,1711968884,0.1069
all,5,5,1714829669,0.2249
all,5,5,1721450216,0.0045
all,5,5,1722502605,0.0020
all,5,5,1722641583,0.0002
all,5,5,1724656959,0.2301
all,5,5,1725875380,0.0888
all,5,5,1733788653,0.3069
all,5,5,1736297604,0.0287
all,5,5,1738674457,0.1158
all,5,5,1741469848,0.0062
all,5,5,1742808936,0.1149
all,5,5,1743839390,0.1149
all,5,5,1748572455,0.0694
all,5,5,1761502180,0.0011
all,5,5,1764864224,NaN
all,5,5,1765275728,0.0804
all,5,5,1776053263,0.0216
all,5,5,1804382251,0.1773
all,5,5,1804438908,0.0118
all,5,5,1808128190,0.2482
all,5,5,1810152077,0.0062
all,5,5,1815502840,0.0266
all,5,5,1820512547,0.4120
all,5,5,1822464179,0.0884
all,5,5,1824956984,0.0473
all,5,5,1825488419,0.0055
all,5,5,1828966921,0.0023
all,5,5,1830373396,0.0224
all,5,5,1837713395,0.1150
all,5,5,1838032673,0.0057
all,5,5,1838937969,0.0091
all,5,5,1841556946,0.0462
all,5,5,1849402581,0.0866
all,5,5,1867812827,0.0001
all,5,5,1868855520,0.1222
all,5,5,1870807908,0.2278
all,5,5,1878580023,0.1427
all,5,5,1878775548,0.1981
all,5,5,1880983852,0.0092
all,5,5,188184168,0.0393
all,5,5,1898227500,0.1042
all,5,5,1907697578,0.0007
all,5,5,191174881,0.1149
all,5,5,191439923,0.0340
all,5,5,1917336757,0.0001
all,5,5,1918940945,0.0006
all,5,5,1922828137,0.2829
all,5,5,19311840,0.0001
all,5,5,1937119624,0.2448
all,5,5,1938773098,0.0104
all,5,5,1939891357,0.0003
all,5,5,1939940005,0.0046
all,5,5,1945143916,0.1649
all,5,5,1945639335,0.0847
all,5,5,1946606983,0.0336
all,5,5,1947447632,0.0732
all,5,5,1953365106,0.0018
all,5,5,1955034398,0.1014
all,5,5,195838010,0.0170
all,5,5,195977688,0.0743
all,5,5,1959825357,0.0017
all,5,5,1963976380,0.0483
all,5,5,1966716236,0.0187
all,5,5,1986057669,0.1079
all,5,5,1990798983,0.0160
all,5,5,1996947716,0.0009
all,5,5,2000199811,0.1149
all,5,5,2000306450,0.0389
all,5,5,2005043859,0.2170
all,5,5,2007612396,0.0006
all,5,5,2013523943,0.0907
all,5,5,2015328277,0.1090
all,5,5,2019515156,0.0193
all,5,5,2020515331,0.0420
all,5,5,202203218,0.1433
all,5,5,2024744468,0.1691
all,5,5,2027087295,0.0000
all,5,5,2040636482,0.0054
all,5,5,2040710369,0.2779
all,5,5,2046264025,0.0101
all,5,5,2049008756,0.0285
all,5,5,205001973,0.0054
all,5,5,2054686081,0.2037
all,5,5,2055369416,0.0003
all,5,5,2056997481,0.1682
all,5,5,2057577369,0.0267
all,5,5,2066947583,0.0040
all,5,5,2070659817,0.0144
all,5,5,20734412,0.0130
all,5,5,2077291580,0.0132
all,5,5,2078341576,0.0335
all,5,5,2079173192,0.0122
all,5,5,2079428781,0.0043
all,5,5,2079872684,0.0001
all,5,5,2082748034,0.0803
all,5,5,2087654357,0.0064
all,5,5,2087776005,0.0844
all,5,5,2089434362,0.0262
all,5,5,2094046888,0.0268
all,5,5,209445926,0.0002
all,5,5,2100526862,0.3581
all,5,5,2106660380,0.0175
all,5,5,2107990756,0.0020
all,5,5,2113093288,0.1883
all,5,5,2118673605,0.1088
all,5,5,2122508647,0.1622
all,5,5,2130840890,0.2931
all,5,5,2130938827,0.0721
all,5,5,2132771109,0.0073
all,5,5,2132958675,0.1174
all,5,5,2136960735,0.0159
all,5,5,2137081978,0.0346
all,5,5,2140575527,0.2794
all,5,5,218081446,0.0396
all,5,5,218313143,0.0098
all,5,5,21905654,0.0538
all,5,5,226468391,0.4118
all,5,5,226686917,0.0831
all,5,5,228284925,0.1382
all,5,5,233752417,0.0043
all,5,5,236603485,0.1744
all,5,5,247613769,0.0394
all,5,5,257368132,0.0191
all,5,5,258888277,0.0728
all,5,5,269391535,0.3239
all,5,5,277430631,0.0024
all,5,5,280434875,0.1384
all,5,5,282857416,0.0598
all,5,5,29266677,0.0740
all,5,5,29889531,0.2905
all,5,5,299139849,0.0095
all,5,5,30833401,0.1149
all,5,5,315038380,0.1697
all,5,5,317042239,0.1904
all,5,5,317071669,0.1417
all,5,5,31844379,0.0115
all,5,5,320186684,0.0003
all,5,5,324645371,0.0682
all,5,5,336746292,0.0106
all,5,5,340152887,0.0571
all,5,5,342341194,0.1300
all,5,5,343962807,0.0005
all,5,5,347723103,0.0397
all,5,5,34849609,0.0717
all,5,5,35272433,0.0719
all,5,5,357551352,0.0077
all,5,5,363404885,0.0211
all,5,5,363900222,0.1908
all,5,5,364644473,0.0008
all,5,5,364863340,0.1276
all,5,5,365255740,0.1072
all,5,5,366060845,0.0400
all,5,5,366718909,0.0005
all,5,5,366837959,0.0895
all,5,5,369885001,0.0290
all,5,5,371165202,0.0187
all,5,5,379036755,0.0038
all,5,5,391995394,0.0130
all,5,5,392354927,0.0025
all,5,5,398285395,0.0167
all,5,5,399038018,0.0079
all,5,5,400558780,0.0984
all,5,5,401927902,0.0971
all,5,5,406339866,0.0537
all,5,5,406470866,0.0155
all,5,5,406926694,0.0854
all,5,5,410864725,0.0029
all,5,5,414125100,0.0283
all,5,5,414543215,0.0352
all,5,5,415938748,0.1880
all,5,5,419282972,0.0257
all,5,5,42616611,0.0506
all,5,5,427647690,0.0047
all,5,5,429288963,0.0000
all,5,5,429370344,0.1991
all,5,5,436543858,0.0324
all,5,5,436970878,0.0576
all,5,5,4396941,0.0962
all,5,5,43974541,0.2339
all,5,5,439951522,0.0061
all,5,5,440548512,0.0250
all,5,5,445407650,0.0046
all,5,5,44651891,0.0368
all,5,5,451492349,0.0368
all,5,5,456519402,0.1812
all,5,5,458033264,0.0093
all,5,5,463590549,0.0464
all,5,5,463786230,0.0575
all,5,5,474205282,0.0003
all,5,5,478046522,0.2338
all,5,5,481155136,0.0014
all,5,5,481620337,0.0606
all,5,5,482437626,0.0019
all,5,5,484363577,0.3303
all,5,5,495173396,0.0027
all,5,5,499551234,0.0119
all,5,5,507479433,0.2575
all,5,5,508286720,0.0383
all,5,5,510363223,0.0080
all,5,5,511305407,0.0526
all,5,5,5155501,0.0612
all,5,5,515919545,0.0209
all,5,5,516302760,0.0004
all,5,5,52103064,0.1149
all,5,5,521805055,0.2686
all,5,5,522002417,0.0097
all,5,5,524355746,0.0270
all,5,5,531020635,0.0149
all,5,5,532782214,0.1105
all,5,5,535943644,0.0136
all,5,5,540656952,0.0670
all,5,5,541780749,0.0301
all,5,5,547213111,0.0060
all,5,5,548652127,0.0244
all,5,5,555605470,0.0866
all,5,5,556135940,0.0001
all,5,5,556990766,0.0217
all,5,5,560227650,0.0290
all,5,5,560534245,0.0073
all,5,5,565773388,0.0390
all,5,5,577577752,0.4275
all,5,5,590828521,0.0002
all,5,5,593629993,0.0000
all,5,5,600291627,0.0839
all,5,5,602053104,0.1700
all,5,5,604329727,0.0337
all,5,5,605610163,0.0352
all,5,5,60851577,0.1457
all,5,5,609003400,0.0659
all,5,5,610715176,0.1086
all,5,5,62365393,0.0188
all,5,5,623733087,0.0012
all,5,5,625943015,0.0007
all,5,5,627607806,0.0180
all,5,5,628730076,0.0112
all,5,5,638219131,0.2260
all,5,5,643686323,0.0196
all,5,5,64604203,0.0007
all,5,5,648157762,0.1719
all,5,5,649579620,0.0517
all,5,5,657539590,0.4250
all,5,5,666498153,0.0744
all,5,5,672047177,0.1057
all,5,5,690101308,0.0104
all,5,5,696092803,0.1265
all,5,5,70279176,0.0922
all,5,5,710254245,0.1433
all,5,5,712656464,0.1707
all,5,5,714807687,0.0533
all,5,5,716193982,0.1159
all,5,5,719826264,0.0863
all,5,5,722153399,0.0085
all,5,5,722200548,0.0087
all,5,5,723335728,0.0290
all,5,5,730866881,0.0031
all,5,5,731130538,0.0675
all,5,5,733822146,0.0448
all,5,5,737561642,0.1815
all,5,5,739301874,0.1112
all,5,5,739785424,0.3333
all,5,5,741943131,0.1164
all,5,5,744430984,0.0966
all,5,5,746702789,0.0317
all,5,5,749196468,0.0148
all,5,5,751200458,0.1892
all,5,5,751226023,0.2566
all,5,5,767897131,0.2376
all,5,5,767944806,0.0906
all,5,5,768216736,0.0668
all,5,5,773802667,0.0696
all,5,5,784087365,0.0002
all,5,5,784866979,0.0013
all,5,5,785159631,0.0298
all,5,5,788268549,0.0549
all,5,5,790415253,0.0052
all,5,5,792874323,0.0556
all,5,5,801491234,0.0589
all,5,5,804236902,0.1093
all,5,5,804750136,0.0208
all,5,5,807181557,0.0723
all,5,5,808292826,0.1401
all,5,5,810680989,0.1372
all,5,5,814281411,0.4795
all,5,5,819051087,0.0411
all,5,5,821602137,0.1165
all,5,5,848683630,0.4891
all,5,5,84965622,0.2157
all,5,5,853215325,0.0857
all,5,5,864909597,0.0944
all,5,5,86838514,0.0016
all,5,5,872709921,0.0069
all,5,5,880362205,0.0028
all,5,5,88271461,0.0019
all,5,5,883856840,0.0147
all,5,5,893893171,0.0069
all,5,5,894077785,0.0086
all,5,5,894215565,0.0194
all,5,5,894828912,0.0362
all,5,5,900856181,0.1842
all,5,5,910097102,0.0150
all,5,5,910895124,0.0739
all,5,5,919803092,0.0088
all,5,5,919850803,0.0202
all,5,5,919991587,0.0212
all,5,5,920146591,0.1142
all,5,5,922559272,0.0938
all,5,5,926921073,0.0100
all,5,5,936285744,0.0112
all,5,5,939453333,0.0189
all,5,5,942285561,0.0033
all,5,5,943312538,0.0077
all,5,5,945540959,0.0002
all,5,5,946138318,0.0287
all,5,5,947272809,0.0007
all,5,5,950175596,0.0083
all,5,5,950295635,0.0273
all,5,5,950683711,0.0758
all,5,5,951037363,0.0908
all,5,5,964853624,0.4920
all,5,5,969737528,0.0110
all,5,5,977018965,0.0711
all,5,5,977076187,0.0317
all,5,5,987486184,0.0166
all,5,5,98789368,0.1150
all,5,5,988913409,0.1713
all,5,5,992678586,0.0542
all,5,5,1005940860,0.1168
all,5,5,1006062264,0.3258
all,5,5,1015010631,0.0855
all,5,5,1021370050,0.0000
all,5,5,1021611556,0.1039
all,5,5,1035675916,0.0001
all,5,5,1037347807,0.0002
all,5,5,1037354822,0.0057
all,5,5,1038333284,0.2018
all,5,5,104365705,0.2397
all,5,5,1054895047,0.1142
all,5,5,106530877,0.0170
all,5,5,1067361824,0.0889
all,5,5,1069453453,0.1700
all,5,5,1069754865,0.0757
all,5,5,107182016,0.0825
all,5,5,1073680571,0.0931
